,P,cost,value
0,0.01,0.01,0.03704262710189606
1,0.01,0.1,0.040565666943910506
2,0.01,0.2,0.040725063686136986
3,0.01,0.3,0.03700643697282673
4,0.01,0.4,0.03442823072682074
5,0.01,0.5,0.03497147737170633
6,0.01,0.6,0.031213857991908494
7,0.01,0.7,0.030923857805924333
8,0.01,0.8,0.029830266139175644
9,0.01,0.9,0.030236486370932448
10,0.01,0.99,2.947383368228903
11,0.1,0.01,0.06607684292876775
12,0.1,0.1,0.05748195257410241
13,0.1,0.2,0.04415737800764616
14,0.1,0.3,0.042063617284209966
15,0.1,0.4,0.047200818538476005
16,0.1,0.5,0.05201774424193831
17,0.1,0.6,0.06553660449510479
18,0.1,0.7,0.10441600511703703
19,0.1,0.8,0.2510106920967308
20,0.1,0.9,2.170610534492446
21,0.1,0.99,
22,0.2,0.01,0.09593210065756265
23,0.2,0.1,0.05182700690446097
24,0.2,0.2,0.04223892558620773
25,0.2,0.3,0.044441065323028425
26,0.2,0.4,0.05286419754419242
27,0.2,0.5,0.09622117140892836
28,0.2,0.6,0.22245188806861796
29,0.2,0.7,0.7060598030798257
30,0.2,0.8,3.2529568641302946
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.13078010039694274
34,0.3,0.1,0.0450275861113296
35,0.3,0.2,0.03795371392739122
36,0.3,0.3,0.04565417218872363
37,0.3,0.4,0.0850748354032633
38,0.3,0.5,0.23248245065132014
39,0.3,0.6,0.6944041309413117
40,0.3,0.7,3.1368583594058244
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.21737333691154592
45,0.4,0.1,0.04033239424680134
46,0.4,0.2,0.030404132037658068
47,0.4,0.3,0.045725260455508926
48,0.4,0.4,0.11095895867967102
49,0.4,0.5,0.3488754229010283
50,0.4,0.6,2.5829242219544106
51,0.4,0.7,0.08431429759073737
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.3019756325424663
56,0.5,0.1,0.023817149803759905
57,0.5,0.2,0.025853044521977633
58,0.5,0.3,0.042516079241390406
59,0.5,0.4,0.10933329145704657
60,0.5,0.5,0.7755621453939843
61,0.5,0.6,0.11208701130996854
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.15596202731474024
67,0.6,0.1,0.01798580076236124
68,0.6,0.2,0.03358596078835782
69,0.6,0.3,0.08321243270876458
70,0.6,0.4,1.5328138472501809
71,0.6,0.5,0.10273557877580825
72,0.6,0.6,0.016044600378996868
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.0638183790247822
78,0.7,0.1,0.02743736813716096
79,0.7,0.2,0.08460175810035195
80,0.7,0.3,2.945532684003454
81,0.7,0.4,0.07396383282791409
82,0.7,0.5,0.011413988458908255
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.06308971688985793
89,0.8,0.1,0.08825542085731912
90,0.8,0.2,1.4051107618251557
91,0.8,0.3,0.04152568671780508
92,0.8,0.4,0.009642751021082717
93,0.8,0.5,0.004662777485829369
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.06148976663376476
100,0.9,0.1,1.1154389772720776
101,0.9,0.2,0.02488375294822386
102,0.9,0.3,0.0061324540341136475
103,0.9,0.4,0.0036053915590143655
104,0.9,0.5,0.0028323117550081538
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.352598307128087
111,0.99,0.1,0.008683755505753375
112,0.99,0.2,0.0021695960640635927
113,0.99,0.3,0.0016098065768884082
114,0.99,0.4,0.0018051774332761476
115,0.99,0.5,0.0016311522659168244
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
