,P,cost,value
0,0.01,0.01,0.7059320416868781
1,0.01,0.1,0.6957149225728377
2,0.01,0.2,0.6520576947668143
3,0.01,0.3,0.6720951882949211
4,0.01,0.4,0.696673474596262
5,0.01,0.5,0.6965857524831858
6,0.01,0.6,0.6557755669523941
7,0.01,0.7,0.7258022657715136
8,0.01,0.8,0.723936603470086
9,0.01,0.9,0.7051797177890531
10,0.01,0.99,2.159904915777803
11,0.1,0.01,0.49977329927705255
12,0.1,0.1,0.5262657341510197
13,0.1,0.2,0.5572290000582001
14,0.1,0.3,0.5854006824481052
15,0.1,0.4,0.4894779838624172
16,0.1,0.5,0.6627350327762256
17,0.1,0.6,0.49417856291924794
18,0.1,0.7,0.5859683237952606
19,0.1,0.8,0.5333363902457939
20,0.1,0.9,2.094980190113192
21,0.1,0.99,
22,0.2,0.01,0.28180176153143094
23,0.2,0.1,0.25026359406431065
24,0.2,0.2,0.2844858376270339
25,0.2,0.3,0.27554269315247193
26,0.2,0.4,0.2920016150521978
27,0.2,0.5,0.3217155628853923
28,0.2,0.6,0.3774451726701068
29,0.2,0.7,0.5563031234403059
30,0.2,0.8,2.949362875293446
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.11821225680083522
34,0.3,0.1,0.14010602841901462
35,0.3,0.2,0.13787360744038818
36,0.3,0.3,0.13355281763109264
37,0.3,0.4,0.1656195479664801
38,0.3,0.5,0.20603854191002732
39,0.3,0.6,0.5719920195254118
40,0.3,0.7,3.030201958736352
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.06886707388562374
45,0.4,0.1,0.08418080193798451
46,0.4,0.2,0.09569021940607202
47,0.4,0.3,0.1260000031508368
48,0.4,0.4,0.19231467276423928
49,0.4,0.5,0.6312277557088742
50,0.4,0.6,3.0192468321404515
51,0.4,0.7,0.1356106207814674
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.050623872617903465
56,0.5,0.1,0.06713795508315047
57,0.5,0.2,0.09645886027535021
58,0.5,0.3,0.1465144262120691
59,0.5,0.4,0.5505814502376115
60,0.5,0.5,3.582853611389563
61,0.5,0.6,0.22817890939229907
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.045676914111920916
67,0.6,0.1,0.07408343506879483
68,0.6,0.2,0.12697706673351464
69,0.6,0.3,0.5282120098461013
70,0.6,0.4,3.2451310735108674
71,0.6,0.5,0.24009371219546213
72,0.6,0.6,0.023457938563566736
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.04027402346626623
78,0.7,0.1,0.08624818464827351
79,0.7,0.2,0.35230026623095884
80,0.7,0.3,3.0264741737910548
81,0.7,0.4,0.2733049837232336
82,0.7,0.5,0.03027582251929621
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.056986108540304864
89,0.8,0.1,0.24654304296723384
90,0.8,0.2,3.2787106503781462
91,0.8,0.3,0.19458617166666026
92,0.8,0.4,0.030315284405563483
93,0.8,0.5,0.0065116199062100494
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.12348379955990162
100,0.9,0.1,3.0519312293208536
101,0.9,0.2,0.14431976815143333
102,0.9,0.3,0.020398963982557163
103,0.9,0.4,0.005592608194867755
104,0.9,0.5,0.003062188055671677
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.361848575613289
111,0.99,0.1,0.03748975404946792
112,0.99,0.2,0.005596337393072951
113,0.99,0.3,0.002223830088206976
114,0.99,0.4,0.0018054415059524874
115,0.99,0.5,0.0016432317866323996
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
