,P,cost,value
0,0.01,0.01,0.635817962088613
1,0.01,0.1,0.7139088441808628
2,0.01,0.2,0.6840843785716182
3,0.01,0.3,0.6476436715803062
4,0.01,0.4,0.719398563245492
5,0.01,0.5,0.7864648947058682
6,0.01,0.6,0.643096377971051
7,0.01,0.7,0.6773932702805192
8,0.01,0.8,0.5663711308574795
9,0.01,0.9,0.6230952830053869
10,0.01,0.99,1.8347023539391192
11,0.1,0.01,0.35221699731121203
12,0.1,0.1,0.3170515349175284
13,0.1,0.2,0.31853070048293136
14,0.1,0.3,0.3176876641569514
15,0.1,0.4,0.3351926971814405
16,0.1,0.5,0.35495298525349767
17,0.1,0.6,0.33630612251277525
18,0.1,0.7,0.31042805020511277
19,0.1,0.8,0.3932274213523587
20,0.1,0.9,0.5545202819169369
21,0.1,0.99,
22,0.2,0.01,0.2829812879636666
23,0.2,0.1,0.23720114278659105
24,0.2,0.2,0.2485628446500646
25,0.2,0.3,0.26061592088237207
26,0.2,0.4,0.26469318596462343
27,0.2,0.5,0.2531615977791988
28,0.2,0.6,0.2431746852826489
29,0.2,0.7,0.3276078151561016
30,0.2,0.8,0.5559128121007386
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.21061814561770617
34,0.3,0.1,0.21655656700295914
35,0.3,0.2,0.226605853480285
36,0.3,0.3,0.2500850887870416
37,0.3,0.4,0.23205212680526754
38,0.3,0.5,0.24282741636239474
39,0.3,0.6,0.37134081713967004
40,0.3,0.7,0.5137304313867002
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.20124241952540511
45,0.4,0.1,0.19387913582847188
46,0.4,0.2,0.21164905581265156
47,0.4,0.3,0.20172417635578785
48,0.4,0.4,0.2382214545877966
49,0.4,0.5,0.36172222132006854
50,0.4,0.6,0.6068432286096086
51,0.4,0.7,0.2486914143897122
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.17484937837558498
56,0.5,0.1,0.2042243325733412
57,0.5,0.2,0.2001773314686483
58,0.5,0.3,0.19512234916294166
59,0.5,0.4,0.3563982606105323
60,0.5,0.5,0.5797595091751647
61,0.5,0.6,0.3301550731346323
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.20751774770292686
67,0.6,0.1,0.18733974772997988
68,0.6,0.2,0.21619359043702602
69,0.6,0.3,0.3388753046742775
70,0.6,0.4,0.5382534264683119
71,0.6,0.5,0.3078637245313137
72,0.6,0.6,0.21538663387506377
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.21348929117647633
78,0.7,0.1,0.2252725413885567
79,0.7,0.2,0.3144659783448183
80,0.7,0.3,0.5359427457136217
81,0.7,0.4,0.30051142906153816
82,0.7,0.5,0.2186293122474289
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.21457576283757246
89,0.8,0.1,0.3230880029385513
90,0.8,0.2,0.6075976130601823
91,0.8,0.3,0.36854271474090733
92,0.8,0.4,0.2971984265572175
93,0.8,0.5,0.30071969793748043
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.3210204811728309
100,0.9,0.1,0.5940006682907016
101,0.9,0.2,0.4819531105237017
102,0.9,0.3,0.3272352911079446
103,0.9,0.4,0.3216350088909123
104,0.9,0.5,0.36430531078459116
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.6787080186148664
111,0.99,0.1,0.7506008806564053
112,0.99,0.2,0.6621545973631378
113,0.99,0.3,0.6017502149934818
114,0.99,0.4,0.639713245082616
115,0.99,0.5,0.6620308807173125
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
