,P,cost,value
0,0.01,0.01,0.008202439204883661
1,0.01,0.1,0.007389426172919518
2,0.01,0.2,0.008471688051747485
3,0.01,0.3,0.008618285728214558
4,0.01,0.4,0.00840830060398602
5,0.01,0.5,0.00896061339068361
6,0.01,0.6,0.009021099598430364
7,0.01,0.7,0.008653382485733085
8,0.01,0.8,0.008672218798548893
9,0.01,0.9,0.008140417003229454
10,0.01,0.99,3.611619347943846
11,0.1,0.01,0.009493771868376992
12,0.1,0.1,0.009958349564548061
13,0.1,0.2,0.00931724680989338
14,0.1,0.3,0.01121831181122115
15,0.1,0.4,0.010699374326933447
16,0.1,0.5,0.011392286353018102
17,0.1,0.6,0.010989606374008944
18,0.1,0.7,0.014157330382016622
19,0.1,0.8,0.02936353467835037
20,0.1,0.9,2.650358461990285
21,0.1,0.99,
22,0.2,0.01,0.011232014741211745
23,0.2,0.1,0.012117801215207162
24,0.2,0.2,0.011162137957218909
25,0.2,0.3,0.011758481092368607
26,0.2,0.4,0.013941320264882033
27,0.2,0.5,0.018499976220654833
28,0.2,0.6,0.03299081794249701
29,0.2,0.7,0.19495461672591552
30,0.2,0.8,3.260111964989063
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.02003859436158002
34,0.3,0.1,0.015862869310727983
35,0.3,0.2,0.016056738726227614
36,0.3,0.3,0.01604697484323597
37,0.3,0.4,0.02478748355916611
38,0.3,0.5,0.06328775726945995
39,0.3,0.6,0.3324717562795666
40,0.3,0.7,3.146559237527002
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.05424169558259351
45,0.4,0.1,0.021929331818598075
46,0.4,0.2,0.01975075849132485
47,0.4,0.3,0.029254950675612155
48,0.4,0.4,0.062395332642844435
49,0.4,0.5,0.25662007772652107
50,0.4,0.6,2.6183950875517716
51,0.4,0.7,0.14400719442822602
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.3019756325424663
56,0.5,0.1,0.023817149803759905
57,0.5,0.2,0.025853044521977633
58,0.5,0.3,0.042516079241390406
59,0.5,0.4,0.10933329145704657
60,0.5,0.5,0.7730165954592647
61,0.5,0.6,0.11208701130996854
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.6318705069309627
67,0.6,0.1,0.019013884055740917
68,0.6,0.2,0.031941623296991684
69,0.6,0.3,0.07620745064336769
70,0.6,0.4,1.4048746185303818
71,0.6,0.5,0.07817526638166374
72,0.6,0.6,0.014365010718825537
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.5898314267496477
78,0.7,0.1,0.026353722671012648
79,0.7,0.2,0.06807810623847141
80,0.7,0.3,2.954145258803769
81,0.7,0.4,0.05556930659408699
82,0.7,0.5,0.009547816824220215
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.37078195193224817
89,0.8,0.1,0.07020969984671077
90,0.8,0.2,1.2023896588971248
91,0.8,0.3,0.03203551100128057
92,0.8,0.4,0.00847504906418037
93,0.8,0.5,0.004222201401109946
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.06141011994096189
100,0.9,0.1,0.9596405884336834
101,0.9,0.2,0.02236457353065422
102,0.9,0.3,0.005673508037807862
103,0.9,0.4,0.003405195739631331
104,0.9,0.5,0.0027495417099482056
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.356246684370206
111,0.99,0.1,0.007646224224277539
112,0.99,0.2,0.002108324848757139
113,0.99,0.3,0.0016098065768884082
114,0.99,0.4,0.0018213235563287549
115,0.99,0.5,0.001587853862242548
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
