,P,cost,value
0,0.01,0.01,0.00918199831173457
1,0.01,0.1,0.008387611035581215
2,0.01,0.2,0.008677025618879874
3,0.01,0.3,0.007915382364929653
4,0.01,0.4,0.008670728844040309
5,0.01,0.5,0.009062242137803725
6,0.01,0.6,0.0073485284307880224
7,0.01,0.7,0.008534907999829543
8,0.01,0.8,0.009060740580364757
9,0.01,0.9,0.008455676413120833
10,0.01,0.99,3.697918380301293
11,0.1,0.01,0.009649706173805993
12,0.1,0.1,0.00931372876108422
13,0.1,0.2,0.008573921837957178
14,0.1,0.3,0.009443329923823098
15,0.1,0.4,0.011055408118186198
16,0.1,0.5,0.01036367633874035
17,0.1,0.6,0.011406995704506186
18,0.1,0.7,0.013212807401231347
19,0.1,0.8,0.0287734366881024
20,0.1,0.9,3.235681366870185
21,0.1,0.99,
22,0.2,0.01,0.013459428551581144
23,0.2,0.1,0.013238515561206053
24,0.2,0.2,0.012708936558673762
25,0.2,0.3,0.012819360038770116
26,0.2,0.4,0.01260568966220364
27,0.2,0.5,0.014217386776057836
28,0.2,0.6,0.024204948403215364
29,0.2,0.7,0.12476625264928448
30,0.2,0.8,3.090348154521627
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.02169103418401661
34,0.3,0.1,0.021668076094734375
35,0.3,0.2,0.019522184459130138
36,0.3,0.3,0.016745245097993612
37,0.3,0.4,0.01736713864190558
38,0.3,0.5,0.02981561384300405
39,0.3,0.6,0.24917883774136815
40,0.3,0.7,3.2382820578969316
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.08431284045320507
45,0.4,0.1,0.0731648301907393
46,0.4,0.2,0.06602452233405123
47,0.4,0.3,0.0588167471319461
48,0.4,0.4,0.053980685838017774
49,0.4,0.5,0.11970498889366445
50,0.4,0.6,2.7560579786648858
51,0.4,0.7,0.4768647861322478
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.5069674835052301
56,0.5,0.1,0.6202305707295384
57,0.5,0.2,0.5616504118935275
58,0.5,0.3,0.5623350060529456
59,0.5,0.4,0.7520973148648357
60,0.5,0.5,0.6630456364440613
61,0.5,0.6,0.652060340123402
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.15336835745444594
67,0.6,0.1,0.1738618069306908
68,0.6,0.2,0.2681423534743286
69,0.6,0.3,0.5722545581955883
70,0.6,0.4,2.8416111163487496
71,0.6,0.5,0.08057647814042958
72,0.6,0.6,0.028447053702154602
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.0802051838039744
78,0.7,0.1,0.12696737495037883
79,0.7,0.2,0.42653322410902705
80,0.7,0.3,3.095963679779235
81,0.7,0.4,0.20033935432654237
82,0.7,0.5,0.011974713361337715
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.07234761130638588
89,0.8,0.1,0.288365007673592
90,0.8,0.2,3.235059114056647
91,0.8,0.3,0.16806495039113195
92,0.8,0.4,0.017913598595806265
93,0.8,0.5,0.005090979379156525
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.10079121336464535
100,0.9,0.1,3.0167878001425157
101,0.9,0.2,0.11302196893558254
102,0.9,0.3,0.01563055825579582
103,0.9,0.4,0.00432446332250454
104,0.9,0.5,0.00318527824633231
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.6748468433570074
111,0.99,0.1,0.033783215348893475
112,0.99,0.2,0.005262091209831468
113,0.99,0.3,0.002378101341956981
114,0.99,0.4,0.0016816581884183384
115,0.99,0.5,0.0017353093978347918
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
