,P,cost,value
0,0.01,0.01,0.008629790033710413
1,0.01,0.1,0.008142255615769
2,0.01,0.2,0.009346680597743628
3,0.01,0.3,0.008662418245502616
4,0.01,0.4,0.00886100713388607
5,0.01,0.5,0.009534993085446624
6,0.01,0.6,0.00897153257159561
7,0.01,0.7,0.00879413086661701
8,0.01,0.8,0.00972111684386991
9,0.01,0.9,0.008519864667344751
10,0.01,0.99,3.5966204206655843
11,0.1,0.01,0.01984239146330596
12,0.1,0.1,0.020257299915492223
13,0.1,0.2,0.02174317566256115
14,0.1,0.3,0.020486384329632665
15,0.1,0.4,0.01897628535511093
16,0.1,0.5,0.01779158811063465
17,0.1,0.6,0.01963248335616999
18,0.1,0.7,0.019503806536872132
19,0.1,0.8,0.029530956376187342
20,0.1,0.9,3.068906890472855
21,0.1,0.99,
22,0.2,0.01,0.04977150793123303
23,0.2,0.1,0.055018048417467394
24,0.2,0.2,0.053996517556631846
25,0.2,0.3,0.050221562736928
26,0.2,0.4,0.050966715949849334
27,0.2,0.5,0.06047463101754402
28,0.2,0.6,0.06193208512676364
29,0.2,0.7,0.11136756872122101
30,0.2,0.8,2.9745409536911502
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.09369386824216547
34,0.3,0.1,0.10232500183610722
35,0.3,0.2,0.09800225717879107
36,0.3,0.3,0.08666540346895571
37,0.3,0.4,0.10702235338012656
38,0.3,0.5,0.11180968082420353
39,0.3,0.6,0.19267536793411535
40,0.3,0.7,2.438822898379286
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.1502162185985539
45,0.4,0.1,0.15742413893247845
46,0.4,0.2,0.13434745929987624
47,0.4,0.3,0.1324210564084966
48,0.4,0.4,0.15980450657912218
49,0.4,0.5,0.24861756939546106
50,0.4,0.6,1.4391159929040063
51,0.4,0.7,0.3382669896219134
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.17253152943074135
56,0.5,0.1,0.18967176700830696
57,0.5,0.2,0.17989891835417543
58,0.5,0.3,0.21540907252153182
59,0.5,0.4,0.3160611866001786
60,0.5,0.5,0.5977096816507768
61,0.5,0.6,0.2847891210130874
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.16113107848604968
67,0.6,0.1,0.16787033713384966
68,0.6,0.2,0.19344944493161279
69,0.6,0.3,0.4393146747175516
70,0.6,0.4,1.6742302386435937
71,0.6,0.5,0.21937406532086282
72,0.6,0.6,0.16723162661340604
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.1007776431527588
78,0.7,0.1,0.15999579743983577
79,0.7,0.2,0.3893533004155706
80,0.7,0.3,2.300108058420618
81,0.7,0.4,0.19785438039319928
82,0.7,0.5,0.08327193982845318
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.09678887686547821
89,0.8,0.1,0.3091775257403093
90,0.8,0.2,3.0053882199006803
91,0.8,0.3,0.1454143063901777
92,0.8,0.4,0.04923815817309236
93,0.8,0.5,0.0486418598981005
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.15215562368844515
100,0.9,0.1,2.974031492076779
101,0.9,0.2,0.1134389652061947
102,0.9,0.3,0.01728337746259055
103,0.9,0.4,0.015945651935810636
104,0.9,0.5,0.014975409498818227
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.3330922304001294
111,0.99,0.1,0.029853364988407936
112,0.99,0.2,0.0031741159229681203
113,0.99,0.3,0.0018199437936387156
114,0.99,0.4,0.0022858192809537435
115,0.99,0.5,0.002151372402103383
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
