,P,cost,value
0,0.01,0.01,0.726496473274217
1,0.01,0.1,0.6070501208368041
2,0.01,0.2,0.6081096274631025
3,0.01,0.3,0.6805343486627666
4,0.01,0.4,0.6413130421811941
5,0.01,0.5,0.6804779978098973
6,0.01,0.6,0.6072389782695659
7,0.01,0.7,0.6100139956453363
8,0.01,0.8,0.7087193117337214
9,0.01,0.9,0.6815508860108522
10,0.01,0.99,1.779188137636181
11,0.1,0.01,0.5955496671179062
12,0.1,0.1,0.6884430318665452
13,0.1,0.2,0.6766559440981976
14,0.1,0.3,0.7181122954173997
15,0.1,0.4,0.7133126736313737
16,0.1,0.5,0.819192207870052
17,0.1,0.6,0.6316311020445118
18,0.1,0.7,0.7115807564797022
19,0.1,0.8,0.643769748861291
20,0.1,0.9,0.8910378401266121
21,0.1,0.99,
22,0.2,0.01,0.7107431047228838
23,0.2,0.1,0.7735279631961538
24,0.2,0.2,0.6900422389833222
25,0.2,0.3,0.723274203723266
26,0.2,0.4,0.6584450199650735
27,0.2,0.5,0.6964449221841467
28,0.2,0.6,0.7182043599859276
29,0.2,0.7,0.7710909456853189
30,0.2,0.8,0.7466482259550788
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.6830247473525232
34,0.3,0.1,0.6721388304225253
35,0.3,0.2,0.6482878437945593
36,0.3,0.3,0.7271409994364493
37,0.3,0.4,0.7651438066620447
38,0.3,0.5,0.8040260253859128
39,0.3,0.6,0.8365277567654061
40,0.3,0.7,0.7483042862949225
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.6894590843970088
45,0.4,0.1,0.6814976639153558
46,0.4,0.2,0.565885233465183
47,0.4,0.3,0.5831148463472069
48,0.4,0.4,0.6366993500629397
49,0.4,0.5,0.8027025917153129
50,0.4,0.6,0.6289431702375718
51,0.4,0.7,0.7365374660618619
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.6709851278987107
56,0.5,0.1,0.7242281441083108
57,0.5,0.2,0.7177741638726696
58,0.5,0.3,0.7290853400257289
59,0.5,0.4,0.8767665386838708
60,0.5,0.5,0.7745638236811841
61,0.5,0.6,0.714371876313113
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.7485410853681786
67,0.6,0.1,0.6340164609162103
68,0.6,0.2,0.6424166945149268
69,0.6,0.3,0.7756130422008956
70,0.6,0.4,0.6570568937294559
71,0.6,0.5,0.8060484966465221
72,0.6,0.6,0.7040252492240022
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.6839163015086068
78,0.7,0.1,0.6201337619028638
79,0.7,0.2,0.7664352701728767
80,0.7,0.3,0.5713385918128715
81,0.7,0.4,0.8207621245594959
82,0.7,0.5,0.7474076253810242
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.6931942065418245
89,0.8,0.1,0.6886436618932126
90,0.8,0.2,0.7351832953785707
91,0.8,0.3,0.7555805583750208
92,0.8,0.4,0.7149414507492785
93,0.8,0.5,0.779978709543686
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.5621498512848592
100,0.9,0.1,0.6823647018521171
101,0.9,0.2,0.7672696274659335
102,0.9,0.3,0.6315637647203487
103,0.9,0.4,0.6679741673753086
104,0.9,0.5,0.7026447263753198
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.656034680927523
111,0.99,0.1,0.693155763992186
112,0.99,0.2,0.6109242787359112
113,0.99,0.3,0.7060305645653054
114,0.99,0.4,0.6435354572817003
115,0.99,0.5,0.5524144403110408
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
