,P,cost,value
0,0.01,0.01,0.6103472524029979
1,0.01,0.1,0.5415872094867614
2,0.01,0.2,0.5807424874693061
3,0.01,0.3,0.6104956388858097
4,0.01,0.4,0.6136985903273106
5,0.01,0.5,0.6331009411014297
6,0.01,0.6,0.5881597072213552
7,0.01,0.7,0.6060577591373558
8,0.01,0.8,0.5792250287056036
9,0.01,0.9,0.5944803332798989
10,0.01,0.99,1.8167781957975193
11,0.1,0.01,0.6806250479535916
12,0.1,0.1,0.7744412107061855
13,0.1,0.2,0.8288604373342369
14,0.1,0.3,0.7555372467706251
15,0.1,0.4,0.8683961230906991
16,0.1,0.5,0.7811063969911916
17,0.1,0.6,0.811601024319742
18,0.1,0.7,0.7822127475936849
19,0.1,0.8,0.8284164882564427
20,0.1,0.9,0.795137324910301
21,0.1,0.99,
22,0.2,0.01,0.8630514473266944
23,0.2,0.1,0.7443740899118217
24,0.2,0.2,0.7472393880253416
25,0.2,0.3,0.7475288858728445
26,0.2,0.4,0.6869848133458821
27,0.2,0.5,0.7943395848042296
28,0.2,0.6,0.7904285831002493
29,0.2,0.7,0.8298636853334928
30,0.2,0.8,0.6579282139064284
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.8800037144570891
34,0.3,0.1,0.7704527332002826
35,0.3,0.2,0.7674250173392481
36,0.3,0.3,0.8561508547437926
37,0.3,0.4,0.7380632966377992
38,0.3,0.5,0.7684675424119353
39,0.3,0.6,0.8916428904689372
40,0.3,0.7,0.632578577323143
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.7647933128035921
45,0.4,0.1,0.7093944961695364
46,0.4,0.2,0.8923512361128925
47,0.4,0.3,0.7846401715608718
48,0.4,0.4,0.7449793681431536
49,0.4,0.5,0.7764909762564332
50,0.4,0.6,0.5790001347348328
51,0.4,0.7,0.8329231321260456
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.7251565993341988
56,0.5,0.1,0.7781957878316602
57,0.5,0.2,0.743853650959364
58,0.5,0.3,0.7980421829343758
59,0.5,0.4,0.8795636487723514
60,0.5,0.5,0.5987648532319966
61,0.5,0.6,0.6945318894087131
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.7681022249145419
67,0.6,0.1,0.6205755076917293
68,0.6,0.2,0.7703322438362369
69,0.6,0.3,0.8112267097053948
70,0.6,0.4,0.4944443381201951
71,0.6,0.5,0.8163935833326859
72,0.6,0.6,0.7674202230938674
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.763615693598264
78,0.7,0.1,0.7883286823857556
79,0.7,0.2,0.819642620560562
80,0.7,0.3,0.627462601688027
81,0.7,0.4,0.8269113226427449
82,0.7,0.5,0.7919671408453492
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.7462224190513276
89,0.8,0.1,0.838263190723374
90,0.8,0.2,0.8357929217928199
91,0.8,0.3,0.8663609879060397
92,0.8,0.4,0.8702942300458084
93,0.8,0.5,0.8577726567398586
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.7263214640688421
100,0.9,0.1,0.8571194328601138
101,0.9,0.2,0.8988002319091599
102,0.9,0.3,0.7285335136567584
103,0.9,0.4,0.7550761657911635
104,0.9,0.5,0.8510157810803393
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,2.124016888490276
111,0.99,0.1,0.8107711095792479
112,0.99,0.2,0.7060468419287689
113,0.99,0.3,0.6656757489085929
114,0.99,0.4,0.6716384208944512
115,0.99,0.5,0.6723748729560404
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
