,P,cost,value
0,0.01,0.01,0.6499366397384938
1,0.01,0.1,0.7375097011646246
2,0.01,0.2,0.7106203994486343
3,0.01,0.3,0.6722495215173105
4,0.01,0.4,0.7409059352086433
5,0.01,0.5,0.8169436208656738
6,0.01,0.6,0.6784110098855435
7,0.01,0.7,0.712555360427246
8,0.01,0.8,0.5919933400235216
9,0.01,0.9,0.6572687016462874
10,0.01,0.99,2.118771002309975
11,0.1,0.01,0.5665892996426859
12,0.1,0.1,0.47542211922143635
13,0.1,0.2,0.4822413373411382
14,0.1,0.3,0.468965606244198
15,0.1,0.4,0.5390981287220605
16,0.1,0.5,0.5700804849620278
17,0.1,0.6,0.5126336536647634
18,0.1,0.7,0.45289285705198573
19,0.1,0.8,0.5737295024437634
20,0.1,0.9,0.5490533838312726
21,0.1,0.99,
22,0.2,0.01,0.38773243187050954
23,0.2,0.1,0.3224697444321534
24,0.2,0.2,0.35313602870547967
25,0.2,0.3,0.32632195807323433
26,0.2,0.4,0.35440179228387103
27,0.2,0.5,0.34378929163966476
28,0.2,0.6,0.3269817508937456
29,0.2,0.7,0.41339203835453997
30,0.2,0.8,0.5461061277347752
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.24120450983185332
34,0.3,0.1,0.25135911863602484
35,0.3,0.2,0.26800178936627034
36,0.3,0.3,0.2881760599313967
37,0.3,0.4,0.2664529700577073
38,0.3,0.5,0.2833195268448325
39,0.3,0.6,0.40992735310330897
40,0.3,0.7,0.5151710945039566
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.21190185018465113
45,0.4,0.1,0.20142511619431003
46,0.4,0.2,0.22121420072903836
47,0.4,0.3,0.21298378722419042
48,0.4,0.4,0.24777557476944576
49,0.4,0.5,0.3719717248882332
50,0.4,0.6,0.6083486394425476
51,0.4,0.7,0.2487027102854489
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.17503928391009896
56,0.5,0.1,0.20404649092344102
57,0.5,0.2,0.2006659719276986
58,0.5,0.3,0.1959646161340262
59,0.5,0.4,0.35967785529780527
60,0.5,0.5,0.58089645220647
61,0.5,0.6,0.33216660221208055
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.21561624170527027
67,0.6,0.1,0.19204595756204296
68,0.6,0.2,0.22049828568766847
69,0.6,0.3,0.3406156138429847
70,0.6,0.4,0.5455053056267607
71,0.6,0.5,0.314629819469338
72,0.6,0.6,0.23061673441082478
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.23995263836178193
78,0.7,0.1,0.2533650500345571
79,0.7,0.2,0.3238896843723957
80,0.7,0.3,0.5326476560352786
81,0.7,0.4,0.3302580740072309
82,0.7,0.5,0.2556279708353952
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.285446219529175
89,0.8,0.1,0.38623619278072113
90,0.8,0.2,0.601882118679433
91,0.8,0.3,0.44075095314177554
92,0.8,0.4,0.3938092089100502
93,0.8,0.5,0.38583781496820035
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.4885859611155633
100,0.9,0.1,0.5620005573303198
101,0.9,0.2,0.677329460472733
102,0.9,0.3,0.5189221364142687
103,0.9,0.4,0.5102946298165921
104,0.9,0.5,0.5475752416968339
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.9665261090315165
111,0.99,0.1,0.7949136249127015
112,0.99,0.2,0.6954008425371279
113,0.99,0.3,0.6521671303579833
114,0.99,0.4,0.6685305929234803
115,0.99,0.5,0.6733662413242958
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
