,P,cost,value
0,0.01,0.01,0.5649144555052313
1,0.01,0.1,0.5674093580306814
2,0.01,0.2,0.5832986837060554
3,0.01,0.3,0.5648382433543565
4,0.01,0.4,0.6220097756374863
5,0.01,0.5,0.6789821596676271
6,0.01,0.6,0.5790203344742298
7,0.01,0.7,0.554802947954804
8,0.01,0.8,0.5602093449366187
9,0.01,0.9,0.5392743488332344
10,0.01,0.99,1.6639513398555863
11,0.1,0.01,0.5920971332603759
12,0.1,0.1,0.5873349750082922
13,0.1,0.2,0.5801456333365239
14,0.1,0.3,0.5832224641218737
15,0.1,0.4,0.6057552427169735
16,0.1,0.5,0.6181623412873778
17,0.1,0.6,0.6053386408092065
18,0.1,0.7,0.5461021985014622
19,0.1,0.8,0.6777465823016299
20,0.1,0.9,0.7437606401856643
21,0.1,0.99,
22,0.2,0.01,0.644986481967613
23,0.2,0.1,0.5365002592063624
24,0.2,0.2,0.5263423275784451
25,0.2,0.3,0.6129766739474478
26,0.2,0.4,0.5571229919959677
27,0.2,0.5,0.5861290525206913
28,0.2,0.6,0.5678034862511938
29,0.2,0.7,0.6875740998166291
30,0.2,0.8,0.6497747048708752
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.6382648345840958
34,0.3,0.1,0.5970953980045725
35,0.3,0.2,0.5814283280005803
36,0.3,0.3,0.6442231343446507
37,0.3,0.4,0.6362806488968041
38,0.3,0.5,0.6069580974921337
39,0.3,0.6,0.8504490674628179
40,0.3,0.7,0.648472367846164
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.6145101815612551
45,0.4,0.1,0.5388716450935711
46,0.4,0.2,0.5965275849218485
47,0.4,0.3,0.6116741484435697
48,0.4,0.4,0.5773593362984557
49,0.4,0.5,0.7367303493871123
50,0.4,0.6,0.4924519726595059
51,0.4,0.7,0.5780907127519618
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.5069968431221403
56,0.5,0.1,0.6171658567958567
57,0.5,0.2,0.5553945986418627
58,0.5,0.3,0.5641722520831014
59,0.5,0.4,0.7491591025228761
60,0.5,0.5,0.659091492926091
61,0.5,0.6,0.6532210932317737
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.6551840924777905
67,0.6,0.1,0.5349479652304474
68,0.6,0.2,0.5444826244466674
69,0.6,0.3,0.6842566092742215
70,0.6,0.4,0.5217533240601614
71,0.6,0.5,0.6332144526440476
72,0.6,0.6,0.5131590416725994
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.6019825062602717
78,0.7,0.1,0.5943741071375509
79,0.7,0.2,0.6410078397402195
80,0.7,0.3,0.5819864403544726
81,0.7,0.4,0.6735734167749369
82,0.7,0.5,0.568154266759072
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.521921154119503
89,0.8,0.1,0.6820490886641253
90,0.8,0.2,0.817744203443366
91,0.8,0.3,0.6974138070832878
92,0.8,0.4,0.6544637034229306
93,0.8,0.5,0.6903810948159917
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.5562960791434644
100,0.9,0.1,0.7953279302589266
101,0.9,0.2,0.7754404184134377
102,0.9,0.3,0.5535181937593803
103,0.9,0.4,0.6151016435275132
104,0.9,0.5,0.6118421554833787
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.6903467521730438
111,0.99,0.1,0.6631064373677911
112,0.99,0.2,0.5747575532952716
113,0.99,0.3,0.6854569989543395
114,0.99,0.4,0.6052471681914098
115,0.99,0.5,0.6241209854902017
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
