,P,cost,value
0,0.01,0.01,4.839349969133126e-16
1,0.01,0.1,5.087681048627601e-16
2,0.01,0.2,4.440892098500626e-16
3,0.01,0.3,4.2998752849492583e-16
4,0.01,0.4,3.510833468576701e-16
5,0.01,0.5,5.20740757162067e-16
6,0.01,0.6,4.839349969133126e-16
7,0.01,0.7,4.577566798522237e-16
8,0.01,0.8,3.3306690738754696e-16
9,0.01,0.9,4.440892098500626e-16
10,0.01,0.99,0.0
11,0.1,0.01,1.570092458683775e-16
12,0.1,0.1,1.570092458683775e-16
13,0.1,0.2,1.9229626863835638e-16
14,0.1,0.3,2.220446049250313e-16
15,0.1,0.4,1.570092458683775e-16
16,0.1,0.5,1.570092458683775e-16
17,0.1,0.6,1.9229626863835638e-16
18,0.1,0.7,1.9229626863835638e-16
19,0.1,0.8,0.0
20,0.1,0.9,0.0
21,0.1,0.99,
22,0.2,0.01,1.1102230246251565e-16
23,0.2,0.1,1.1102230246251565e-16
24,0.2,0.2,0.0
25,0.2,0.3,1.570092458683775e-16
26,0.2,0.4,0.0
27,0.2,0.5,0.0
28,0.2,0.6,1.1102230246251565e-16
29,0.2,0.7,0.0
30,0.2,0.8,0.0
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.0
34,0.3,0.1,0.0
35,0.3,0.2,0.0
36,0.3,0.3,0.0
37,0.3,0.4,0.0
38,0.3,0.5,0.0
39,0.3,0.6,0.0
40,0.3,0.7,0.0
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.0
45,0.4,0.1,0.0
46,0.4,0.2,0.0
47,0.4,0.3,0.0
48,0.4,0.4,0.0
49,0.4,0.5,0.0
50,0.4,0.6,0.0
51,0.4,0.7,0.0
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.0
56,0.5,0.1,0.0
57,0.5,0.2,0.0
58,0.5,0.3,0.0
59,0.5,0.4,0.0
60,0.5,0.5,0.0
61,0.5,0.6,0.0
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.0
67,0.6,0.1,0.0
68,0.6,0.2,0.0
69,0.6,0.3,0.0
70,0.6,0.4,0.0
71,0.6,0.5,0.0
72,0.6,0.6,0.0
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.0
78,0.7,0.1,0.0
79,0.7,0.2,0.0
80,0.7,0.3,0.0
81,0.7,0.4,0.0
82,0.7,0.5,0.0
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.0
89,0.8,0.1,0.0
90,0.8,0.2,0.0
91,0.8,0.3,0.0
92,0.8,0.4,0.0
93,0.8,0.5,0.0
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.0
100,0.9,0.1,0.0
101,0.9,0.2,0.0
102,0.9,0.3,0.0
103,0.9,0.4,0.0
104,0.9,0.5,0.0
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.0
111,0.99,0.1,0.0
112,0.99,0.2,0.0
113,0.99,0.3,0.0
114,0.99,0.4,0.0
115,0.99,0.5,0.0
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
