,P,cost,value
0,0.01,0.01,0.00930029550291351
1,0.01,0.1,0.00831163553459343
2,0.01,0.2,0.008659725181909356
3,0.01,0.3,0.007963950561736672
4,0.01,0.4,0.008691821957181977
5,0.01,0.5,0.009095874944544892
6,0.01,0.6,0.007313707489692386
7,0.01,0.7,0.008710876422812685
8,0.01,0.8,0.009556646522273437
9,0.01,0.9,0.014062838968480242
10,0.01,0.99,1.6539286035050216
11,0.1,0.01,0.008489472866096248
12,0.1,0.1,0.00930030931777622
13,0.1,0.2,0.00869050996902919
14,0.1,0.3,0.009023881111121458
15,0.1,0.4,0.01113988902910071
16,0.1,0.5,0.010359336032622877
17,0.1,0.6,0.011884870949131147
18,0.1,0.7,0.015416466692672572
19,0.1,0.8,0.03011519918618273
20,0.1,0.9,0.7652595110612398
21,0.1,0.99,
22,0.2,0.01,0.009760769901607486
23,0.2,0.1,0.009275083461883958
24,0.2,0.2,0.01025470582375107
25,0.2,0.3,0.011833199123062427
26,0.2,0.4,0.01144468667381665
27,0.2,0.5,0.014171308797678287
28,0.2,0.6,0.01835627805193955
29,0.2,0.7,0.0412610040742608
30,0.2,0.8,0.6875768429722942
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.01103396794926119
34,0.3,0.1,0.010203019945384468
35,0.3,0.2,0.012474227927616774
36,0.3,0.3,0.013145745593180474
37,0.3,0.4,0.0195313078204053
38,0.3,0.5,0.029879267566889113
39,0.3,0.6,0.12079766236444307
40,0.3,0.7,0.6446946953584055
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.010955906645242253
45,0.4,0.1,0.014529821761031037
46,0.4,0.2,0.016010135228048488
47,0.4,0.3,0.0218784789731302
48,0.4,0.4,0.04113341005005423
49,0.4,0.5,0.11966262752944862
50,0.4,0.6,0.49410517783828684
51,0.4,0.7,0.0975514838764109
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.011003501461061445
56,0.5,0.1,0.014750012646062476
57,0.5,0.2,0.021378378965631085
58,0.5,0.3,0.03837324323126974
59,0.5,0.4,0.1392326520380404
60,0.5,0.5,0.6601311164826791
61,0.5,0.6,0.08332511340707885
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.012547030246339625
67,0.6,0.1,0.020450665047037728
68,0.6,0.2,0.034848063343712696
69,0.6,0.3,0.10417470053747124
70,0.6,0.4,0.5233343827246382
71,0.6,0.5,0.08074233790194972
72,0.6,0.6,0.01354402412605284
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.016642784404537165
78,0.7,0.1,0.02811864467947824
79,0.7,0.2,0.12019215504434437
80,0.7,0.3,0.5816341853304696
81,0.7,0.4,0.08358197546282566
82,0.7,0.5,0.01193853669757403
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.027005390855690897
89,0.8,0.1,0.09387991108755159
90,0.8,0.2,0.8184196157437345
91,0.8,0.3,0.04282805683280325
92,0.8,0.4,0.010315949245828324
93,0.8,0.5,0.005023696984865453
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.054193541226812
100,0.9,0.1,0.7965035005809408
101,0.9,0.2,0.02553251488766118
102,0.9,0.3,0.0058938294072063135
103,0.9,0.4,0.003582332156527848
104,0.9,0.5,0.0031539831055811237
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.6889474710770154
111,0.99,0.1,0.008310334647272002
112,0.99,0.2,0.002243169614756335
113,0.99,0.3,0.0019118846999242938
114,0.99,0.4,0.0017161454543215158
115,0.99,0.5,0.0017578179492729563
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
