,P,cost,value
0,0.01,0.01,0.008219108610730814
1,0.01,0.1,0.017728457975328456
2,0.01,0.2,0.05375886730328048
3,0.01,0.3,0.14324381065946945
4,0.01,0.4,0.35956779541427697
5,0.01,0.5,0.6262008678810744
6,0.01,0.6,0.536285383017072
7,0.01,0.7,0.42896420213133674
8,0.01,0.8,0.47803300436129675
9,0.01,0.9,0.4612956468277136
10,0.01,0.99,2.719271546031703
11,0.1,0.01,0.00914134709727263
12,0.1,0.1,0.010171723963655744
13,0.1,0.2,0.013616985472683616
14,0.1,0.3,0.0349303758107411
15,0.1,0.4,0.1513830479669929
16,0.1,0.5,0.711708879713177
17,0.1,0.6,0.29402825856672427
18,0.1,0.7,0.18891805612008666
19,0.1,0.8,0.18800796270118658
20,0.1,0.9,3.101349717646264
21,0.1,0.99,
22,0.2,0.01,0.0101605230219713
23,0.2,0.1,0.010133469099410338
24,0.2,0.2,0.011581858489067943
25,0.2,0.3,0.022001198663567673
26,0.2,0.4,0.0824932732948505
27,0.2,0.5,0.5946885385742369
28,0.2,0.6,0.30822580330786536
29,0.2,0.7,0.3914016086155022
30,0.2,0.8,3.300322461354497
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.008946929931464957
34,0.3,0.1,0.010337232640733364
35,0.3,0.2,0.013486781222748153
36,0.3,0.3,0.017801392907639626
37,0.3,0.4,0.0679934256501431
38,0.3,0.5,0.6859261163393711
39,0.3,0.6,0.6394448397268928
40,0.3,0.7,3.1121053584013474
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.009968247604907235
45,0.4,0.1,0.012518438313237613
46,0.4,0.2,0.01604910844523216
47,0.4,0.3,0.020389603302271325
48,0.4,0.4,0.048604364501014234
49,0.4,0.5,0.7870068725892087
50,0.4,0.6,2.8827064898199484
51,0.4,0.7,0.1367652312718465
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.01135977390534242
56,0.5,0.1,0.013807593143013656
57,0.5,0.2,0.02269765835194784
58,0.5,0.3,0.03803395569681738
59,0.5,0.4,0.15567841647773212
60,0.5,0.5,0.774960974822026
61,0.5,0.6,0.08136439662495762
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.012888595427503419
67,0.6,0.1,0.019420097304324247
68,0.6,0.2,0.04984137384194123
69,0.6,0.3,0.27493565133866427
70,0.6,0.4,2.971820964225749
71,0.6,0.5,0.7110618650455138
72,0.6,0.6,0.039028620869754116
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.01697761576533626
78,0.7,0.1,0.0330213554836846
79,0.7,0.2,0.20119162870335938
80,0.7,0.3,2.9814444744286686
81,0.7,0.4,0.6046593988092942
82,0.7,0.5,0.6631414446685417
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.02372157440230295
89,0.8,0.1,0.13509448516342284
90,0.8,0.2,3.230005306822383
91,0.8,0.3,0.44710746311445004
92,0.8,0.4,0.32390533562807056
93,0.8,0.5,0.6356651458282305
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.06157728066479899
100,0.9,0.1,2.9807313733011465
101,0.9,0.2,0.3730734407607492
102,0.9,0.3,0.2438582204337006
103,0.9,0.4,0.31873164341236265
104,0.9,0.5,0.5999849905850299
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,2.4948561813101504
111,0.99,0.1,0.5234384481488333
112,0.99,0.2,0.41500025876836066
113,0.99,0.3,0.455728665713629
114,0.99,0.4,0.5211408420312494
115,0.99,0.5,0.5044725025305007
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
