,P,cost,value
0,0.01,0.01,0.5646214342019883
1,0.01,0.1,0.5678325119502827
2,0.01,0.2,0.5835263672914348
3,0.01,0.3,0.5649009750491449
4,0.01,0.4,0.6216564506049772
5,0.01,0.5,0.6792313413999352
6,0.01,0.6,0.5796019659080883
7,0.01,0.7,0.5545379253409246
8,0.01,0.8,0.5606478734229112
9,0.01,0.9,0.5380131085211601
10,0.01,0.99,1.6638513936632942
11,0.1,0.01,0.5939384752908953
12,0.1,0.1,0.5877780817701951
13,0.1,0.2,0.5796218009993268
14,0.1,0.3,0.5824611219580674
15,0.1,0.4,0.6057877235018528
16,0.1,0.5,0.619450744381566
17,0.1,0.6,0.6054681732989083
18,0.1,0.7,0.5441602743285262
19,0.1,0.8,0.6774085715513865
20,0.1,0.9,0.7425056830489489
21,0.1,0.99,
22,0.2,0.01,0.645501572798238
23,0.2,0.1,0.5360861040850171
24,0.2,0.2,0.5287788284128601
25,0.2,0.3,0.613181896569487
26,0.2,0.4,0.5566872561287901
27,0.2,0.5,0.5863001124254177
28,0.2,0.6,0.5707449411190156
29,0.2,0.7,0.6846634505406101
30,0.2,0.8,0.649239569457945
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.6397597683644005
34,0.3,0.1,0.5971095114387235
35,0.3,0.2,0.5817055318870832
36,0.3,0.3,0.6450610011894551
37,0.3,0.4,0.635177805999222
38,0.3,0.5,0.605318050475028
39,0.3,0.6,0.8504140302671206
40,0.3,0.7,0.6488364860581186
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.615371580101173
45,0.4,0.1,0.5396198564815127
46,0.4,0.2,0.5989926530866326
47,0.4,0.3,0.6104965708540719
48,0.4,0.4,0.5808211883626045
49,0.4,0.5,0.7346082872040959
50,0.4,0.6,0.49360168443649455
51,0.4,0.7,0.5781181488218018
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.5014049674422624
56,0.5,0.1,0.6201918632902083
57,0.5,0.2,0.5582539153649115
58,0.5,0.3,0.5620988298066472
59,0.5,0.4,0.7512166908113382
60,0.5,0.5,0.6565160160144151
61,0.5,0.6,0.6451470083231892
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.6565165233349655
67,0.6,0.1,0.5362014020054859
68,0.6,0.2,0.5456448187971872
69,0.6,0.3,0.6833251634342418
70,0.6,0.4,0.5218813862124859
71,0.6,0.5,0.6355705175882733
72,0.6,0.6,0.5155472501262185
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.6033878046731498
78,0.7,0.1,0.5948712649599478
79,0.7,0.2,0.6405868245808682
80,0.7,0.3,0.5818997487678651
81,0.7,0.4,0.673649173018215
82,0.7,0.5,0.5683661250482526
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.5187015218676322
89,0.8,0.1,0.6827253309360701
90,0.8,0.2,0.8167643162630547
91,0.8,0.3,0.6949695081360395
92,0.8,0.4,0.6574583744987104
93,0.8,0.5,0.6889435114502394
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.557081760926499
100,0.9,0.1,0.7940568920887376
101,0.9,0.2,0.774100670809827
102,0.9,0.3,0.554521202162408
103,0.9,0.4,0.6142818012439757
104,0.9,0.5,0.611573750666702
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.690579584773764
111,0.99,0.1,0.6628523585689703
112,0.99,0.2,0.5746171784276457
113,0.99,0.3,0.6851653082459455
114,0.99,0.4,0.6053406573208509
115,0.99,0.5,0.6244632286825316
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
