,P,cost,value
0,0.01,0.01,0.009177204409215614
1,0.01,0.1,0.008346997759484122
2,0.01,0.2,0.008713735684948648
3,0.01,0.3,0.007946435560469933
4,0.01,0.4,0.008669157849709917
5,0.01,0.5,0.009095874944544892
6,0.01,0.6,0.0073464809709222504
7,0.01,0.7,0.008513699823741581
8,0.01,0.8,0.009014553310226464
9,0.01,0.9,0.008449831476015591
10,0.01,0.99,3.6981710839884814
11,0.1,0.01,0.009578602371017365
12,0.1,0.1,0.009293666363940085
13,0.1,0.2,0.008573340836838465
14,0.1,0.3,0.009528552811557121
15,0.1,0.4,0.011109425462904561
16,0.1,0.5,0.010359336032622877
17,0.1,0.6,0.01140598467448321
18,0.1,0.7,0.013136854484573897
19,0.1,0.8,0.028801249332529054
20,0.1,0.9,3.2357081490203305
21,0.1,0.99,
22,0.2,0.01,0.013284956070406717
23,0.2,0.1,0.013209630495640426
24,0.2,0.2,0.012677840819002226
25,0.2,0.3,0.012759364004714512
26,0.2,0.4,0.012554469981194083
27,0.2,0.5,0.014171308797678287
28,0.2,0.6,0.02416104126083432
29,0.2,0.7,0.1249540322196574
30,0.2,0.8,3.090875640139015
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.02173461758953804
34,0.3,0.1,0.021670920411999195
35,0.3,0.2,0.01949527421441835
36,0.3,0.3,0.016753604727391947
37,0.3,0.4,0.0173506686625194
38,0.3,0.5,0.029879267566889113
39,0.3,0.6,0.24900815824561637
40,0.3,0.7,3.237528678527424
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.08434090569872854
45,0.4,0.1,0.07325672892167867
46,0.4,0.2,0.06582696444162395
47,0.4,0.3,0.058307168414933414
48,0.4,0.4,0.05382432641187794
49,0.4,0.5,0.11966262752944862
50,0.4,0.6,2.75706471565704
51,0.4,0.7,0.47625300776154594
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.506016313818163
56,0.5,0.1,0.6187619266462195
57,0.5,0.2,0.554843783205738
58,0.5,0.3,0.5663032696601342
59,0.5,0.4,0.7495402265699116
60,0.5,0.5,0.6601311164826791
61,0.5,0.6,0.6563791726843238
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.15411494570596554
67,0.6,0.1,0.1750900964667512
68,0.6,0.2,0.26767067414399387
69,0.6,0.3,0.5726579496255667
70,0.6,0.4,2.841000744343545
71,0.6,0.5,0.08074233790194972
72,0.6,0.6,0.02843762145104846
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.0801772593377127
78,0.7,0.1,0.12681896940038798
79,0.7,0.2,0.4268190909052461
80,0.7,0.3,3.095994929210917
81,0.7,0.4,0.19974515057951028
82,0.7,0.5,0.01193853669757403
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.07222539164321962
89,0.8,0.1,0.28786113520077183
90,0.8,0.2,3.2353432176849086
91,0.8,0.3,0.167726287114941
92,0.8,0.4,0.017859385635451717
93,0.8,0.5,0.005023696984865453
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.10083847402688086
100,0.9,0.1,3.0172476255652847
101,0.9,0.2,0.11335586555289509
102,0.9,0.3,0.01567294990917244
103,0.9,0.4,0.004269904138048824
104,0.9,0.5,0.0031539831055811237
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.6757023961138002
111,0.99,0.1,0.033747426917605135
112,0.99,0.2,0.005237539713290261
113,0.99,0.3,0.0023808578571802505
114,0.99,0.4,0.0016740815025772567
115,0.99,0.5,0.0017578179492729563
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
