,P,cost,value
0,0.01,0.01,0.5647722337114341
1,0.01,0.1,0.5677474040232815
2,0.01,0.2,0.5835039195877498
3,0.01,0.3,0.564904491088496
4,0.01,0.4,0.6216682152230975
5,0.01,0.5,0.679282902853887
6,0.01,0.6,0.5795169934488588
7,0.01,0.7,0.5547973730324642
8,0.01,0.8,0.5606145048377421
9,0.01,0.9,0.5380105422180823
10,0.01,0.99,1.6638513936632942
11,0.1,0.01,0.5938496002860956
12,0.1,0.1,0.5879535995638925
13,0.1,0.2,0.5795387450078546
14,0.1,0.3,0.5823983653445276
15,0.1,0.4,0.6057904952575366
16,0.1,0.5,0.6195915207167095
17,0.1,0.6,0.6054585314372121
18,0.1,0.7,0.5440621969305693
19,0.1,0.8,0.6773409313581445
20,0.1,0.9,0.7425056830489489
21,0.1,0.99,
22,0.2,0.01,0.6457296856212096
23,0.2,0.1,0.5360809684785502
24,0.2,0.2,0.5287906816243388
25,0.2,0.3,0.613104648805957
26,0.2,0.4,0.5564415306179444
27,0.2,0.5,0.5863110727682529
28,0.2,0.6,0.5706658100769284
29,0.2,0.7,0.6847158587373701
30,0.2,0.8,0.6492248426899032
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.6397363571869285
34,0.3,0.1,0.5971010498565819
35,0.3,0.2,0.5817115718964322
36,0.3,0.3,0.6450376037853764
37,0.3,0.4,0.6351293790197876
38,0.3,0.5,0.6053422470199434
39,0.3,0.6,0.8504742088964155
40,0.3,0.7,0.6488364860581186
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.6152843719191358
45,0.4,0.1,0.5396198102573756
46,0.4,0.2,0.5990069353736331
47,0.4,0.3,0.6105606206623508
48,0.4,0.4,0.5807773383794755
49,0.4,0.5,0.7345998256716513
50,0.4,0.6,0.49360168443649455
51,0.4,0.7,0.5781381401017542
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.5016023540773539
56,0.5,0.1,0.6202007409247324
57,0.5,0.2,0.558235133736557
58,0.5,0.3,0.5620778904946644
59,0.5,0.4,0.7512259590683518
60,0.5,0.5,0.6565160160144151
61,0.5,0.6,0.6450976977572926
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.6565152559888072
67,0.6,0.1,0.5362226686190786
68,0.6,0.2,0.5456582067370855
69,0.6,0.3,0.683269807720241
70,0.6,0.4,0.5218813862124859
71,0.6,0.5,0.6355008647655602
72,0.6,0.6,0.5155352777690779
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.6033982904181909
78,0.7,0.1,0.5949000999173186
79,0.7,0.2,0.6405639200849462
80,0.7,0.3,0.5818997487678651
81,0.7,0.4,0.67373829302181
82,0.7,0.5,0.5683308336861038
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.5187448059946547
89,0.8,0.1,0.6828447307019726
90,0.8,0.2,0.8167643162630547
91,0.8,0.3,0.6949941073884671
92,0.8,0.4,0.6572156353451295
93,0.8,0.5,0.6889283491907847
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.5572118310835401
100,0.9,0.1,0.7940568920887376
101,0.9,0.2,0.7741059823781206
102,0.9,0.3,0.5542315944977162
103,0.9,0.4,0.6142874884524416
104,0.9,0.5,0.6114892449935037
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.690579584773764
111,0.99,0.1,0.6629369464281158
112,0.99,0.2,0.5746160527929305
113,0.99,0.3,0.6852188441499458
114,0.99,0.4,0.6054233537587711
115,0.99,0.5,0.6246856584614151
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
