,P,cost,value
0,0.01,0.01,0.6542699657692598
1,0.01,0.1,0.7442847625309458
2,0.01,0.2,0.7227317986597783
3,0.01,0.3,0.6779610711160109
4,0.01,0.4,0.7423051181082209
5,0.01,0.5,0.8212850997317049
6,0.01,0.6,0.6889206921542114
7,0.01,0.7,0.7256680417335444
8,0.01,0.8,0.599179909160395
9,0.01,0.9,0.6676698984039865
10,0.01,0.99,2.286547127607815
11,0.1,0.01,0.5436265588025366
12,0.1,0.1,0.5087446141051308
13,0.1,0.2,0.5106784124072474
14,0.1,0.3,0.5369535074845613
15,0.1,0.4,0.5404761475700531
16,0.1,0.5,0.5832998643752936
17,0.1,0.6,0.5540007492237216
18,0.1,0.7,0.5388713104772787
19,0.1,0.8,0.670925270203266
20,0.1,0.9,2.1385265483715714
21,0.1,0.99,
22,0.2,0.01,0.27256917472398146
23,0.2,0.1,0.2530588954134932
24,0.2,0.2,0.22907047022836363
25,0.2,0.3,0.27587248657816343
26,0.2,0.4,0.26396174663974864
27,0.2,0.5,0.30573468585424424
28,0.2,0.6,0.32037220283271817
29,0.2,0.7,0.5401645444150774
30,0.2,0.8,2.763077499335431
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.1349184256531005
34,0.3,0.1,0.13632208103420246
35,0.3,0.2,0.1502919921078104
36,0.3,0.3,0.14582805231938567
37,0.3,0.4,0.17876171021941142
38,0.3,0.5,0.22115592248229793
39,0.3,0.6,0.63313252676535
40,0.3,0.7,3.12748995403946
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.06848935040406261
45,0.4,0.1,0.08583404222384537
46,0.4,0.2,0.09647051832593795
47,0.4,0.3,0.1292809210521759
48,0.4,0.4,0.20990017234801872
49,0.4,0.5,0.5784380736328911
50,0.4,0.6,2.923822101921682
51,0.4,0.7,0.18066128233109438
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.06479245878238252
56,0.5,0.1,0.06998328347989417
57,0.5,0.2,0.08119660678600253
58,0.5,0.3,0.13158536587935388
59,0.5,0.4,0.5551122533813656
60,0.5,0.5,3.4065901214787027
61,0.5,0.6,0.2159326047222249
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.043127155920575956
67,0.6,0.1,0.06349336120371021
68,0.6,0.2,0.11969144147083986
69,0.6,0.3,0.3976737729574299
70,0.6,0.4,3.053872736134174
71,0.6,0.5,0.2522311644275977
72,0.6,0.6,0.023964915180840974
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.04958121401614838
78,0.7,0.1,0.08643052067156405
79,0.7,0.2,0.37428272601220386
80,0.7,0.3,3.1493613155318294
81,0.7,0.4,0.26463425787199024
82,0.7,0.5,0.027345923443085274
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.059237238559522905
89,0.8,0.1,0.2644303330323783
90,0.8,0.2,3.25842808002643
91,0.8,0.3,0.19512027661676018
92,0.8,0.4,0.02642612824972406
93,0.8,0.5,0.007306013153604648
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.09508223138095431
100,0.9,0.1,3.028999794824445
101,0.9,0.2,0.12312512952773866
102,0.9,0.3,0.01917041521181408
103,0.9,0.4,0.00526879336469708
104,0.9,0.5,0.0033407392638602302
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.6817047156047815
111,0.99,0.1,0.0354959829300078
112,0.99,0.2,0.005903752156368477
113,0.99,0.3,0.002651724722567009
114,0.99,0.4,0.001717177101488789
115,0.99,0.5,0.0017483790113536567
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
