,P,cost,value
0,0.01,0.01,0.5854447964914989
1,0.01,0.1,0.6733386756877413
2,0.01,0.2,0.6745514430952284
3,0.01,0.3,0.5739665837591793
4,0.01,0.4,0.6800887683447688
5,0.01,0.5,0.7428905922947935
6,0.01,0.6,0.6473187383358765
7,0.01,0.7,0.6453175974832359
8,0.01,0.8,0.5551985694902024
9,0.01,0.9,0.5869105200399926
10,0.01,0.99,1.9909456076076744
11,0.1,0.01,0.7467037008325286
12,0.1,0.1,0.6852578198722359
13,0.1,0.2,0.6515344510547784
14,0.1,0.3,0.6976631202485202
15,0.1,0.4,0.6813447367767895
16,0.1,0.5,0.7460813955832406
17,0.1,0.6,0.7247610230517292
18,0.1,0.7,0.5870076338422491
19,0.1,0.8,0.7809795192767448
20,0.1,0.9,0.7764757709730042
21,0.1,0.99,
22,0.2,0.01,0.7098569596831628
23,0.2,0.1,0.6017019762422433
24,0.2,0.2,0.6350451400671377
25,0.2,0.3,0.6430665852612187
26,0.2,0.4,0.650921803777008
27,0.2,0.5,0.6338518836666933
28,0.2,0.6,0.6249909906628597
29,0.2,0.7,0.714930998363275
30,0.2,0.8,0.6749255975779676
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.6519848351831009
34,0.3,0.1,0.6207401663505001
35,0.3,0.2,0.6286750130919155
36,0.3,0.3,0.6418767505447588
37,0.3,0.4,0.6446056367906493
38,0.3,0.5,0.6381890898735316
39,0.3,0.6,0.8654749579900551
40,0.3,0.7,0.6491985804081567
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.6194635160140407
45,0.4,0.1,0.5505564636351894
46,0.4,0.2,0.595007146736093
47,0.4,0.3,0.6130333984446512
48,0.4,0.4,0.5844730039401205
49,0.4,0.5,0.7537176218304947
50,0.4,0.6,0.48102701961352545
51,0.4,0.7,0.5656729567294201
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.506016313818163
56,0.5,0.1,0.6187619266462195
57,0.5,0.2,0.554843783205738
58,0.5,0.3,0.5663032696601342
59,0.5,0.4,0.7495402265699116
60,0.5,0.5,0.6601311164826791
61,0.5,0.6,0.6563791726843238
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.6437412738684736
67,0.6,0.1,0.5265897829685352
68,0.6,0.2,0.5578168555013684
69,0.6,0.3,0.6860856742517547
70,0.6,0.4,0.5196842560674577
71,0.6,0.5,0.644265003255009
72,0.6,0.6,0.5277637392988228
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.5995560318819997
78,0.7,0.1,0.6207938949641658
79,0.7,0.2,0.6679606135479215
80,0.7,0.3,0.5906290598773803
81,0.7,0.4,0.7005860390432629
82,0.7,0.5,0.5992297227166403
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.5977538629524262
89,0.8,0.1,0.7413104477199932
90,0.8,0.2,0.8127504583731726
91,0.8,0.3,0.7478380925428034
92,0.8,0.4,0.7284044789665094
93,0.8,0.5,0.7312776616372283
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.656510648240986
100,0.9,0.1,0.7957907055005697
101,0.9,0.2,0.8462260127079257
102,0.9,0.3,0.6514939922037994
103,0.9,0.4,0.6927663232856653
104,0.9,0.5,0.7547039652897782
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.9153618191920538
111,0.99,0.1,0.7495446393841708
112,0.99,0.2,0.6313749601823915
113,0.99,0.3,0.6280361081509127
114,0.99,0.4,0.5999441744740478
115,0.99,0.5,0.5979907362777548
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
