,P,cost,value
0,0.01,0.01,0.7769350210574961
1,0.01,0.1,0.6384381570855823
2,0.01,0.2,0.6666571521022762
3,0.01,0.3,0.6982565280563495
4,0.01,0.4,0.6826897070230193
5,0.01,0.5,0.7188169483320707
6,0.01,0.6,0.6586873300756151
7,0.01,0.7,0.6330081498588427
8,0.01,0.8,0.7594509864774421
9,0.01,0.9,0.7231767583235499
10,0.01,0.99,2.023555417697242
11,0.1,0.01,0.6626839716558472
12,0.1,0.1,0.7572413067674839
13,0.1,0.2,0.738401970655874
14,0.1,0.3,0.7974116241510864
15,0.1,0.4,0.8217903590419123
16,0.1,0.5,0.9013437817438228
17,0.1,0.6,0.7282756041837484
18,0.1,0.7,0.7856560533421092
19,0.1,0.8,0.6938191662271553
20,0.1,0.9,1.0493809521268234
21,0.1,0.99,
22,0.2,0.01,0.7868604611102921
23,0.2,0.1,0.8741632096882546
24,0.2,0.2,0.767638452620149
25,0.2,0.3,0.7864501846131806
26,0.2,0.4,0.7317438900808637
27,0.2,0.5,0.7924547535170557
28,0.2,0.6,0.7948431219438259
29,0.2,0.7,0.8346758737680291
30,0.2,0.8,0.8575889148513725
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.7678814606206654
34,0.3,0.1,0.740627641820174
35,0.3,0.2,0.7178542685332728
36,0.3,0.3,0.8265114539161217
37,0.3,0.4,0.8578841743781169
38,0.3,0.5,0.9011915742572467
39,0.3,0.6,0.8974254103291304
40,0.3,0.7,0.7923370789190085
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.7782114431625036
45,0.4,0.1,0.7498619163721992
46,0.4,0.2,0.6117968240855378
47,0.4,0.3,0.684748018352047
48,0.4,0.4,0.7071557525251376
49,0.4,0.5,0.824942850001464
50,0.4,0.6,0.6740849374545004
51,0.4,0.7,0.7928091421988024
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.7414521584145867
56,0.5,0.1,0.8041947969403767
57,0.5,0.2,0.7970293971966256
58,0.5,0.3,0.7999314469841503
59,0.5,0.4,0.9190026663355106
60,0.5,0.5,0.77277241591535
61,0.5,0.6,0.7580534351107129
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.8468450004692685
67,0.6,0.1,0.7057536197350804
68,0.6,0.2,0.7432419707006865
69,0.6,0.3,0.7955650370846243
70,0.6,0.4,0.6399848236242731
71,0.6,0.5,0.8556684314603119
72,0.6,0.6,0.7795097482923775
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.741506431344825
78,0.7,0.1,0.692942017885124
79,0.7,0.2,0.8440043869477363
80,0.7,0.3,0.5598282358626848
81,0.7,0.4,0.8450983179180221
82,0.7,0.5,0.8191108671217006
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.7907996819732255
89,0.8,0.1,0.772626935566396
90,0.8,0.2,0.7103350940006206
91,0.8,0.3,0.7665630902945462
92,0.8,0.4,0.7688568317992007
93,0.8,0.5,0.8935526487425547
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.6161758228886317
100,0.9,0.1,0.7091492495055474
101,0.9,0.2,0.7943597994336565
102,0.9,0.3,0.7332950346710612
103,0.9,0.4,0.7462916978583155
104,0.9,0.5,0.7960178204243995
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.7109759556917792
111,0.99,0.1,0.7340204739179136
112,0.99,0.2,0.6277237969743672
113,0.99,0.3,0.7267879666807602
114,0.99,0.4,0.668513487901252
115,0.99,0.5,0.5901327649398235
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
