,P,cost,value
0,0.01,0.01,0.6556596497377966
1,0.01,0.1,0.7460444395849759
2,0.01,0.2,0.7225968478523184
3,0.01,0.3,0.6785948254656371
4,0.01,0.4,0.7440778273330495
5,0.01,0.5,0.8219000821078777
6,0.01,0.6,0.6896747287393983
7,0.01,0.7,0.7264395145853908
8,0.01,0.8,0.5992301378780673
9,0.01,0.9,0.6688672648517786
10,0.01,0.99,2.2777765306827167
11,0.1,0.01,0.8269858043845941
12,0.1,0.1,0.7630870509856591
13,0.1,0.2,0.7110752933496991
14,0.1,0.3,0.7723871427980521
15,0.1,0.4,0.7555394625302608
16,0.1,0.5,0.8409674357776685
17,0.1,0.6,0.8044800960113907
18,0.1,0.7,0.6537467682234167
19,0.1,0.8,0.8382151914195091
20,0.1,0.9,0.8347360509000851
21,0.1,0.99,
22,0.2,0.01,0.8606058072739671
23,0.2,0.1,0.7577541735500304
24,0.2,0.2,0.8156946667432032
25,0.2,0.3,0.7297008490076033
26,0.2,0.4,0.8085778713051772
27,0.2,0.5,0.7855713728362561
28,0.2,0.6,0.7396968811073366
29,0.2,0.7,0.7967758882755125
30,0.2,0.8,0.7257648226619757
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.8490384475884911
34,0.3,0.1,0.7747465170278891
35,0.3,0.2,0.841336840830167
36,0.3,0.3,0.7695665053619593
37,0.3,0.4,0.7389402553631407
38,0.3,0.5,0.8292223144793502
39,0.3,0.6,0.9659272392910736
40,0.3,0.7,0.668396456427271
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.8089656282772257
45,0.4,0.1,0.7699935829052698
46,0.4,0.2,0.782388323057215
47,0.4,0.3,0.744423210790658
48,0.4,0.4,0.7809928110393645
49,0.4,0.5,0.9436923690410357
50,0.4,0.6,0.4529044803859723
51,0.4,0.7,0.6201612101331742
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.7395573811559311
56,0.5,0.1,0.7404002369437643
57,0.5,0.2,0.7813789373420189
58,0.5,0.3,0.7956722480713061
59,0.5,0.4,0.8211579958190973
60,0.5,0.5,0.7409638966937027
61,0.5,0.6,0.7677349778871323
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.8935713346151721
67,0.6,0.1,0.8049425238686732
68,0.6,0.2,0.6874998497718647
69,0.6,0.3,0.8435967787000093
70,0.6,0.4,0.5511630697570274
71,0.6,0.5,0.7397396179350036
72,0.6,0.6,0.7073158246278026
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.8566705355137627
78,0.7,0.1,0.7523568549974489
79,0.7,0.2,0.7932223565852572
80,0.7,0.3,0.5654585716424853
81,0.7,0.4,0.8137280757106531
82,0.7,0.5,0.7011589783840046
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.6667149068606321
89,0.8,0.1,0.7792689046859814
90,0.8,0.2,0.7887094247627706
91,0.8,0.3,0.8750373588730715
92,0.8,0.4,0.7833159222849274
93,0.8,0.5,0.9025079595651463
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.7900761378843056
100,0.9,0.1,0.8353351552927425
101,0.9,0.2,0.9258746605427236
102,0.9,0.3,0.736121259697335
103,0.9,0.4,0.8042787006603733
104,0.9,0.5,0.7594317665637247
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.963239764658609
111,0.99,0.1,0.6704785326375434
112,0.99,0.2,0.5666313795692474
113,0.99,0.3,0.7031044385988726
114,0.99,0.4,0.658359274668018
115,0.99,0.5,0.6375661079913891
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
