,P,cost,value
0,0.01,0.01,0.31538504484095203
1,0.01,0.1,0.30116166840590225
2,0.01,0.2,0.3395145763963766
3,0.01,0.3,0.3109417036968975
4,0.01,0.4,0.3450952256645018
5,0.01,0.5,0.3534668261286483
6,0.01,0.6,0.34217366422906115
7,0.01,0.7,0.31108519135521534
8,0.01,0.8,0.3352097773889556
9,0.01,0.9,0.3230218068273116
10,0.01,0.99,3.4305625401089164
11,0.1,0.01,0.06122513960722179
12,0.1,0.1,0.053092721355902726
13,0.1,0.2,0.06503407898552785
14,0.1,0.3,0.06858956825596503
15,0.1,0.4,0.06380269953026405
16,0.1,0.5,0.07299100365496829
17,0.1,0.6,0.06781453316494808
18,0.1,0.7,0.08909803570881931
19,0.1,0.8,0.13304417548145211
20,0.1,0.9,3.2603699275860794
21,0.1,0.99,
22,0.2,0.01,0.039147093512028774
23,0.2,0.1,0.0379168853385462
24,0.2,0.2,0.034386089368168365
25,0.2,0.3,0.04721156666306614
26,0.2,0.4,0.054666806143322116
27,0.2,0.5,0.05390704433976155
28,0.2,0.6,0.0939016998226487
29,0.2,0.7,0.275696892889832
30,0.2,0.8,3.154048436961745
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.033231715546939634
34,0.3,0.1,0.034760771251031525
35,0.3,0.2,0.038775547668433594
36,0.3,0.3,0.04960370370758704
37,0.3,0.4,0.07191615811401836
38,0.3,0.5,0.11742305004927084
39,0.3,0.6,0.48964004887003615
40,0.3,0.7,3.322407068527167
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.028800139232412467
45,0.4,0.1,0.03253168936753184
46,0.4,0.2,0.04178043754993051
47,0.4,0.3,0.07209590941815577
48,0.4,0.4,0.13766611890042166
49,0.4,0.5,0.48529864422963637
50,0.4,0.6,3.0103146113687966
51,0.4,0.7,0.2451907799068379
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.033428659534012285
56,0.5,0.1,0.038289920933506985
57,0.5,0.2,0.05135639979000178
58,0.5,0.3,0.09995243616701685
59,0.5,0.4,0.48751267938942355
60,0.5,0.5,3.438382032981724
61,0.5,0.6,0.2632698603063714
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.02828091936774366
67,0.6,0.1,0.046795493348885386
68,0.6,0.2,0.09486741864942923
69,0.6,0.3,0.35757630701443743
70,0.6,0.4,3.0745127502719747
71,0.6,0.5,0.29285313776615246
72,0.6,0.6,0.03388824243160994
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.03775754806844367
78,0.7,0.1,0.07120093127591026
79,0.7,0.2,0.3512050989784359
80,0.7,0.3,3.1658853737771526
81,0.7,0.4,0.2935108137200009
82,0.7,0.5,0.03331284395312963
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.051285845486692995
89,0.8,0.1,0.24873874427748632
90,0.8,0.2,3.270382484086147
91,0.8,0.3,0.2104986520344201
92,0.8,0.4,0.03207643182263096
93,0.8,0.5,0.009506205260297404
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.08993380086503898
100,0.9,0.1,3.0367042915637232
101,0.9,0.2,0.13156794090578308
102,0.9,0.3,0.02217263129687922
103,0.9,0.4,0.006493936325500762
104,0.9,0.5,0.003922917505805094
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.6872016452855356
111,0.99,0.1,0.03732898835390032
112,0.99,0.2,0.006508630420478959
113,0.99,0.3,0.0028619653951535793
114,0.99,0.4,0.0017878434430569487
115,0.99,0.5,0.0017615300348052575
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
