,P,cost,value
0,0.01,0.01,0.009291197196781191
1,0.01,0.1,0.008368471851556973
2,0.01,0.2,0.008710100837231071
3,0.01,0.3,0.00792804225377668
4,0.01,0.4,0.008653038313903204
5,0.01,0.5,0.008995266403305674
6,0.01,0.6,0.007494812671826549
7,0.01,0.7,0.008266264710215266
8,0.01,0.8,0.009173811883715882
9,0.01,0.9,0.00837208316001195
10,0.01,0.99,3.7089423508036514
11,0.1,0.01,0.008486510402617052
12,0.1,0.1,0.009334474231588185
13,0.1,0.2,0.008728623988496522
14,0.1,0.3,0.009199329773280187
15,0.1,0.4,0.011060245956137225
16,0.1,0.5,0.010403660279144543
17,0.1,0.6,0.011916100916155546
18,0.1,0.7,0.014758087348692064
19,0.1,0.8,0.03514788995879071
20,0.1,0.9,3.259591305065306
21,0.1,0.99,
22,0.2,0.01,0.009673333333959009
23,0.2,0.1,0.009528062463147337
24,0.2,0.2,0.010237333485964803
25,0.2,0.3,0.012772067597213487
26,0.2,0.4,0.012680177389894918
27,0.2,0.5,0.017658182470327455
28,0.2,0.6,0.03586609584737307
29,0.2,0.7,0.1585379741753909
30,0.2,0.8,3.138181431752796
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.01094891975001681
34,0.3,0.1,0.010252078539719498
35,0.3,0.2,0.012745218476092385
36,0.3,0.3,0.016591976770308936
37,0.3,0.4,0.028160641259482866
38,0.3,0.5,0.05766857469194506
39,0.3,0.6,0.35582991084118387
40,0.3,0.7,3.328392422199059
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.01090792992147596
45,0.4,0.1,0.014313984045345904
46,0.4,0.2,0.016618724096107814
47,0.4,0.3,0.030414366799799298
48,0.4,0.4,0.07393983768571052
49,0.4,0.5,0.35949214113791594
50,0.4,0.6,3.02712901093263
51,0.4,0.7,0.3285906092385845
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.01117986948522524
56,0.5,0.1,0.015114422043486545
57,0.5,0.2,0.024929199443903958
58,0.5,0.3,0.0618234150796864
59,0.5,0.4,0.3718406287873352
60,0.5,0.5,3.407319847402144
61,0.5,0.6,0.3724267966142021
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.012380878603865341
67,0.6,0.1,0.022352760660708657
68,0.6,0.2,0.05048552773710811
69,0.6,0.3,0.2545398569836937
70,0.6,0.4,3.0396493788259047
71,0.6,0.5,0.40626100117770436
72,0.6,0.6,0.08782227456910376
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.016722239963539855
78,0.7,0.1,0.0333407027423154
79,0.7,0.2,0.25115339542867243
80,0.7,0.3,3.1430137899906234
81,0.7,0.4,0.411643092669654
82,0.7,0.5,0.08489907493611766
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.027025184638614173
89,0.8,0.1,0.15414342411626514
90,0.8,0.2,3.2486425139720976
91,0.8,0.3,0.33993112112278573
92,0.8,0.4,0.10602310686919897
93,0.8,0.5,0.06526527606189444
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.05530157036007095
100,0.9,0.1,3.0268320083038307
101,0.9,0.2,0.3030142738625233
102,0.9,0.3,0.10799278068884219
103,0.9,0.4,0.07860732672512746
104,0.9,0.5,0.06743207939757663
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.4566686666819213
111,0.99,0.1,0.45477105054584366
112,0.99,0.2,0.345719493811273
113,0.99,0.3,0.38168728241099936
114,0.99,0.4,0.32124161021629344
115,0.99,0.5,0.31054230020350215
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
