,P,cost,value
0,0.01,0.01,9.999208351269825
1,0.01,0.1,9.999230518180134
2,0.01,0.2,9.999211521865792
3,0.01,0.3,9.99921295265899
4,0.01,0.4,9.999315639294883
5,0.01,0.5,9.999215510527861
6,0.01,0.6,9.999183716133452
7,0.01,0.7,9.99922016305108
8,0.01,0.8,9.999020914110583
9,0.01,0.9,9.99820736086614
10,0.01,0.99,8.826438728274788
11,0.1,0.01,9.999143805726856
12,0.1,0.1,9.999133210752797
13,0.1,0.2,9.999106463574082
14,0.1,0.3,9.998903748409877
15,0.1,0.4,9.999028344879214
16,0.1,0.5,9.998757196758813
17,0.1,0.6,9.998741117642835
18,0.1,0.7,9.998255729198563
19,0.1,0.8,9.994352405816095
20,0.1,0.9,5.063609427276977
21,0.1,0.99,
22,0.2,0.01,9.998875266557617
23,0.2,0.1,9.998756404953935
24,0.2,0.2,9.998820906486369
25,0.2,0.3,9.998618154855778
26,0.2,0.4,9.99852410989003
27,0.2,0.5,9.997662598974259
28,0.2,0.6,9.994985441094205
29,0.2,0.7,9.95817506227268
30,0.2,0.8,4.721817709923869
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.996204929825357
34,0.3,0.1,9.996485261892815
35,0.3,0.2,9.997677707614493
36,0.3,0.3,9.996982045474866
37,0.3,0.4,9.996553763897435
38,0.3,0.5,9.990779060026178
39,0.3,0.6,9.915444222540476
40,0.3,0.7,6.293980432012396
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.959515394453414
45,0.4,0.1,9.98330389047737
46,0.4,0.2,9.989435312230777
47,0.4,0.3,9.985380854724974
48,0.4,0.4,9.978384893187256
49,0.4,0.5,9.912789516290259
50,0.4,0.6,8.6533943972412
51,0.4,0.7,6.065485429264124
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,9.67519787130181
56,0.5,0.1,9.827386892642455
57,0.5,0.2,9.8425993871999
58,0.5,0.3,9.799099559385358
59,0.5,0.4,9.603527845995343
60,0.5,0.5,9.672434829075925
61,0.5,0.6,9.738130462422085
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,6.995377654252717
67,0.6,0.1,7.734890493455832
68,0.6,0.2,7.292607429904213
69,0.6,0.3,6.031340085680956
70,0.6,0.4,8.269528946059545
71,0.6,0.5,9.980215969118923
72,0.6,0.6,9.994278815896022
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.0570629181802513
78,0.7,0.1,0.9111730459127887
79,0.7,0.2,0.5894276277045162
80,0.7,0.3,6.747637413597546
81,0.7,0.4,9.942313766227464
82,0.7,0.5,9.999008957686572
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-2.6851726936111864
89,0.8,0.1,-1.6488900246396299
90,0.8,0.2,4.786044429933829
91,0.8,0.3,9.903133440905973
92,0.8,0.4,9.998957734926433
93,0.8,0.5,9.999807440242645
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-2.441740683149876
100,0.9,0.1,5.7216391172051315
101,0.9,0.2,9.958000392149495
102,0.9,0.3,9.999560023570007
103,0.9,0.4,9.99989678695917
104,0.9,0.5,9.999944544731047
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,8.94570480355088
111,0.99,0.1,9.999289454653086
112,0.99,0.2,9.999960588820102
113,0.99,0.3,9.999974535232417
114,0.99,0.4,9.99997747448494
115,0.99,0.5,9.99997897534382
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
