,P,cost,value
0,0.01,0.01,-4.3431346266690065
1,0.01,0.1,-4.100539645603874
2,0.01,0.2,-4.352020515929022
3,0.01,0.3,-4.333142000366864
4,0.01,0.4,-4.4697614924671605
5,0.01,0.5,-4.212510803480285
6,0.01,0.6,-4.348753037996525
7,0.01,0.7,-4.357899712239787
8,0.01,0.8,-3.9037973759580584
9,0.01,0.9,-4.09615348100563
10,0.01,0.99,7.962843917681911
11,0.1,0.01,-9.673663084505673
12,0.1,0.1,-9.662970270938786
13,0.1,0.2,-9.663698677444883
14,0.1,0.3,-9.665478774076277
15,0.1,0.4,-9.647412980698608
16,0.1,0.5,-9.636334967991479
17,0.1,0.6,-9.618712862136613
18,0.1,0.7,-9.54593284171841
19,0.1,0.8,-9.284928295752621
20,0.1,0.9,2.613477817566851
21,0.1,0.99,
22,0.2,0.01,-9.780728892040427
23,0.2,0.1,-9.76863817688616
24,0.2,0.2,-9.766817174251962
25,0.2,0.3,-9.759633338671376
26,0.2,0.4,-9.715283658509907
27,0.2,0.5,-9.669952714115858
28,0.2,0.6,-9.543231520326806
29,0.2,0.7,-8.768598444648315
30,0.2,0.8,1.8483374969512714
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-9.793352877030818
34,0.3,0.1,-9.785664141134818
35,0.3,0.2,-9.765663292783175
36,0.3,0.3,-9.724719712012407
37,0.3,0.4,-9.655784498045909
38,0.3,0.5,-9.382711395793843
39,0.3,0.6,-8.400383222068807
40,0.3,0.7,1.04979762515075
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-9.797315748271252
45,0.4,0.1,-9.776229314147587
46,0.4,0.2,-9.738928892320462
47,0.4,0.3,-9.646273029254097
48,0.4,0.4,-9.35325133502149
49,0.4,0.5,-8.04603978120877
50,0.4,0.6,0.4428621281114054
51,0.4,0.7,9.85651554650125
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-9.78207652984177
56,0.5,0.1,-9.746922607942633
57,0.5,0.2,-9.655961419442715
58,0.5,0.3,-9.433304977053323
59,0.5,0.4,-8.058658217206467
60,0.5,0.5,1.3619432600303338
61,0.5,0.6,9.771531076202502
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-9.764376437932702
67,0.6,0.1,-9.688803625762803
68,0.6,0.2,-9.457379573620674
69,0.6,0.3,-8.24077066063894
70,0.6,0.4,1.0523141514561716
71,0.6,0.5,9.798989500961646
72,0.6,0.6,9.921395073476699
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-9.719307302417809
78,0.7,0.1,-9.549696624250355
79,0.7,0.2,-8.464193083399506
80,0.7,0.3,1.9662755154041986
81,0.7,0.4,9.831571451113671
82,0.7,0.5,9.919140561357981
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-9.673602093796475
89,0.8,0.1,-8.845593753711537
90,0.8,0.2,0.4883999207676523
91,0.8,0.3,9.876499857389794
92,0.8,0.4,9.961368102169807
93,0.8,0.5,9.918750889602485
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-9.285258919977462
100,0.9,0.1,1.0519026150834574
101,0.9,0.2,9.970688992764213
102,0.9,0.3,9.989765551047586
103,0.9,0.4,9.978400711091254
104,0.9,0.5,9.975540405769145
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.057126071562031
111,0.99,0.1,9.999271128896678
112,0.99,0.2,9.999549987148383
113,0.99,0.3,9.999119193914028
114,0.99,0.4,9.99901879291555
115,0.99,0.5,9.99881432127504
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
