,P,cost,value
0,0.01,0.01,9.999318880233105
1,0.01,0.1,9.999263732157806
2,0.01,0.2,9.999148287438558
3,0.01,0.3,9.999174007271058
4,0.01,0.4,9.999228701296804
5,0.01,0.5,9.99916924810087
6,0.01,0.6,9.9992381874907
7,0.01,0.7,9.999204836666447
8,0.01,0.8,9.99917422635114
9,0.01,0.9,9.99913772918734
10,0.01,0.99,2.111949208980156
11,0.1,0.01,9.998824810977528
12,0.1,0.1,9.998729013355458
13,0.1,0.2,9.998911617203742
14,0.1,0.3,9.998969404525205
15,0.1,0.4,9.998701478484955
16,0.1,0.5,9.998672418683496
17,0.1,0.6,9.998625016228333
18,0.1,0.7,9.998101074001886
19,0.1,0.8,9.990696120279193
20,0.1,0.9,-1.5960291233508856
21,0.1,0.99,
22,0.2,0.01,9.996944109889455
23,0.2,0.1,9.996958019936839
24,0.2,0.2,9.997015050490303
25,0.2,0.3,9.996785020956029
26,0.2,0.4,9.996556572167187
27,0.2,0.5,9.995353657104385
28,0.2,0.6,9.992595007816176
29,0.2,0.7,9.829931497813543
30,0.2,0.8,-1.3601898591873882
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.981683923391413
34,0.3,0.1,9.981663940037734
35,0.3,0.2,9.982167310018253
36,0.3,0.3,9.98087942301918
37,0.3,0.4,9.978873917960987
38,0.3,0.5,9.955655520280773
39,0.3,0.6,9.517387386634182
40,0.3,0.7,-0.7995951275336127
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.832938343660027
45,0.4,0.1,9.834029873300882
46,0.4,0.2,9.833602440042151
47,0.4,0.3,9.82580788762737
48,0.4,0.4,9.77628422921889
49,0.4,0.5,8.9595751708784
50,0.4,0.6,-0.18752290971331367
51,0.4,0.7,-4.122217266115732
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,6.003988718771161
56,0.5,0.1,6.099506279606367
57,0.5,0.2,5.910824693354342
58,0.5,0.3,5.648050099901719
59,0.5,0.4,3.638777660862082
60,0.5,0.5,-0.6202341856143416
61,0.5,0.6,4.0187342534557455
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-2.4858529469587296
67,0.6,0.1,-2.6699963248301923
68,0.6,0.2,-2.930349137181672
69,0.6,0.3,-4.201175647887866
70,0.6,0.4,-0.9905039989766079
71,0.6,0.5,9.15853301886655
72,0.6,0.6,9.822431287053876
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-6.98984678748142
78,0.7,0.1,-7.092751356678356
79,0.7,0.2,-7.360189499608554
80,0.7,0.3,0.18979258031546675
81,0.7,0.4,9.52375143908051
82,0.7,0.5,9.972618690996425
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-8.861804014068852
89,0.8,0.1,-8.719421953581875
90,0.8,0.2,-1.2000865016540685
91,0.8,0.3,9.620422106012107
92,0.8,0.4,9.993965132621788
93,0.8,0.5,9.998472478416238
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-9.431421030914212
100,0.9,0.1,-0.928438978313328
101,0.9,0.2,9.882628882148715
102,0.9,0.3,9.997694524694468
103,0.9,0.4,9.999780644020252
104,0.9,0.5,9.999879276711173
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.6749363847518168
111,0.99,0.1,9.996430855842839
112,0.99,0.2,9.999919295146615
113,0.99,0.3,9.999968360567784
114,0.99,0.4,9.999977524771438
115,0.99,0.5,9.99997564846242
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
