,P,cost,value
0,0.01,0.01,9.83093439092649
1,0.01,0.1,9.844204378354867
2,0.01,0.2,9.891803638864946
3,0.01,0.3,9.874046269142225
4,0.01,0.4,9.870613010927109
5,0.01,0.5,9.871969209127695
6,0.01,0.6,9.898912832494947
7,0.01,0.7,9.905300390481912
8,0.01,0.8,9.90823218881211
9,0.01,0.9,9.93361445131284
10,0.01,0.99,8.156405027977524
11,0.1,0.01,9.68099356933816
12,0.1,0.1,9.744779266405226
13,0.1,0.2,9.838464024439883
14,0.1,0.3,9.839091038193047
15,0.1,0.4,9.847223632182573
16,0.1,0.5,9.805691881507956
17,0.1,0.6,9.674855462474529
18,0.1,0.7,9.201027767397264
19,0.1,0.8,6.6586363045523145
20,0.1,0.9,9.222506702398467
21,0.1,0.99,
22,0.2,0.01,9.36494741870918
23,0.2,0.1,9.802431650173325
24,0.2,0.2,9.890748094910581
25,0.2,0.3,9.82406341093335
26,0.2,0.4,9.697988093066508
27,0.2,0.5,9.158500508347679
28,0.2,0.6,7.373361552028151
29,0.2,0.7,3.2798345198941554
30,0.2,0.8,-0.37693792430532175
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,8.597531763346819
34,0.3,0.1,9.90543076830889
35,0.3,0.2,9.918090535923996
36,0.3,0.3,9.87130937276898
37,0.3,0.4,9.477681953452317
38,0.3,0.5,8.205991385293753
39,0.3,0.6,5.6296776530959
40,0.3,0.7,2.046308538940728
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,6.893621331294523
45,0.4,0.1,9.931057939924132
46,0.4,0.2,9.954483670009513
47,0.4,0.3,9.88325110765958
48,0.4,0.4,9.37724556360098
49,0.4,0.5,8.84034500509858
50,0.4,0.6,6.441528875330783
51,0.4,0.7,9.842265287011067
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,5.3798193394561835
56,0.5,0.1,9.983190682318423
57,0.5,0.2,9.979950457553935
58,0.5,0.3,9.926983966135236
59,0.5,0.4,9.787112819698265
60,0.5,0.5,9.700849464737374
61,0.5,0.6,9.852314889628474
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,8.339582611701047
67,0.6,0.1,9.996430380435072
68,0.6,0.2,9.991755884503695
69,0.6,0.3,9.891271633164166
70,0.6,0.4,9.465156328105802
71,0.6,0.5,9.913329947658811
72,0.6,0.6,9.995395783764991
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,9.805962869770488
78,0.7,0.1,9.99660635937148
79,0.7,0.2,9.93808948054427
80,0.7,0.3,2.8878957052179572
81,0.7,0.4,9.936090328056512
82,0.7,0.5,9.995781944331819
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,9.795374548816667
89,0.8,0.1,9.96720581972696
90,0.8,0.2,9.585570304730629
91,0.8,0.3,9.977082189306524
92,0.8,0.4,9.9984283019284
93,0.8,0.5,9.999693837453052
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,9.992303866861015
100,0.9,0.1,9.521917273770145
101,0.9,0.2,9.991052054262022
102,0.9,0.3,9.999534135336258
103,0.9,0.4,9.999881843872569
104,0.9,0.5,9.999927237990873
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.7486702365118092
111,0.99,0.1,9.999640216014566
112,0.99,0.2,9.999959170816844
113,0.99,0.3,9.999972920088325
114,0.99,0.4,9.999976056402064
115,0.99,0.5,9.999977320248172
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
