,P,cost,value
0,0.01,0.01,-2.133582235587995
1,0.01,0.1,-2.218913147206964
2,0.01,0.2,-2.1662164737256298
3,0.01,0.3,-2.181343163757256
4,0.01,0.4,-2.258609088167201
5,0.01,0.5,-2.296849495067535
6,0.01,0.6,-2.2112557933823074
7,0.01,0.7,-2.2859445881561564
8,0.01,0.8,-2.1429462450241195
9,0.01,0.9,-2.3306940712177786
10,0.01,0.99,8.257668602600491
11,0.1,0.01,-8.536491225429646
12,0.1,0.1,-8.526814117154672
13,0.1,0.2,-8.445634887069037
14,0.1,0.3,-8.489686046076784
15,0.1,0.4,-8.394276327421332
16,0.1,0.5,-8.454599866576181
17,0.1,0.6,-8.290163445337908
18,0.1,0.7,-8.159434101191149
19,0.1,0.8,-7.477134510211859
20,0.1,0.9,3.7602306520158186
21,0.1,0.99,
22,0.2,0.01,-9.446005086845947
23,0.2,0.1,-9.43396548920208
24,0.2,0.2,-9.430579158915544
25,0.2,0.3,-9.353706617114222
26,0.2,0.4,-9.323311079434585
27,0.2,0.5,-9.205989861055425
28,0.2,0.6,-8.878811729318727
29,0.2,0.7,-7.814331223313702
30,0.2,0.8,0.9648735465707352
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-9.704580400329707
34,0.3,0.1,-9.677816097125971
35,0.3,0.2,-9.650867325237249
36,0.3,0.3,-9.619927241712379
37,0.3,0.4,-9.470391250837885
38,0.3,0.5,-9.188812968747438
39,0.3,0.6,-7.783192175701812
40,0.3,0.7,0.2824820502057482
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-9.801685955031667
45,0.4,0.1,-9.792952349741253
46,0.4,0.2,-9.738581814759337
47,0.4,0.3,-9.641417857839498
48,0.4,0.4,-9.228847067232879
49,0.4,0.5,-8.204206179698014
50,0.4,0.6,-0.24162172788062664
51,0.4,0.7,9.64348926604732
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-9.860162731586197
56,0.5,0.1,-9.815105093874044
57,0.5,0.2,-9.760439126517715
58,0.5,0.3,-9.469921447866499
59,0.5,0.4,-8.361168503807363
60,0.5,0.5,-0.3874297637870445
61,0.5,0.6,9.438960916283992
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-9.879365589086419
67,0.6,0.1,-9.811137180360268
68,0.6,0.2,-9.619764552243138
69,0.6,0.3,-8.61150564060247
70,0.6,0.4,-1.251576047854689
71,0.6,0.5,9.2884751112601
72,0.6,0.6,9.985781955167738
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-9.875018262876061
78,0.7,0.1,-9.746594843417686
79,0.7,0.2,-8.780593395438416
80,0.7,0.3,-1.353250364473073
81,0.7,0.4,9.298784499963254
82,0.7,0.5,9.981741449285641
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-9.841005423254902
89,0.8,0.1,-9.222430513953823
90,0.8,0.2,-1.5484793348110324
91,0.8,0.3,9.53448820560403
92,0.8,0.4,9.990878269455077
93,0.8,0.5,9.999264952986131
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-9.569768830909663
100,0.9,0.1,-1.350430179221256
101,0.9,0.2,9.791448787793279
102,0.9,0.3,9.996299800077518
103,0.9,0.4,9.999549576359572
104,0.9,0.5,9.999893812053802
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.7149147894161407
111,0.99,0.1,9.995107410357827
112,0.99,0.2,9.99989282191309
113,0.99,0.3,9.99996123761752
114,0.99,0.4,9.999974575549265
115,0.99,0.5,9.999978103581515
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
