,P,cost,value
0,0.01,0.01,4.357575704983059
1,0.01,0.1,4.357289503709324
2,0.01,0.2,4.3409183794355375
3,0.01,0.3,4.327519751063949
4,0.01,0.4,4.2241355911556795
5,0.01,0.5,4.342688844786091
6,0.01,0.6,4.319968668712365
7,0.01,0.7,4.298953150749128
8,0.01,0.8,4.37382618557797
9,0.01,0.9,4.276946595198715
10,0.01,0.99,7.975392876464867
11,0.1,0.01,5.28167471839326
12,0.1,0.1,5.2544066663408495
13,0.1,0.2,5.271815369412728
14,0.1,0.3,5.257234342310955
15,0.1,0.4,5.282636714857568
16,0.1,0.5,5.27476539496138
17,0.1,0.6,5.26322053484907
18,0.1,0.7,5.194856957354573
19,0.1,0.8,4.871537189318716
20,0.1,0.9,0.7964840650841429
21,0.1,0.99,
22,0.2,0.01,5.520994576639636
23,0.2,0.1,5.5423677976720445
24,0.2,0.2,5.528506086928305
25,0.2,0.3,5.522981226736313
26,0.2,0.4,5.469263245007776
27,0.2,0.5,5.42215244916886
28,0.2,0.6,5.083445094414883
29,0.2,0.7,3.7862083277910656
30,0.2,0.8,-0.5076225558725149
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,5.849993129329507
34,0.3,0.1,5.799751305035227
35,0.3,0.2,5.759325026312389
36,0.3,0.3,5.754094296660086
37,0.3,0.4,5.64962414305099
38,0.3,0.5,5.145365847903943
39,0.3,0.6,3.2074751772384396
40,0.3,0.7,-0.925178070079229
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,5.972571859933885
45,0.4,0.1,6.080356609354151
46,0.4,0.2,6.086838332733646
47,0.4,0.3,5.8163213614084075
48,0.4,0.4,5.07138296247911
49,0.4,0.5,3.269720738061548
50,0.4,0.6,-1.159977941390618
51,0.4,0.7,4.311086648006375
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,6.1718290276986565
56,0.5,0.1,6.133402849473812
57,0.5,0.2,6.12517960216977
58,0.5,0.3,5.460013260587743
59,0.5,0.4,3.478296001255234
60,0.5,0.5,-1.061430233617042
61,0.5,0.6,3.8485854271147795
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,6.363017036457039
67,0.6,0.1,6.2961434883725556
68,0.6,0.2,5.8836818728466405
69,0.6,0.3,4.0744723041845194
70,0.6,0.4,-0.9592436162107258
71,0.6,0.5,3.2934923753422005
72,0.6,0.6,5.543263178579086
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,6.68987453217968
78,0.7,0.1,6.313198965715675
79,0.7,0.2,4.746418609584049
80,0.7,0.3,-1.150877447043214
81,0.7,0.4,3.0923156879010936
82,0.7,0.5,5.25794559689663
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,7.096476617227188
89,0.8,0.1,6.272963816466335
90,0.8,0.2,-0.28335286396631526
91,0.8,0.3,3.187532087031985
92,0.8,0.4,5.162033110296331
93,0.8,0.5,5.55919994758356
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,7.8364867642100275
100,0.9,0.1,0.8588979694084004
101,0.9,0.2,3.600799531139151
102,0.9,0.3,5.14303800301157
103,0.9,0.4,5.370684126775492
104,0.9,0.5,5.438435914383711
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,7.832589313803168
111,0.99,0.1,4.435890243486994
112,0.99,0.2,4.781241390208777
113,0.99,0.3,4.822158846468946
114,0.99,0.4,4.829766975565269
115,0.99,0.5,4.826193013332904
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
