,P,cost,value
0,0.01,0.01,9.999202125126214
1,0.01,0.1,9.999183530182908
2,0.01,0.2,9.999204083052785
3,0.01,0.3,9.999208140555913
4,0.01,0.4,9.999185935890315
5,0.01,0.5,9.999238286183283
6,0.01,0.6,9.999259716903676
7,0.01,0.7,9.999248926521263
8,0.01,0.8,9.999245031982465
9,0.01,0.9,9.999118684394668
10,0.01,0.99,1.582971786348923
11,0.1,0.01,9.99910581831417
12,0.1,0.1,9.999117114468463
13,0.1,0.2,9.99882530778715
14,0.1,0.3,9.998878319615578
15,0.1,0.4,9.99883590417856
16,0.1,0.5,9.998649599393554
17,0.1,0.6,9.99814893167996
18,0.1,0.7,9.997163282882106
19,0.1,0.8,9.969303590938953
20,0.1,0.9,6.984320727453435
21,0.1,0.99,
22,0.2,0.01,9.998461939621222
23,0.2,0.1,9.998503399780898
24,0.2,0.2,9.99828857315574
25,0.2,0.3,9.997557715557319
26,0.2,0.4,9.99691060940189
27,0.2,0.5,9.991147878798609
28,0.2,0.6,9.948110901045787
29,0.2,0.7,9.09598312420677
30,0.2,0.8,0.3885483224143163
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.989653888102039
34,0.3,0.1,9.996994684113297
35,0.3,0.2,9.996289039039809
36,0.3,0.3,9.993897199609442
37,0.3,0.4,9.974671299618002
38,0.3,0.5,9.801952176295094
39,0.3,0.6,8.470526500573111
40,0.3,0.7,1.3618458142301155
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.8003758526832
45,0.4,0.1,9.989200987852788
46,0.4,0.2,9.992216490863852
47,0.4,0.3,9.973311433187009
48,0.4,0.4,9.82335982452516
49,0.4,0.5,9.352137596050284
50,0.4,0.6,5.344754842200901
51,0.4,0.7,9.71051615184103
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,5.4425890008837
56,0.5,0.1,9.985934298630005
57,0.5,0.2,9.980222345206787
58,0.5,0.3,9.9261440858123
59,0.5,0.4,9.76720736938426
60,0.5,0.5,9.680043637855452
61,0.5,0.6,9.822447631979411
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-1.110024634507932
67,0.6,0.1,9.994527584426546
68,0.6,0.2,9.984399126242472
69,0.6,0.3,9.884387814915502
70,0.6,0.4,9.51033006549316
71,0.6,0.5,9.940375538839925
72,0.6,0.6,9.997072177934143
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.21532710790266596
78,0.7,0.1,9.994158206507516
79,0.7,0.2,9.935707526360652
80,0.7,0.3,1.566217719880424
81,0.7,0.4,9.968538011614152
82,0.7,0.5,9.998192351020887
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-5.83737299032393
89,0.8,0.1,9.97380599456978
90,0.8,0.2,9.596982706526603
91,0.8,0.3,9.979657937749419
92,0.8,0.4,9.998881635055344
93,0.8,0.5,9.99975600068631
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,9.994979327417274
100,0.9,0.1,9.577744364668286
101,0.9,0.2,9.992652667754335
102,0.9,0.3,9.999573677260724
103,0.9,0.4,9.999904947714217
104,0.9,0.5,9.999930435811207
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.875246901578182
111,0.99,0.1,9.999746521487499
112,0.99,0.2,9.99995949196807
113,0.99,0.3,9.999971855900124
114,0.99,0.4,9.999976626722235
115,0.99,0.5,9.999979171906002
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
