,P,cost,value
0,0.01,0.01,9.999208401918263
1,0.01,0.1,9.999194436540446
2,0.01,0.2,9.99921623478775
3,0.01,0.3,9.999223255598224
4,0.01,0.4,9.999205373734606
5,0.01,0.5,9.99925232634975
6,0.01,0.6,9.999268727691126
7,0.01,0.7,9.999255547610058
8,0.01,0.8,9.999245489465597
9,0.01,0.9,9.999139961212766
10,0.01,0.99,1.4670408867385287
11,0.1,0.01,9.999020072576654
12,0.1,0.1,9.99904653482962
13,0.1,0.2,9.998990393770518
14,0.1,0.3,9.999028770481432
15,0.1,0.4,9.998985734921863
16,0.1,0.5,9.998875896167089
17,0.1,0.6,9.998735476383194
18,0.1,0.7,9.998524763671155
19,0.1,0.8,9.990885499201926
20,0.1,0.9,-0.49233056774135564
21,0.1,0.99,
22,0.2,0.01,9.998050502271646
23,0.2,0.1,9.998095493353627
24,0.2,0.2,9.997870901813485
25,0.2,0.3,9.998104615886733
26,0.2,0.4,9.998258161602063
27,0.2,0.5,9.998178946389018
28,0.2,0.6,9.994813635135083
29,0.2,0.7,9.898785147918133
30,0.2,0.8,0.3670776101915002
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.984568045191825
34,0.3,0.1,9.989738183639457
35,0.3,0.2,9.988326428529465
36,0.3,0.3,9.991068624899102
37,0.3,0.4,9.994068483736733
38,0.3,0.5,9.9906261997441
39,0.3,0.6,9.795784806867008
40,0.3,0.7,1.4475425921072875
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.595815788206647
45,0.4,0.1,9.569907064109417
46,0.4,0.2,9.661913961299996
47,0.4,0.3,9.742716310331934
48,0.4,0.4,9.896052004537253
49,0.4,0.5,9.908354155698934
50,0.4,0.6,5.355057476418623
51,0.4,0.7,-5.016521397813341
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-1.3811237027931478
56,0.5,0.1,-0.6951862650282279
57,0.5,0.2,0.3113884583496874
58,0.5,0.3,2.133171082542306
59,0.5,0.4,5.907245415326436
60,0.5,0.5,9.67934267512858
61,0.5,0.6,6.198374897833778
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-8.959073362732076
67,0.6,0.1,-8.6264131996471
68,0.6,0.2,-7.961844409551222
69,0.6,0.3,-5.08230995405449
70,0.6,0.4,5.212415033730701
71,0.6,0.5,9.980816620597965
72,0.6,0.6,9.948930633955523
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-9.678682098256523
78,0.7,0.1,-9.39438016017828
79,0.7,0.2,-7.815800895210656
80,0.7,0.3,1.5619496444491237
81,0.7,0.4,9.815034409074547
82,0.7,0.5,9.998835251317734
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-9.758373186718856
89,0.8,0.1,-8.960676346482039
90,0.8,0.2,-0.20767570228674004
91,0.8,0.3,9.758288102328331
92,0.8,0.4,9.997976792950327
93,0.8,0.5,9.999809531647458
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-9.51273481898351
100,0.9,0.1,-0.7946771622662323
101,0.9,0.2,9.860053696827313
102,0.9,0.3,9.998338926705143
103,0.9,0.4,9.999856586082052
104,0.9,0.5,9.999935831372216
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.8517598890904705
111,0.99,0.1,9.995789785647087
112,0.99,0.2,9.99991190819385
113,0.99,0.3,9.9999664524986
114,0.99,0.4,9.999976254958044
115,0.99,0.5,9.99997938265919
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
