,P,cost,value
0,0.01,0.01,9.999185733676537
1,0.01,0.1,9.999180981910893
2,0.01,0.2,9.99918793370303
3,0.01,0.3,9.99920076784415
4,0.01,0.4,9.999170949798827
5,0.01,0.5,9.99923705074837
6,0.01,0.6,9.999259326839272
7,0.01,0.7,9.999238727709308
8,0.01,0.8,9.999226881369408
9,0.01,0.9,9.999111109979937
10,0.01,0.99,1.4953220450356544
11,0.1,0.01,9.998874907546213
12,0.1,0.1,9.998910719381819
13,0.1,0.2,9.99883518599369
14,0.1,0.3,9.998862306048697
15,0.1,0.4,9.998827344627902
16,0.1,0.5,9.998705091708205
17,0.1,0.6,9.99853473922779
18,0.1,0.7,9.998275195798549
19,0.1,0.8,9.989559962933871
20,0.1,0.9,-0.6447469099353619
21,0.1,0.99,
22,0.2,0.01,9.997142816508134
23,0.2,0.1,9.997002691932813
24,0.2,0.2,9.996842854030154
25,0.2,0.3,9.996823167922848
26,0.2,0.4,9.996548536903
27,0.2,0.5,9.996074693055819
28,0.2,0.6,9.989332929151768
29,0.2,0.7,9.85125027807621
30,0.2,0.8,-0.38536113506958064
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.9817420283131
34,0.3,0.1,9.981833973075988
35,0.3,0.2,9.981699549855417
36,0.3,0.3,9.981330969428234
37,0.3,0.4,9.9771630452788
38,0.3,0.5,9.95727645799749
39,0.3,0.6,9.49654763941534
40,0.3,0.7,-0.9678461954569482
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.832144723401438
45,0.4,0.1,9.835694804364609
46,0.4,0.2,9.834004615380053
47,0.4,0.3,9.831203579898581
48,0.4,0.4,9.762578003174845
49,0.4,0.5,9.000609986676638
50,0.4,0.6,-1.1541782239858074
51,0.4,0.7,-4.070790186880403
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,5.964788900574037
56,0.5,0.1,6.0515807787273985
57,0.5,0.2,6.134022804317568
58,0.5,0.3,5.445330918355174
59,0.5,0.4,3.5710468463047014
60,0.5,0.5,-0.4512877535757833
61,0.5,0.6,4.1403084114672435
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-2.5405989899926995
67,0.6,0.1,-2.5634263006129396
68,0.6,0.2,-3.026106468870246
69,0.6,0.3,-4.272305646706695
70,0.6,0.4,-0.8879595420664023
71,0.6,0.5,9.112760728742128
72,0.6,0.6,9.82743154381504
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-7.025062020926564
78,0.7,0.1,-7.138115002142942
79,0.7,0.2,-7.380709120397341
80,0.7,0.3,-0.7039253618599197
81,0.7,0.4,9.46261978846866
82,0.7,0.5,9.969950624134732
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-8.858348091646368
89,0.8,0.1,-8.741954045496374
90,0.8,0.2,-0.8952066079242148
91,0.8,0.3,9.667911279577769
92,0.8,0.4,9.993367464506916
93,0.8,0.5,9.998541250220093
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-9.396159218533677
100,0.9,0.1,-0.9166060108401274
101,0.9,0.2,9.850952018073322
102,0.9,0.3,9.997930396822454
103,0.9,0.4,9.99975846689405
104,0.9,0.5,9.999879993829772
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.8751567779874658
111,0.99,0.1,9.996317390551738
112,0.99,0.2,9.999921314111592
113,0.99,0.3,9.9999674853184
114,0.99,0.4,9.99997547090703
115,0.99,0.5,9.999978009697932
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
