,P,cost,value
0,0.01,0.01,1.7967350624956115
1,0.01,0.1,1.9977723153460833
2,0.01,0.2,1.8229761210861413
3,0.01,0.3,1.5342783508492834
4,0.01,0.4,1.4476609539208984
5,0.01,0.5,1.8920904188813503
6,0.01,0.6,1.8350519407774635
7,0.01,0.7,1.6388747641519597
8,0.01,0.8,2.1657247254469967
9,0.01,0.9,1.8832583109597623
10,0.01,0.99,9.41841254561372
11,0.1,0.01,1.154145600565077
12,0.1,0.1,1.4071788954157505
13,0.1,0.2,1.2707164559392177
14,0.1,0.3,1.4036803312582018
15,0.1,0.4,1.377140892174883
16,0.1,0.5,1.7879583877805705
17,0.1,0.6,1.3175442741033085
18,0.1,0.7,2.10797708860789
19,0.1,0.8,3.2887809771878214
20,0.1,0.9,9.317370028852457
21,0.1,0.99,
22,0.2,0.01,1.2659635003874348
23,0.2,0.1,1.1068166758047964
24,0.2,0.2,1.0006776910127568
25,0.2,0.3,1.3359936926418803
26,0.2,0.4,1.9240737915825836
27,0.2,0.5,1.9532967333673565
28,0.2,0.6,3.2780789713705234
29,0.2,0.7,5.0674192626624235
30,0.2,0.8,9.227771229920886
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,1.5924270683543846
34,0.3,0.1,1.8682293607366296
35,0.3,0.2,1.5203652769175275
36,0.3,0.3,2.0193054083302906
37,0.3,0.4,2.7466416025966915
38,0.3,0.5,4.169621257571269
39,0.3,0.6,6.141506719156836
40,0.3,0.7,9.399603912458758
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,1.5205952611601092
45,0.4,0.1,1.6509647135369994
46,0.4,0.2,2.1855362793190394
47,0.4,0.3,3.031814029893325
48,0.4,0.4,4.0528141906020485
49,0.4,0.5,6.163197914908616
50,0.4,0.6,9.422350656005808
51,0.4,0.7,6.210350692165703
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,1.6874808567548525
56,0.5,0.1,2.4020402580017404
57,0.5,0.2,2.369615555709745
58,0.5,0.3,4.108628010832637
59,0.5,0.4,6.215879373806473
60,0.5,0.5,9.418366634763743
61,0.5,0.6,6.616604416565657
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.5960904319098845
67,0.6,0.1,2.755707223456076
68,0.6,0.2,3.7954538829843005
69,0.6,0.3,6.1879612888294595
70,0.6,0.4,9.35596263580545
71,0.6,0.5,6.79724411373019
72,0.6,0.6,4.292745308259364
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,2.4117374699106215
78,0.7,0.1,3.4188925085718407
79,0.7,0.2,5.868264196401849
80,0.7,0.3,9.30599591175342
81,0.7,0.4,6.674703787415922
82,0.7,0.5,4.417118340749489
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,2.805670576980269
89,0.8,0.1,5.1601137304527045
90,0.8,0.2,9.286316807665372
91,0.8,0.3,6.5692631401184896
92,0.8,0.4,4.073113340138926
93,0.8,0.5,2.8430691723879384
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,4.237551007674712
100,0.9,0.1,9.110073880215348
101,0.9,0.2,6.110276568800604
102,0.9,0.3,3.61194255628548
103,0.9,0.4,2.276480238979053
104,0.9,0.5,2.1470072612522433
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,9.60334541117161
111,0.99,0.1,4.189391002910598
112,0.99,0.2,2.436524057827026
113,0.99,0.3,1.9123307045645923
114,0.99,0.4,1.8772369084021345
115,0.99,0.5,1.8841801472081419
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
