,P,cost,value
0,0.01,0.01,4.9111473533344245
1,0.01,0.1,4.954304432903319
2,0.01,0.2,4.909468110078067
3,0.01,0.3,4.936393625114793
4,0.01,0.4,4.868934862997129
5,0.01,0.5,4.9466694167730365
6,0.01,0.6,4.995416053120529
7,0.01,0.7,4.844370836119677
8,0.01,0.8,5.094981584452253
9,0.01,0.9,4.996010664595561
10,0.01,0.99,7.918042232360342
11,0.1,0.01,5.763969696145201
12,0.1,0.1,5.784358541374242
13,0.1,0.2,5.815343906959821
14,0.1,0.3,5.878240331154242
15,0.1,0.4,5.81041037161431
16,0.1,0.5,6.104450538406011
17,0.1,0.6,5.914888477107026
18,0.1,0.7,6.248822520616133
19,0.1,0.8,6.825484498763302
20,0.1,0.9,5.85097299219778
21,0.1,0.99,
22,0.2,0.01,6.353476331307679
23,0.2,0.1,6.2879778364995875
24,0.2,0.2,6.322198761097924
25,0.2,0.3,6.3975079231746514
26,0.2,0.4,6.570051117891369
27,0.2,0.5,6.657001044984995
28,0.2,0.6,7.201920826717881
29,0.2,0.7,8.094399812070867
30,0.2,0.8,5.300216130003581
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,6.7856075965998786
34,0.3,0.1,6.760841058775511
35,0.3,0.2,6.886110269934091
36,0.3,0.3,6.98102039895581
37,0.3,0.4,7.276844007712144
38,0.3,0.5,7.781496600264827
39,0.3,0.6,8.76591303824679
40,0.3,0.7,5.570338316782404
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,6.9261355950466355
45,0.4,0.1,6.985535955019823
46,0.4,0.2,7.146658959099597
47,0.4,0.3,7.544614353779002
48,0.4,0.4,8.128823059410719
49,0.4,0.5,8.870394810248554
50,0.4,0.6,6.153721640091195
51,0.4,0.7,-2.5081260860801633
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,7.159125197276333
56,0.5,0.1,7.411742932898165
57,0.5,0.2,7.501308495274451
58,0.5,0.3,8.214745146869634
59,0.5,0.4,8.968804100576545
60,0.5,0.5,5.38074267729952
61,0.5,0.6,-1.758435933114027
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,7.322287172783235
67,0.6,0.1,7.671484639341806
68,0.6,0.2,8.144594268917217
69,0.6,0.3,9.017105427291748
70,0.6,0.4,5.334509382581612
71,0.6,0.5,-2.019130517496129
72,0.6,0.6,-5.403590244194784
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,7.748084254012904
78,0.7,0.1,8.357773374138661
79,0.7,0.2,9.002384981079176
80,0.7,0.3,4.607737523877596
81,0.7,0.4,-2.2316472375888745
82,0.7,0.5,-5.299262316249771
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,8.262145899041618
89,0.8,0.1,8.973276577480938
90,0.8,0.2,5.711375062012406
91,0.8,0.3,-2.454446253439662
92,0.8,0.4,-5.549103555502653
93,0.8,0.5,-6.3567470039023135
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,9.033363171079978
100,0.9,0.1,5.694898371447805
101,0.9,0.2,-3.1980024813281753
102,0.9,0.3,-5.55901318979492
103,0.9,0.4,-6.5123866296009645
104,0.9,0.5,-6.722335764592634
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,8.36857678610699
111,0.99,0.1,-0.10538100122837733
112,0.99,0.2,-1.701189898571913
113,0.99,0.3,-2.0547217078584383
114,0.99,0.4,-2.1113918237754805
115,0.99,0.5,-2.142353132611154
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
