,P,cost,value
0,0.01,0.01,3.8113955341155497
1,0.01,0.1,3.784386356861188
2,0.01,0.2,3.7620493051851516
3,0.01,0.3,3.8760825651037836
4,0.01,0.4,3.9433230629619302
5,0.01,0.5,3.78738107342678
6,0.01,0.6,3.84571418007093
7,0.01,0.7,3.8080671215478192
8,0.01,0.8,3.832230125752761
9,0.01,0.9,3.8042457896978576
10,0.01,0.99,7.902409596763046
11,0.1,0.01,5.052485608695986
12,0.1,0.1,5.045055320888885
13,0.1,0.2,5.0670310928991285
14,0.1,0.3,5.044737317211048
15,0.1,0.4,5.016378113597981
16,0.1,0.5,5.05515125319535
17,0.1,0.6,5.011690678892009
18,0.1,0.7,4.945300692697624
19,0.1,0.8,4.5181655715534745
20,0.1,0.9,2.8352619316716914
21,0.1,0.99,
22,0.2,0.01,5.461993410647499
23,0.2,0.1,5.479451801936558
24,0.2,0.2,5.439403428316928
25,0.2,0.3,5.419385732011164
26,0.2,0.4,5.414607344685606
27,0.2,0.5,5.257983701359543
28,0.2,0.6,5.115291146283308
29,0.2,0.7,3.45682572226842
30,0.2,0.8,0.38507525500608086
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,5.8128600190579895
34,0.3,0.1,5.7776837726793095
35,0.3,0.2,5.757061020947494
36,0.3,0.3,5.706430840171147
37,0.3,0.4,5.60473284448384
38,0.3,0.5,5.128216804555827
39,0.3,0.6,3.1929739472774377
40,0.3,0.7,-0.9045652313240706
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,5.990400956495108
45,0.4,0.1,5.944109377136719
46,0.4,0.2,5.957657233823571
47,0.4,0.3,5.765577190851808
48,0.4,0.4,5.277537093564531
49,0.4,0.5,3.1158862116415813
50,0.4,0.6,-1.1672773451595133
51,0.4,0.7,4.442369703767865
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,6.142635510597037
56,0.5,0.1,6.19997265560696
57,0.5,0.2,6.010817273236507
58,0.5,0.3,5.609881877464517
59,0.5,0.4,3.5106491185975326
60,0.5,0.5,-1.4768671797892685
61,0.5,0.6,3.769219713972703
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,6.3479039285757155
67,0.6,0.1,6.234996552302825
68,0.6,0.2,5.936877960792556
69,0.6,0.3,4.2606101138199834
70,0.6,0.4,-1.3265304192408798
71,0.6,0.5,3.33694471154953
72,0.6,0.6,5.6083300931361615
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,6.652926654436047
78,0.7,0.1,6.577196816370318
79,0.7,0.2,5.00403530476751
80,0.7,0.3,-0.9725611961564833
81,0.7,0.4,3.101803781731003
82,0.7,0.5,5.228567049165843
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,7.066735961951558
89,0.8,0.1,6.474018844066976
90,0.8,0.2,0.1101899041453385
91,0.8,0.3,2.76840899106652
92,0.8,0.4,5.0854973206046505
93,0.8,0.5,5.4391565711240695
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,7.830028403399978
100,0.9,0.1,2.5545901435678258
101,0.9,0.2,3.2940177193141116
102,0.9,0.3,4.86512738304918
103,0.9,0.4,5.180620378845861
104,0.9,0.5,5.2569674107628925
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,8.295186683499141
111,0.99,0.1,4.3613462217145536
112,0.99,0.2,4.431224194918367
113,0.99,0.3,4.383871755127926
114,0.99,0.4,4.447290345602472
115,0.99,0.5,4.4234342751090585
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
