,P,cost,value
0,0.01,0.01,-0.6097971123410075
1,0.01,0.1,-0.6733614610711345
2,0.01,0.2,-0.6100722905774151
3,0.01,0.3,-0.5489346815472783
4,0.01,0.4,-0.8595808857591427
5,0.01,0.5,-0.6091688920261615
6,0.01,0.6,-0.8020368179405513
7,0.01,0.7,-0.8643045550403576
8,0.01,0.8,-0.6484977462651118
9,0.01,0.9,-0.7907043489682797
10,0.01,0.99,9.71459762894386
11,0.1,0.01,-1.9593729047224373
12,0.1,0.1,-1.5980761050643668
13,0.1,0.2,-1.6929477382378648
14,0.1,0.3,-1.48363318599775
15,0.1,0.4,-1.6000206003861919
16,0.1,0.5,-1.3751330272472038
17,0.1,0.6,-1.1483077122619298
18,0.1,0.7,-0.7043433814735217
19,0.1,0.8,0.8795407891250977
20,0.1,0.9,9.686840200028135
21,0.1,0.99,
22,0.2,0.01,-1.7921179933670175
23,0.2,0.1,-1.614927895381444
24,0.2,0.2,-1.679473977056033
25,0.2,0.3,-1.3101501596751848
26,0.2,0.4,-1.0820443862106606
27,0.2,0.5,-0.5415456433065567
28,0.2,0.6,0.5629594777194967
29,0.2,0.7,3.444337649902291
30,0.2,0.8,9.662579073101385
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-1.5617791269206047
34,0.3,0.1,-1.4259454006224277
35,0.3,0.2,-1.262138241104097
36,0.3,0.3,-0.7097998282215694
37,0.3,0.4,0.21109830746342478
38,0.3,0.5,1.6747174346554683
39,0.3,0.6,5.153409933167468
40,0.3,0.7,9.692859508972884
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-1.1815351370132186
45,0.4,0.1,-1.2664160356058887
46,0.4,0.2,-0.6006256823844607
47,0.4,0.3,0.27348746581213845
48,0.4,0.4,2.4320746411551095
49,0.4,0.5,5.933582071776357
50,0.4,0.6,9.684883016632192
51,0.4,0.7,6.233495885989091
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-1.320078752891073
56,0.5,0.1,-0.7055885272085498
57,0.5,0.2,0.28714285796150824
58,0.5,0.3,2.103156563894827
59,0.5,0.4,5.891162638490868
60,0.5,0.5,9.680477468047668
61,0.5,0.6,6.137855243601517
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-0.7586549196663711
67,0.6,0.1,0.3698806902150887
68,0.6,0.2,1.8813444206992334
69,0.6,0.3,5.927623233977948
70,0.6,0.4,9.687684516155507
71,0.6,0.5,6.46226509546871
72,0.6,0.6,2.0887575922784687
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-0.20410139960002197
78,0.7,0.1,1.4538761662271926
79,0.7,0.2,5.773863867285611
80,0.7,0.3,9.69085978639762
81,0.7,0.4,6.088235859467313
82,0.7,0.5,2.047708619218833
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.7372930052323013
89,0.8,0.1,4.596735277673312
90,0.8,0.2,9.665892549736894
91,0.8,0.3,5.411798322713739
92,0.8,0.4,1.7567561593338885
93,0.8,0.5,-0.14015005471560626
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,3.62451755089406
100,0.9,0.1,9.674566926831618
101,0.9,0.2,4.304192597382856
102,0.9,0.3,0.9650285860009098
103,0.9,0.4,-0.6721668656887171
104,0.9,0.5,-0.9520498238832324
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,9.532148597291922
111,0.99,0.1,2.310424318031185
112,0.99,0.2,0.3204620872820471
113,0.99,0.3,-0.425937075041744
114,0.99,0.4,-0.9094920242552934
115,0.99,0.5,-0.7441728478207849
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
