,P,cost,value
0,0.01,0.01,9.99921037947091
1,0.01,0.1,9.9992030433175
2,0.01,0.2,9.999220830804008
3,0.01,0.3,9.999239670893282
4,0.01,0.4,9.999206188046688
5,0.01,0.5,9.999255437177752
6,0.01,0.6,9.999258557073356
7,0.01,0.7,9.999199582082927
8,0.01,0.8,9.99905688766259
9,0.01,0.9,9.99499755893239
10,0.01,0.99,9.716074850991777
11,0.1,0.01,9.999221422461721
12,0.1,0.1,9.999212569598969
13,0.1,0.2,9.999161305051844
14,0.1,0.3,9.99915869778747
15,0.1,0.4,9.999078060694252
16,0.1,0.5,9.998890272232298
17,0.1,0.6,9.998490213370573
18,0.1,0.7,9.997300720836249
19,0.1,0.8,9.963493156086384
20,0.1,0.9,9.684839230467349
21,0.1,0.99,
22,0.2,0.01,9.999322043135866
23,0.2,0.1,9.999197236999803
24,0.2,0.2,9.999068981944541
25,0.2,0.3,9.998899482945625
26,0.2,0.4,9.99856960179638
27,0.2,0.5,9.998198137707163
28,0.2,0.6,9.994224816183575
29,0.2,0.7,9.951754988882978
30,0.2,0.8,9.65427941963576
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.999235730959473
34,0.3,0.1,9.999092046547553
35,0.3,0.2,9.998857028797165
36,0.3,0.3,9.998529937802779
37,0.3,0.4,9.997058264771837
38,0.3,0.5,9.99085569203663
39,0.3,0.6,9.916787925369828
40,0.3,0.7,9.69396418064014
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.999227387398504
45,0.4,0.1,9.999068751940447
46,0.4,0.2,9.998706762467313
47,0.4,0.3,9.997142230864322
48,0.4,0.4,9.987384004891037
49,0.4,0.5,9.911023635731913
50,0.4,0.6,9.68092341090707
51,0.4,0.7,9.983590161171245
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,9.999228780160031
56,0.5,0.1,9.998505497680036
57,0.5,0.2,9.998040738042235
58,0.5,0.3,9.98814125653557
59,0.5,0.4,9.913886993878778
60,0.5,0.5,9.68391339012164
61,0.5,0.6,9.975211122629338
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,9.999114125706095
67,0.6,0.1,9.998196991178325
68,0.6,0.2,9.993270576283274
69,0.6,0.3,9.917498309943893
70,0.6,0.4,9.687351474453012
71,0.6,0.5,9.981319102020901
72,0.6,0.6,9.998772504188784
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,9.999006539937994
78,0.7,0.1,9.99588281719027
79,0.7,0.2,9.940794490664702
80,0.7,0.3,9.690497279687474
81,0.7,0.4,9.975334018231683
82,0.7,0.5,9.998910381826985
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,9.998506724377352
89,0.8,0.1,9.974659732931705
90,0.8,0.2,9.66238865765469
91,0.8,0.3,9.984123146158563
92,0.8,0.4,9.999294698394811
93,0.8,0.5,9.999824426381679
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,9.99497662999605
100,0.9,0.1,9.674992906609031
101,0.9,0.2,9.992502174008225
102,0.9,0.3,9.999613513018415
103,0.9,0.4,9.999910005147118
104,0.9,0.5,9.999939753578131
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,9.532417825820358
111,0.99,0.1,9.999736018652873
112,0.99,0.2,9.999960847681574
113,0.99,0.3,9.999971924350072
114,0.99,0.4,9.999976756031955
115,0.99,0.5,9.999979677554675
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
