,P,cost,value
0,0.01,0.01,9.99920308296306
1,0.01,0.1,9.991849628901763
2,0.01,0.2,9.709333370676417
3,0.01,0.3,8.150273213006699
4,0.01,0.4,3.8783638388488733
5,0.01,0.5,-0.6091688920261615
6,0.01,0.6,-1.6911377200411934
7,0.01,0.7,-2.2351967218108455
8,0.01,0.8,-1.9904031198480587
9,0.01,0.9,-2.104838554778691
10,0.01,0.99,9.036517120858957
11,0.1,0.01,9.99922146661254
12,0.1,0.1,9.999028119798544
13,0.1,0.2,9.995771911862928
14,0.1,0.3,9.891079329326239
15,0.1,0.4,8.2005828818426
16,0.1,0.5,-1.3751330272472038
17,0.1,0.6,-7.357169929856271
18,0.1,0.7,-8.82814905280953
19,0.1,0.8,-9.084410106101753
20,0.1,0.9,1.9149035279328404
21,0.1,0.99,
22,0.2,0.01,9.999322043135866
23,0.2,0.1,9.999126055783055
24,0.2,0.2,9.997773811981103
25,0.2,0.3,9.981972638009081
26,0.2,0.4,9.259287332241632
27,0.2,0.5,-0.5415456433065567
28,0.2,0.6,-7.312218255712104
29,0.2,0.7,-8.111185824647878
30,0.2,0.8,0.5518417738127008
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.999235730959473
34,0.3,0.1,9.999066525125343
35,0.3,0.2,9.998307771533161
36,0.3,0.3,9.991018123579012
37,0.3,0.4,9.693562822391495
38,0.3,0.5,1.6747174346554683
39,0.3,0.6,-4.550388814395311
40,0.3,0.7,2.433154763538574
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.999227387398504
45,0.4,0.1,9.999041354916221
46,0.4,0.2,9.998457696806158
47,0.4,0.3,9.995223946917449
48,0.4,0.4,9.897089352542906
49,0.4,0.5,5.933582071776357
50,0.4,0.6,5.717479172687259
51,0.4,0.7,9.89596658040643
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,9.999228780160031
56,0.5,0.1,9.998509155968007
57,0.5,0.2,9.998045204316941
58,0.5,0.3,9.988103259529947
59,0.5,0.4,9.910978120877193
60,0.5,0.5,9.680477468047668
61,0.5,0.6,9.975496859645965
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,9.999114125706095
67,0.6,0.1,9.998106151313305
68,0.6,0.2,9.989742286651829
69,0.6,0.3,9.747762006980714
70,0.6,0.4,5.855062602714347
71,0.6,0.5,6.46226509546871
72,0.6,0.6,9.931648801278234
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,9.999006539937994
78,0.7,0.1,9.994540416327611
79,0.7,0.2,9.699468929135119
80,0.7,0.3,2.2237040381614914
81,0.7,0.4,-3.8570602979190434
82,0.7,0.5,2.047708619218833
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,9.998506724377352
89,0.8,0.1,9.890178473144719
90,0.8,0.2,1.6325888523503604
91,0.8,0.3,-7.054385434031102
92,0.8,0.4,-7.0297701110376725
93,0.8,0.5,-0.14015005471560626
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,9.99497665812741
100,0.9,0.1,2.0702692667588147
101,0.9,0.2,-7.752003466326432
102,0.9,0.3,-8.287063154782482
103,0.9,0.4,-6.981011445164081
104,0.9,0.5,-0.9520498238832324
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,8.856681789856168
111,0.99,0.1,0.24403233447013478
112,0.99,0.2,-1.127961264114041
113,0.99,0.3,-1.8071833312986065
114,0.99,0.4,-1.8521061902026326
115,0.99,0.5,-0.7441728478207849
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
