,P,cost,value
0,0.01,0.01,-0.6118270613865745
1,0.01,0.1,-0.6746575288151714
2,0.01,0.2,-0.6136061221150944
3,0.01,0.3,-0.5521237833405587
4,0.01,0.4,-0.861513097769885
5,0.01,0.5,-0.6090711088832291
6,0.01,0.6,-0.8054983166379244
7,0.01,0.7,-0.8667773602655225
8,0.01,0.8,-0.6516573323312489
9,0.01,0.9,-0.7929383284033537
10,0.01,0.99,9.714900644582778
11,0.1,0.01,-1.9454397087013242
12,0.1,0.1,-1.5796214377472868
13,0.1,0.2,-1.688700534254087
14,0.1,0.3,-1.475371498234863
15,0.1,0.4,-1.595812946490952
16,0.1,0.5,-1.3586050234932991
17,0.1,0.6,-1.151309868429363
18,0.1,0.7,-0.6869075453210969
19,0.1,0.8,0.8976179434547564
20,0.1,0.9,9.686411175872681
21,0.1,0.99,
22,0.2,0.01,-1.753610722952115
23,0.2,0.1,-1.592873651138469
24,0.2,0.2,-1.6565833083342087
25,0.2,0.3,-1.2856010405464044
26,0.2,0.4,-1.0617602803937256
27,0.2,0.5,-0.5236103580572309
28,0.2,0.6,0.5713526091816431
29,0.2,0.7,3.4653604155008946
30,0.2,0.8,9.659603691073336
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-1.5587320923439585
34,0.3,0.1,-1.4332687674907032
35,0.3,0.2,-1.2629380359367883
36,0.3,0.3,-0.703499190654573
37,0.3,0.4,0.21182175147240798
38,0.3,0.5,1.676748082053703
39,0.3,0.6,5.146863676377945
40,0.3,0.7,9.692932022779063
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-1.189748615972928
45,0.4,0.1,-1.283329822493097
46,0.4,0.2,-0.6123746570293722
47,0.4,0.3,0.27754032792022365
48,0.4,0.4,2.4343454908492785
49,0.4,0.5,5.935711032216831
50,0.4,0.6,9.684810286739738
51,0.4,0.7,6.223679594314194
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-1.2267993473611238
56,0.5,0.1,-0.5979642688815054
57,0.5,0.2,0.39515922560961614
58,0.5,0.3,2.190175594590402
59,0.5,0.4,5.901332084710026
60,0.5,0.5,9.676412022934961
61,0.5,0.6,6.1396771302853725
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-0.7721094866039847
67,0.6,0.1,0.3737495019069989
68,0.6,0.2,1.8839656340495339
69,0.6,0.3,5.923263384017915
70,0.6,0.4,9.686861824811006
71,0.6,0.5,6.462916911494929
72,0.6,0.6,2.1076444976005786
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-0.22294623407533407
78,0.7,0.1,1.4378934203738831
79,0.7,0.2,5.76112403711787
80,0.7,0.3,9.69202012087157
81,0.7,0.4,6.093528812244915
82,0.7,0.5,2.035898799276876
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.7446727132911284
89,0.8,0.1,4.577422629283804
90,0.8,0.2,9.661706080591328
91,0.8,0.3,5.3950944472805995
92,0.8,0.4,1.742706128745711
93,0.8,0.5,-0.16150990006313254
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,3.612977129953363
100,0.9,0.1,9.67452656146136
101,0.9,0.2,4.2888453094214265
102,0.9,0.3,0.9691366149270804
103,0.9,0.4,-0.6727044587872106
104,0.9,0.5,-0.9671887902346021
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,9.532172685909984
111,0.99,0.1,2.3087518438880608
112,0.99,0.2,0.3200611863575743
113,0.99,0.3,-0.4261665934086505
114,0.99,0.4,-0.9093958004444915
115,0.99,0.5,-0.7445330417638243
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
