,P,cost,value
0,0.01,0.01,9.999207198397094
1,0.01,0.1,9.999199378942109
2,0.01,0.2,9.999217887586969
3,0.01,0.3,9.99922943065356
4,0.01,0.4,9.999202188195145
5,0.01,0.5,9.999255437177752
6,0.01,0.6,9.999272920309826
7,0.01,0.7,9.999262403293926
8,0.01,0.8,9.999249284321476
9,0.01,0.9,9.999138226587378
10,0.01,0.99,1.4599122158492035
11,0.1,0.01,9.999025417275966
12,0.1,0.1,9.999059387770941
13,0.1,0.2,9.998993453934638
14,0.1,0.3,9.99902111572834
15,0.1,0.4,9.998985902025227
16,0.1,0.5,9.998890272232298
17,0.1,0.6,9.998762244948558
18,0.1,0.7,9.998548809724246
19,0.1,0.8,9.990936008044576
20,0.1,0.9,-0.45753105670687744
21,0.1,0.99,
22,0.2,0.01,9.998072809620158
23,0.2,0.1,9.998114230994348
24,0.2,0.2,9.99789835573763
25,0.2,0.3,9.998142859371091
26,0.2,0.4,9.998282314684001
27,0.2,0.5,9.998198137707163
28,0.2,0.6,9.994837372231798
29,0.2,0.7,9.900177616396984
30,0.2,0.8,0.3964366034362736
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.98493177821652
34,0.3,0.1,9.989919549639716
35,0.3,0.2,9.989129374723888
36,0.3,0.3,9.991545526858278
37,0.3,0.4,9.99443458894924
38,0.3,0.5,9.99085569203663
39,0.3,0.6,9.795925623881686
40,0.3,0.7,1.4521062208335862
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.595598961280542
45,0.4,0.1,9.567765993423281
46,0.4,0.2,9.665560675882436
47,0.4,0.3,9.745298196412968
48,0.4,0.4,9.898117204893444
49,0.4,0.5,9.911023635731913
50,0.4,0.6,5.384568498657787
51,0.4,0.7,-5.001363084311636
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-1.3117596570918144
56,0.5,0.1,-0.652502562774524
57,0.5,0.2,0.3167305811660103
58,0.5,0.3,2.169570124972201
59,0.5,0.4,5.931454792929535
60,0.5,0.5,9.68391339012164
61,0.5,0.6,6.186617247108778
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-8.971949256273026
67,0.6,0.1,-8.622735675981342
68,0.6,0.2,-7.953445224671951
69,0.6,0.3,-5.0823245960475925
70,0.6,0.4,5.227981385037786
71,0.6,0.5,9.981319102020901
72,0.6,0.6,9.950273566411173
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-9.670503924526216
78,0.7,0.1,-9.388593399280358
79,0.7,0.2,-7.797733967217865
80,0.7,0.3,1.6357303368691725
81,0.7,0.4,9.817069998207103
82,0.7,0.5,9.998910381826985
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-9.75545586357724
89,0.8,0.1,-8.955254012610697
90,0.8,0.2,-0.1343731018372566
91,0.8,0.3,9.763102296004785
92,0.8,0.4,9.998170052555599
93,0.8,0.5,9.999824426381679
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-9.507020907570336
100,0.9,0.1,-0.7495785653686557
101,0.9,0.2,9.86099867133747
102,0.9,0.3,9.998375233461958
103,0.9,0.4,9.999869680365073
104,0.9,0.5,9.999939753578131
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.8504918673665722
111,0.99,0.1,9.995848723763315
112,0.99,0.2,9.999913623202177
113,0.99,0.3,9.999966926962793
114,0.99,0.4,9.999976537041281
115,0.99,0.5,9.999979677554675
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
