,P,cost,value
0,0.01,0.01,-0.6129412259199875
1,0.01,0.1,-0.6745420364289991
2,0.01,0.2,-0.6118495526272637
3,0.01,0.3,-0.5518101469438732
4,0.01,0.4,-0.8622731442840497
5,0.01,0.5,-0.6087921510816189
6,0.01,0.6,-0.805410004078393
7,0.01,0.7,-0.8683279154343483
8,0.01,0.8,-0.651440534104941
9,0.01,0.9,-0.7931502748907148
10,0.01,0.99,9.714900644582778
11,0.1,0.01,-1.9451077895512792
12,0.1,0.1,-1.5751798078045065
13,0.1,0.2,-1.6881988701056825
14,0.1,0.3,-1.476530920104524
15,0.1,0.4,-1.5954047075795543
16,0.1,0.5,-1.3541322987868782
17,0.1,0.6,-1.1504842293177007
18,0.1,0.7,-0.6889717028688526
19,0.1,0.8,0.8982328857379458
20,0.1,0.9,9.686411175872681
21,0.1,0.99,
22,0.2,0.01,-1.7535663360812104
23,0.2,0.1,-1.593347455700152
24,0.2,0.2,-1.6568882644831315
25,0.2,0.3,-1.2854823137231886
26,0.2,0.4,-1.0612578188528112
27,0.2,0.5,-0.52203923525824
28,0.2,0.6,0.5667540427540989
29,0.2,0.7,3.463452826610079
30,0.2,0.8,9.659625766916317
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-1.5585746908409626
34,0.3,0.1,-1.4345954586462883
35,0.3,0.2,-1.2629685052243287
36,0.3,0.3,-0.7025824479917406
37,0.3,0.4,0.2118658963714689
38,0.3,0.5,1.6769840129743863
39,0.3,0.6,5.147038040198972
40,0.3,0.7,9.692932022779063
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-1.189512912777084
45,0.4,0.1,-1.2835095151295235
46,0.4,0.2,-0.6124292650634963
47,0.4,0.3,0.2774081372253231
48,0.4,0.4,2.431847734430812
49,0.4,0.5,5.935672582506941
50,0.4,0.6,9.684810286739738
51,0.4,0.7,6.218381678543105
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-1.2210442695296435
56,0.5,0.1,-0.6055123288486848
57,0.5,0.2,0.39510281710516226
58,0.5,0.3,2.1813644886273424
59,0.5,0.4,5.898779035765067
60,0.5,0.5,9.676412022934961
61,0.5,0.6,6.1424247933373755
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-0.7721094866039847
67,0.6,0.1,0.37347299287819385
68,0.6,0.2,1.8836851682510551
69,0.6,0.3,5.922320798135674
70,0.6,0.4,9.686861824811006
71,0.6,0.5,6.4655942677981
72,0.6,0.6,2.1066692798064106
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-0.22249685709885395
78,0.7,0.1,1.4390133945500774
79,0.7,0.2,5.761257849307344
80,0.7,0.3,9.69202012087157
81,0.7,0.4,6.0939488313584285
82,0.7,0.5,2.035430050213579
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.7426473825019433
89,0.8,0.1,4.57213551300934
90,0.8,0.2,9.661706080591328
91,0.8,0.3,5.389661360201172
92,0.8,0.4,1.7400705361062874
93,0.8,0.5,-0.1636406215194844
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,3.612045623847706
100,0.9,0.1,9.67452656146136
101,0.9,0.2,4.288740183743562
102,0.9,0.3,0.971278896683313
103,0.9,0.4,-0.6695680447214981
104,0.9,0.5,-0.9685163414085174
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,9.532172685909984
111,0.99,0.1,2.3089412916232046
112,0.99,0.2,0.3202393143916231
113,0.99,0.3,-0.42581857877103885
114,0.99,0.4,-0.9092647902797141
115,0.99,0.5,-0.7443957102062662
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
