,P,cost,value
0,0.01,0.01,-2.2195079962630073
1,0.01,0.1,-2.0852460004420963
2,0.01,0.2,-2.275521231519962
3,0.01,0.3,-2.2677935019166746
4,0.01,0.4,-2.283733137447932
5,0.01,0.5,-2.217404474911444
6,0.01,0.6,-2.305111750032715
7,0.01,0.7,-2.2795675113459954
8,0.01,0.8,-2.085758134980728
9,0.01,0.9,-2.120538370238371
10,0.01,0.99,7.941572790258032
11,0.1,0.01,-8.525014135024895
12,0.1,0.1,-8.479168903590718
13,0.1,0.2,-8.451886898832203
14,0.1,0.3,-8.461529805624924
15,0.1,0.4,-8.419624340804274
16,0.1,0.5,-8.377456055774022
17,0.1,0.6,-8.336233575107158
18,0.1,0.7,-8.146701879550996
19,0.1,0.8,-7.439948164513751
20,0.1,0.9,4.619809917559167
21,0.1,0.99,
22,0.2,0.01,-9.439492409483833
23,0.2,0.1,-9.411284645717718
24,0.2,0.2,-9.40973287339472
25,0.2,0.3,-9.406221947046733
26,0.2,0.4,-9.29025056895831
27,0.2,0.5,-9.196885804785337
28,0.2,0.6,-8.913364002978966
29,0.2,0.7,-7.648776779424792
30,0.2,0.8,2.1036761524949754
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-9.694373339454708
34,0.3,0.1,-9.67639996230131
35,0.3,0.2,-9.665908316751747
36,0.3,0.3,-9.606161005759901
37,0.3,0.4,-9.483626075059494
38,0.3,0.5,-9.062783563630362
39,0.3,0.6,-8.006411060358518
40,0.3,0.7,0.22378404524172524
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-9.81527394355804
45,0.4,0.1,-9.782959096314311
46,0.4,0.2,-9.744697268981978
47,0.4,0.3,-9.649450971755096
48,0.4,0.4,-9.312693148704824
49,0.4,0.5,-8.122109677831157
50,0.4,0.6,-1.0801639988663996
51,0.4,0.7,9.665274165193665
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-9.859741151714786
56,0.5,0.1,-9.817049206419096
57,0.5,0.2,-9.748171524036948
58,0.5,0.3,-9.517482526818497
59,0.5,0.4,-8.410906009684485
60,0.5,0.5,-0.7490423885424496
61,0.5,0.6,9.397825058830387
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-9.875627661798204
67,0.6,0.1,-9.814827714673473
68,0.6,0.2,-9.607337173568295
69,0.6,0.3,-8.676379045913189
70,0.6,0.4,-1.181627280373589
71,0.6,0.5,9.328982720183605
72,0.6,0.6,9.986807234428781
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-9.867654734170975
78,0.7,0.1,-9.741873394133412
79,0.7,0.2,-8.913083591564893
80,0.7,0.3,-0.46923961079262055
81,0.7,0.4,9.384104989388886
82,0.7,0.5,9.984425256548077
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-9.840963957482039
89,0.8,0.1,-9.235701112056493
90,0.8,0.2,-1.930860344319469
91,0.8,0.3,9.469111120328629
92,0.8,0.4,9.991232989579848
93,0.8,0.5,9.99904917181288
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-9.585227662589446
100,0.9,0.1,-1.4241766915115677
101,0.9,0.2,9.831592255133213
102,0.9,0.3,9.995622607699733
103,0.9,0.4,9.99968504735421
104,0.9,0.5,9.999875735395303
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.5146386732954142
111,0.99,0.1,9.995359829794108
112,0.99,0.2,9.999885437575307
113,0.99,0.3,9.999961632817415
114,0.99,0.4,9.999976430976357
115,0.99,0.5,9.999976639981679
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
