,P,cost,value
0,0.01,0.01,-1.1068046014664148
1,0.01,0.1,-1.375141785509205
2,0.01,0.2,-1.2093527926553214
3,0.01,0.3,-1.554456923870097
4,0.01,0.4,-1.2785841169096672
5,0.01,0.5,-1.2072987254927539
6,0.01,0.6,-1.1724645384406989
7,0.01,0.7,-1.398572669523313
8,0.01,0.8,-1.078765878723874
9,0.01,0.9,-0.9879699575928963
10,0.01,0.99,8.78930369008582
11,0.1,0.01,-6.0623975907144425
12,0.1,0.1,-6.001429572466651
13,0.1,0.2,-6.139643866548727
14,0.1,0.3,-5.842101320377264
15,0.1,0.4,-5.899839798147662
16,0.1,0.5,-5.750467929299995
17,0.1,0.6,-5.708956433507422
18,0.1,0.7,-5.518861820133525
19,0.1,0.8,-4.100368495361445
20,0.1,0.9,9.009181571530826
21,0.1,0.99,
22,0.2,0.01,-4.875756331770792
23,0.2,0.1,-4.806172198278896
24,0.2,0.2,-4.738827687117167
25,0.2,0.3,-4.6859910991034335
26,0.2,0.4,-4.1369301828147105
27,0.2,0.5,-4.061941494074207
28,0.2,0.6,-2.9196443388600746
29,0.2,0.7,0.0880674796213908
30,0.2,0.8,9.313912673129687
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-3.5351724825781967
34,0.3,0.1,-3.535625751593022
35,0.3,0.2,-3.524914106292498
36,0.3,0.3,-2.8455205767540486
37,0.3,0.4,-2.1949586082557384
38,0.3,0.5,-0.39855279609708133
39,0.3,0.6,2.8409125323777102
40,0.3,0.7,9.561382573294644
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-2.462219104251547
45,0.4,0.1,-2.1793399143217944
46,0.4,0.2,-1.6167584859187492
47,0.4,0.3,-0.809639739458988
48,0.4,0.4,0.8807205500017534
49,0.4,0.5,4.659144914213259
50,0.4,0.6,9.655373937007065
51,0.4,0.7,6.74699859022731
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-1.1398761777510997
56,0.5,0.1,-0.39636869797508584
57,0.5,0.2,-0.023554545915313477
58,0.5,0.3,2.385350520607241
59,0.5,0.4,5.9432595323109885
60,0.5,0.5,9.70477452236271
61,0.5,0.6,6.335822980745611
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.1886990022847893
67,0.6,0.1,1.6060081594508246
68,0.6,0.2,3.012788450403945
69,0.6,0.3,6.707504668296954
70,0.6,0.4,9.675522794583443
71,0.6,0.5,5.265200571028194
72,0.6,0.6,0.7342485037113047
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,2.490397941476995
78,0.7,0.1,3.8307435014063573
79,0.7,0.2,7.313912090895406
80,0.7,0.3,9.37854799120511
81,0.7,0.4,3.867576096865152
82,0.7,0.5,-0.19188297819157635
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,4.836596248873766
89,0.8,0.1,7.659316073499401
90,0.8,0.2,9.40319829283352
91,0.8,0.3,1.9578024418690445
92,0.8,0.4,-2.0886972081968795
93,0.8,0.5,-3.2488922907742666
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,8.163528527836663
100,0.9,0.1,8.545569047500315
101,0.9,0.2,-1.3020579452782541
102,0.9,0.3,-4.19692566246775
103,0.9,0.4,-5.351727974706531
104,0.9,0.5,-5.6905087941942964
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,9.137004972252432
111,0.99,0.1,0.7651571714363948
112,0.99,0.2,-0.7257904100069651
113,0.99,0.3,-1.0822666727193044
114,0.99,0.4,-0.8347921874926001
115,0.99,0.5,-1.3428375865112139
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
