,P,cost,value
0,0.01,0.01,2.400200503346234
1,0.01,0.1,2.597604726176746
2,0.01,0.2,2.449293929094342
3,0.01,0.3,2.3004071384569187
4,0.01,0.4,2.1060391377180454
5,0.01,0.5,2.5008576011261856
6,0.01,0.6,2.5430851986886864
7,0.01,0.7,2.308201332488097
8,0.01,0.8,2.7773723969413227
9,0.01,0.9,2.5224450702787244
10,0.01,0.99,9.134569997819153
11,0.1,0.01,2.4767073184766026
12,0.1,0.1,2.7152199272230315
13,0.1,0.2,2.5698082745493345
14,0.1,0.3,2.8235334597213075
15,0.1,0.4,2.631624946588693
16,0.1,0.5,3.1079210812787164
17,0.1,0.6,2.6409584541845494
18,0.1,0.7,3.1321553027468845
19,0.1,0.8,4.00446092101755
20,0.1,0.9,6.9146930186477
21,0.1,0.99,
22,0.2,0.01,2.393878405012515
23,0.2,0.1,2.0921237832142774
24,0.2,0.2,1.5380163595698837
25,0.2,0.3,2.0401549442892346
26,0.2,0.4,2.333291896119137
27,0.2,0.5,2.403542464447314
28,0.2,0.6,3.641723284139991
29,0.2,0.7,4.480635314247639
30,0.2,0.8,6.081154120382635
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,2.0608257919789352
34,0.3,0.1,2.174124188203373
35,0.3,0.2,1.9681564708917898
36,0.3,0.3,2.5901522842098625
37,0.3,0.4,2.8960677321602404
38,0.3,0.5,3.837282249735627
39,0.3,0.6,4.840655755028313
40,0.3,0.7,5.816220152943954
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,2.1276512436500807
45,0.4,0.1,2.100143528104676
46,0.4,0.2,2.421694761046018
47,0.4,0.3,3.0749173937787426
48,0.4,0.4,4.040614550778906
49,0.4,0.5,4.672431196079333
50,0.4,0.6,5.804125406718587
51,0.4,0.7,5.917314814305559
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,2.153193755901364
56,0.5,0.1,2.7610359899563237
57,0.5,0.2,2.664604075720293
58,0.5,0.3,3.8030601460172675
59,0.5,0.4,4.506103437680264
60,0.5,0.5,5.72340300532853
61,0.5,0.6,6.042904394708856
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,2.224121422060533
67,0.6,0.1,2.717487983658009
68,0.6,0.2,3.528448069769834
69,0.6,0.3,4.326674631458768
70,0.6,0.4,5.406178921008823
71,0.6,0.5,6.457109955491123
72,0.6,0.6,5.940851489270898
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,3.120645322664713
78,0.7,0.1,3.8345051943949997
79,0.7,0.2,4.270393849835027
80,0.7,0.3,5.521651522856289
81,0.7,0.4,6.298567683678541
82,0.7,0.5,5.702484396451094
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,3.567991961297474
89,0.8,0.1,4.251565066931219
90,0.8,0.2,5.351774830136384
91,0.8,0.3,6.2837327888822525
92,0.8,0.4,5.583524829165029
93,0.8,0.5,5.169584784503951
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,4.089753831146266
100,0.9,0.1,5.752630647242021
101,0.9,0.2,6.571935440521052
102,0.9,0.3,5.650622403854393
103,0.9,0.4,5.077274046660483
104,0.9,0.5,5.0304719340554005
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,8.052518034603246
111,0.99,0.1,6.289171581742563
112,0.99,0.2,5.5179290592972565
113,0.99,0.3,5.3145334706618685
114,0.99,0.4,5.29770887213516
115,0.99,0.5,5.304734323532201
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
