,P,cost,value
0,0.01,0.01,-2.1880932974530785
1,0.01,0.1,-2.055930974663267
2,0.01,0.2,-2.241095224244063
3,0.01,0.3,-2.2343216679955815
4,0.01,0.4,-2.2542895816951103
5,0.01,0.5,-2.1920281779766566
6,0.01,0.6,-2.2769227893852113
7,0.01,0.7,-2.2499725185819166
8,0.01,0.8,-2.0548545336311568
9,0.01,0.9,-2.0923616713870494
10,0.01,0.99,7.941159267726805
11,0.1,0.01,-7.021033456827549
12,0.1,0.1,-6.988852872148276
13,0.1,0.2,-6.973811872187413
14,0.1,0.3,-6.904277675887862
15,0.1,0.4,-6.889319891024441
16,0.1,0.5,-6.807451464658744
17,0.1,0.6,-6.7641471325197795
18,0.1,0.7,-6.493152871086341
19,0.1,0.8,-5.516987271979147
20,0.1,0.9,6.1919821371419115
21,0.1,0.99,
22,0.2,0.01,-7.246562216278925
23,0.2,0.1,-7.205322154583239
24,0.2,0.2,-7.271949568784289
25,0.2,0.3,-7.22727493721496
26,0.2,0.4,-6.865606817472668
27,0.2,0.5,-6.813846158922407
28,0.2,0.6,-5.992342599520074
29,0.2,0.7,-3.790750721931257
30,0.2,0.8,5.720856504819691
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-7.156554579132881
34,0.3,0.1,-7.1150578892685665
35,0.3,0.2,-7.209758492650765
36,0.3,0.3,-6.856466114160655
37,0.3,0.4,-6.48985114177854
38,0.3,0.5,-5.222921333344943
39,0.3,0.6,-2.9707612468868487
40,0.3,0.7,5.140665872046538
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-7.1953581218744915
45,0.4,0.1,-7.0756448146643445
46,0.4,0.2,-6.774242569814972
47,0.4,0.3,-6.3893507671091765
48,0.4,0.4,-5.17469390239591
49,0.4,0.5,-2.566867754704425
50,0.4,0.6,4.905611329430498
51,0.4,0.7,9.154455263718068
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-7.055133365975774
56,0.5,0.1,-6.787067529116364
57,0.5,0.2,-6.379360351326714
58,0.5,0.3,-5.0673353436201385
59,0.5,0.4,-2.1743636960965897
60,0.5,0.5,5.570318927488355
61,0.5,0.6,9.16237011651196
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-6.995540350659684
67,0.6,0.1,-6.405374162148653
68,0.6,0.2,-5.155270958305586
69,0.6,0.3,-2.3921825944466897
70,0.6,0.4,5.446576777760265
71,0.6,0.5,9.10093787503753
72,0.6,0.6,8.305329097117086
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-6.451247160223516
78,0.7,0.1,-5.568546074969131
79,0.7,0.2,-2.50960020553676
80,0.7,0.3,6.245616398216253
81,0.7,0.4,8.985075157263337
82,0.7,0.5,8.075074025415907
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-5.955398744999865
89,0.8,0.1,-3.059488308873315
90,0.8,0.2,5.4530383539421265
91,0.8,0.3,8.790506680928587
92,0.8,0.4,7.714638798078242
93,0.8,0.5,7.145904766327505
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-3.733966592807229
100,0.9,0.1,6.038493475618494
101,0.9,0.2,8.210849306230333
102,0.9,0.3,7.154965808759454
103,0.9,0.4,6.512927268329463
104,0.9,0.5,6.394783296985862
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,7.986173103474537
111,0.99,0.1,6.340437652029992
112,0.99,0.2,5.579861339075763
113,0.99,0.3,5.380518377326595
114,0.99,0.4,5.339544411519221
115,0.99,0.5,5.346250288276169
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
