,P,cost,value
0,0.01,0.01,-6.617208262513379
1,0.01,0.1,-6.582477879496473
2,0.01,0.2,-6.46478831544954
3,0.01,0.3,-6.573730114720466
4,0.01,0.4,-6.7134186707468615
5,0.01,0.5,-6.54118316305788
6,0.01,0.6,-6.634856383607588
7,0.01,0.7,-6.769779716428504
8,0.01,0.8,-6.594860180304458
9,0.01,0.9,-6.611685427559989
10,0.01,0.99,7.457069168853591
11,0.1,0.01,-9.774158685585938
12,0.1,0.1,-9.773343038533763
13,0.1,0.2,-9.762937495184001
14,0.1,0.3,-9.7641196499729
15,0.1,0.4,-9.753062783680127
16,0.1,0.5,-9.751656359065834
17,0.1,0.6,-9.733572379057978
18,0.1,0.7,-9.670862250968382
19,0.1,0.8,-9.468774615226174
20,0.1,0.9,0.7258996336403594
21,0.1,0.99,
22,0.2,0.01,-9.885520941102213
23,0.2,0.1,-9.882675092174118
24,0.2,0.2,-9.880826265630459
25,0.2,0.3,-9.855926970858954
26,0.2,0.4,-9.84328093163672
27,0.2,0.5,-9.809115082789525
28,0.2,0.6,-9.682652221807738
29,0.2,0.7,-9.169910670484809
30,0.2,0.8,-0.8592933528494111
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,-9.914419478554006
34,0.3,0.1,-9.904862681444804
35,0.3,0.2,-9.895490196662397
36,0.3,0.3,-9.874491141085436
37,0.3,0.4,-9.812788873838613
38,0.3,0.5,-9.675057940127115
39,0.3,0.6,-8.758327271282155
40,0.3,0.7,-0.8319316863802649
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,-9.922808247455345
45,0.4,0.1,-9.915133410129947
46,0.4,0.2,-9.892037852651702
47,0.4,0.3,-9.836980332200337
48,0.4,0.4,-9.596617585727804
49,0.4,0.5,-8.789786034599437
50,0.4,0.6,-1.013576827682912
51,0.4,0.7,9.45253751929429
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,-9.928313008510612
56,0.5,0.1,-9.903979583242686
57,0.5,0.2,-9.870260561706745
58,0.5,0.3,-9.677328379191422
59,0.5,0.4,-8.797761006837227
60,0.5,0.5,-0.9190649515249228
61,0.5,0.6,9.26913010154217
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,-9.92768600078104
67,0.6,0.1,-9.88144254857883
68,0.6,0.2,-9.741328350013083
69,0.6,0.3,-8.889731563139925
70,0.6,0.4,-1.650289218098733
71,0.6,0.5,9.137253035301281
72,0.6,0.6,9.980092350601241
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,-9.913185189904572
78,0.7,0.1,-9.809937505069254
79,0.7,0.2,-8.969450135740797
80,0.7,0.3,-1.65108865416825
81,0.7,0.4,9.191782189304817
82,0.7,0.5,9.97749599907367
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,-9.873625540200527
89,0.8,0.1,-9.327864508960882
90,0.8,0.2,-1.760767076105857
91,0.8,0.3,9.4813955044517
92,0.8,0.4,9.988919925018212
93,0.8,0.5,9.998995253435387
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,-9.620623729613042
100,0.9,0.1,-1.511713120978554
101,0.9,0.2,9.771342104449893
102,0.9,0.3,9.995612105277358
103,0.9,0.4,9.999451317088774
104,0.9,0.5,9.999863313315476
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.6471077580173268
111,0.99,0.1,9.994499143052412
112,0.99,0.2,9.999872479672385
113,0.99,0.3,9.999955675837882
114,0.99,0.4,9.999973009738026
115,0.99,0.5,9.999976724374712
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
