,P,cost,value
0,0.01,0.01,9.999343464248092
1,0.01,0.1,9.999278865409716
2,0.01,0.2,9.99918534278472
3,0.01,0.3,9.999193983055644
4,0.01,0.4,9.999259449769216
5,0.01,0.5,9.999197023865067
6,0.01,0.6,9.999277786712739
7,0.01,0.7,9.999222250576679
8,0.01,0.8,9.999178502418184
9,0.01,0.9,9.9991289780798
10,0.01,0.99,1.9016586736813526
11,0.1,0.01,9.999179731793774
12,0.1,0.1,9.999149914251808
13,0.1,0.2,9.999252275889589
14,0.1,0.3,9.999252729776579
15,0.1,0.4,9.999003702037747
16,0.1,0.5,9.998872439259237
17,0.1,0.6,9.998702842334543
18,0.1,0.7,9.997913017684986
19,0.1,0.8,9.985990046563472
20,0.1,0.9,-2.2377936499069953
21,0.1,0.99,
22,0.2,0.01,9.999230432906067
23,0.2,0.1,9.999188871580868
24,0.2,0.2,9.999128879035165
25,0.2,0.3,9.998956803623601
26,0.2,0.4,9.998400345708072
27,0.2,0.5,9.996725114889335
28,0.2,0.6,9.991610832668332
29,0.2,0.7,9.744736845036616
30,0.2,0.8,-2.2474844408238424
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,9.99921952370553
34,0.3,0.1,9.999164248879095
35,0.3,0.2,9.998995672659582
36,0.3,0.3,9.997853040015292
37,0.3,0.4,9.995228320159876
38,0.3,0.5,9.9619211915237
39,0.3,0.6,9.3433862843724
40,0.3,0.7,-1.7331767747256723
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,9.999331841188779
45,0.4,0.1,9.998842712624661
46,0.4,0.2,9.998451318497231
47,0.4,0.3,9.994633513957169
48,0.4,0.4,9.949499717101261
49,0.4,0.5,9.026037154137136
50,0.4,0.6,-0.7158529112426432
51,0.4,0.7,-9.049464281876507
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,9.999089633460063
56,0.5,0.1,9.998774104461111
57,0.5,0.2,9.995696526689656
58,0.5,0.3,9.970559439495343
59,0.5,0.4,9.100290301700824
60,0.5,0.5,-1.6635096046560147
61,0.5,0.6,-8.637031764873196
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,9.999135338861652
67,0.6,0.1,9.997559449597455
68,0.6,0.2,9.977436383385893
69,0.6,0.3,9.294872902871683
70,0.6,0.4,-1.2880847678918061
71,0.6,0.5,-8.753246380143192
72,0.6,0.6,-9.71049658539308
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,9.998960529318625
78,0.7,0.1,9.992519698261663
79,0.7,0.2,9.529932028572269
80,0.7,0.3,-1.662020279326071
81,0.7,0.4,-8.719280880815013
82,0.7,0.5,-9.659306274913588
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,9.998598382810943
89,0.8,0.1,9.836693296511601
90,0.8,0.2,0.21381047686202262
91,0.8,0.3,-8.573158499508047
92,0.8,0.4,-9.640596418318424
93,0.8,0.5,-9.790925073376926
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,9.98823659501432
100,0.9,0.1,1.1409332457855597
101,0.9,0.2,-8.592688438761687
102,0.9,0.3,-9.471887966312153
103,0.9,0.4,-9.681627413386959
104,0.9,0.5,-9.727154046676091
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,7.542383218885297
111,0.99,0.1,-3.3749263051778122
112,0.99,0.2,-5.973209353084947
113,0.99,0.3,-6.414497615035138
114,0.99,0.4,-6.617936354777426
115,0.99,0.5,-6.671476868543223
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
