,P,cost,value
0,0.01,0.01,0.00035362604264233986
1,0.01,0.1,0.0003762506450004882
2,0.01,0.2,0.00033640465148666144
3,0.01,0.3,0.0003689449073073799
4,0.01,0.4,0.00041164890144566846
5,0.01,0.5,0.0004161100187304048
6,0.01,0.6,0.0003815550681515289
7,0.01,0.7,0.00045029020100237707
8,0.01,0.8,0.0003738258811602035
9,0.01,0.9,0.0017104632784756308
10,0.01,0.99,0.9293174866570912
11,0.1,0.01,0.00043036001019096794
12,0.1,0.1,0.0003716758395957599
13,0.1,0.2,0.00040389354108711696
14,0.1,0.3,0.0008156762328029228
15,0.1,0.4,0.0005427647573142944
16,0.1,0.5,0.0009985888725153541
17,0.1,0.6,0.0009923865433784844
18,0.1,0.7,0.0018827129258369509
19,0.1,0.8,0.010050101096333895
20,0.1,0.9,2.143646173147335
21,0.1,0.99,
22,0.2,0.01,0.0010734719930739997
23,0.2,0.1,0.0008907123772666742
24,0.2,0.2,0.0006090595360751405
25,0.2,0.3,0.0008922063924042235
26,0.2,0.4,0.0010408226309503298
27,0.2,0.5,0.001274815095869612
28,0.2,0.6,0.005541351657399635
29,0.2,0.7,0.056127851668568415
30,0.2,0.8,2.576322612430777
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.008312600070327704
34,0.3,0.1,0.005350229610446167
35,0.3,0.2,0.0026694765246474553
36,0.3,0.3,0.0030951664936589808
37,0.3,0.4,0.0030742764036858316
38,0.3,0.5,0.010465179989039156
39,0.3,0.6,0.20035190458372065
40,0.3,0.7,2.2439219358420632
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.053850483973162354
45,0.4,0.1,0.037701304222190576
46,0.4,0.2,0.013569632813291642
47,0.4,0.3,0.02833313274091349
48,0.4,0.4,0.02470485000978614
49,0.4,0.5,0.12333981616607828
50,0.4,0.6,1.564227559258407
51,0.4,0.7,1.5560957854172688
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.2660056153101551
56,0.5,0.1,0.16881719153500552
57,0.5,0.2,0.14010346366311796
58,0.5,0.3,0.20031926976672376
59,0.5,0.4,0.33967316907369904
60,0.5,0.5,0.3448859625567212
61,0.5,0.6,0.2161122419778483
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.0201931138706497
67,0.6,0.1,0.8633094251420926
68,0.6,0.2,1.1841642441263813
69,0.6,0.3,1.6759354446615382
70,0.6,0.4,1.5788969001570088
71,0.6,0.5,0.026249102934545805
72,0.6,0.6,0.007178319406153115
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.3082950871871177
78,0.7,0.1,1.740049791124161
79,0.7,0.2,2.637468156054478
80,0.7,0.3,2.5850483874590475
81,0.7,0.4,0.1175792272418661
82,0.7,0.5,0.0010033569450749343
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,1.3219808721739736
89,0.8,0.1,2.223336321702406
90,0.8,0.2,2.7463217203558505
91,0.8,0.3,0.1239527080738286
92,0.8,0.4,0.0013691786639324663
93,0.8,0.5,0.0001049061694074528
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,1.6930152075866265
100,0.9,0.1,2.49714751047751
101,0.9,0.2,0.088208694363947
102,0.9,0.3,0.0009307089913430898
103,0.9,0.4,0.00012506333589742572
104,0.9,0.5,4.38031188227489e-05
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.045875193615426
111,0.99,0.1,0.0016578056304757248
112,0.99,0.2,9.114403854521137e-05
113,0.99,0.3,1.8514503813648728e-05
114,0.99,0.4,1.1170023285923082e-05
115,0.99,0.5,1.1664770980338401e-05
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
