,P,cost,value
0,0.01,0.01,1.5115845587152572
1,0.01,0.1,1.6959699340197614
2,0.01,0.2,1.5520408354062347
3,0.01,0.3,1.4047309943971928
4,0.01,0.4,1.6147569715425416
5,0.01,0.5,1.5012519379562463
6,0.01,0.6,1.3359534175551646
7,0.01,0.7,1.3025363977163291
8,0.01,0.8,1.5717257710412222
9,0.01,0.9,1.3224467451504274
10,0.01,0.99,2.0741424450621544
11,0.1,0.01,0.08031188858949283
12,0.1,0.1,0.07252854258285185
13,0.1,0.2,0.08647681723930391
14,0.1,0.3,0.07796555302238249
15,0.1,0.4,0.06512662505033678
16,0.1,0.5,0.07043042894494457
17,0.1,0.6,0.10197236558818656
18,0.1,0.7,0.1547522363065064
19,0.1,0.8,0.31689880243151036
20,0.1,0.9,2.8375016442400374
21,0.1,0.99,
22,0.2,0.01,0.052259011454960896
23,0.2,0.1,0.05954489951088832
24,0.2,0.2,0.0491200096893276
25,0.2,0.3,0.07663169943075908
26,0.2,0.4,0.06875338300277799
27,0.2,0.5,0.09589000409134688
28,0.2,0.6,0.2009639298308
29,0.2,0.7,0.6873101157734096
30,0.2,0.8,3.337503813062365
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.052637420831806184
34,0.3,0.1,0.0578914551409657
35,0.3,0.2,0.0743963252597441
36,0.3,0.3,0.06431630168377715
37,0.3,0.4,0.16795826915433576
38,0.3,0.5,0.24934184132774895
39,0.3,0.6,1.0141857044867306
40,0.3,0.7,3.294973856965227
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.04562862761099498
45,0.4,0.1,0.08593662371941019
46,0.4,0.2,0.07042500933439613
47,0.4,0.3,0.11478986306052595
48,0.4,0.4,0.28463081647655375
49,0.4,0.5,1.0327400921725887
50,0.4,0.6,3.360423366361604
51,0.4,0.7,0.1447082491125136
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.0448198810721566
56,0.5,0.1,0.07545875209893914
57,0.5,0.2,0.10167441383062695
58,0.5,0.3,0.3008657986765195
59,0.5,0.4,1.2509623736031947
60,0.5,0.5,3.078294283687817
61,0.5,0.6,0.30137466966033316
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.05390988128959751
67,0.6,0.1,0.10247558786518726
68,0.6,0.2,0.20918142209123253
69,0.6,0.3,0.9016390799873515
70,0.6,0.4,3.21710120679731
71,0.6,0.5,0.16480938146103807
72,0.6,0.6,0.12074616568755964
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.06876287359817876
78,0.7,0.1,0.15121160733623182
79,0.7,0.2,0.9299217434299081
80,0.7,0.3,3.194602040994173
81,0.7,0.4,0.33339791858706475
82,0.7,0.5,0.05839266829477524
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.09280835739550053
89,0.8,0.1,0.5985496323899709
90,0.8,0.2,2.9467091868004402
91,0.8,0.3,0.2500122141761308
92,0.8,0.4,0.027734825936078233
93,0.8,0.5,0.07545569099240335
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.3266170194871079
100,0.9,0.1,3.1911474938921014
101,0.9,0.2,0.07424634454614032
102,0.9,0.3,0.009493124638915027
103,0.9,0.4,0.016069829915768823
104,0.9,0.5,0.022190350256849747
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.527884128534775
111,0.99,0.1,0.00046868146336627805
112,0.99,0.2,0.0008655093020194158
113,0.99,0.3,0.001136245209833318
114,0.99,0.4,0.0012543323430146184
115,0.99,0.5,0.0014079740259744394
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
