,P,cost,value
0,0.01,0.01,0.0003034847875432089
1,0.01,0.1,0.00035323118279070084
2,0.01,0.2,0.000403009375714228
3,0.01,0.3,0.0004655752969017112
4,0.01,0.4,0.00033817823680893646
5,0.01,0.5,0.0004050411510162047
6,0.01,0.6,0.0003461722972344394
7,0.01,0.7,0.00028152788484644384
8,0.01,0.8,0.0006032256696066577
9,0.01,0.9,0.000526312280795287
10,0.01,0.99,3.8765547303103753
11,0.1,0.01,0.0005402848344425949
12,0.1,0.1,0.0013180091696269266
13,0.1,0.2,0.0005755976370128404
14,0.1,0.3,0.00042470206617376753
15,0.1,0.4,0.0006716652351322538
16,0.1,0.5,0.0006531040956274495
17,0.1,0.6,0.0009397374817311576
18,0.1,0.7,0.001251090212928315
19,0.1,0.8,0.013519650915791076
20,0.1,0.9,2.9568774305716943
21,0.1,0.99,
22,0.2,0.01,0.001070863097883773
23,0.2,0.1,0.0009634007010298168
24,0.2,0.2,0.0008123920507846197
25,0.2,0.3,0.000952498569563731
26,0.2,0.4,0.0018646804423456944
27,0.2,0.5,0.0031587226749613083
28,0.2,0.6,0.00455286926365874
29,0.2,0.7,0.17120505581625173
30,0.2,0.8,3.1908888313946786
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.0027259608944813322
34,0.3,0.1,0.003435698059539634
35,0.3,0.2,0.002439620403306021
36,0.3,0.3,0.004027677710875549
37,0.3,0.4,0.008415418721951774
38,0.3,0.5,0.0366392014328098
39,0.3,0.6,0.44246587060836057
40,0.3,0.7,3.01785936957226
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.016070479289907583
45,0.4,0.1,0.01852317074007744
46,0.4,0.2,0.018203888392561925
47,0.4,0.3,0.021407591272385063
48,0.4,0.4,0.07635611614998888
49,0.4,0.5,0.8271840171759357
50,0.4,0.6,3.10672484882107
51,0.4,0.7,0.8947356977012287
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.7857765877039842
56,0.5,0.1,0.8125920685797885
57,0.5,0.2,0.8579609441021021
58,0.5,0.3,1.0350741517619084
59,0.5,0.4,1.7007165532616775
60,0.5,0.5,1.8352405043677866
61,0.5,0.6,1.6827691288729594
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.41854557958094313
67,0.6,0.1,0.47363508513248676
68,0.6,0.2,0.5824141799862697
69,0.6,0.3,1.0923561473692152
70,0.6,0.4,3.077963978230345
71,0.6,0.5,0.5897588389942805
72,0.6,0.6,0.032469566322778816
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.2453394318900383
78,0.7,0.1,0.30265479781030774
79,0.7,0.2,0.5092251871370759
80,0.7,0.3,3.1645846084479627
81,0.7,0.4,0.4415866983842336
82,0.7,0.5,0.014641303030858858
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.12168513561113661
89,0.8,0.1,0.35532544053781057
90,0.8,0.2,2.921982666417068
91,0.8,0.3,0.39626164900936434
92,0.8,0.4,0.006067747500273635
93,0.8,0.5,0.0007633580094373986
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.29103616099483015
100,0.9,0.1,3.3533439489027526
101,0.9,0.2,0.16585865977126357
102,0.9,0.3,0.0035252627643911965
103,0.9,0.4,0.0001605753195185198
104,0.9,0.5,5.536214460849797e-05
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.293723629953658
111,0.99,0.1,0.007798307320607684
112,0.99,0.2,0.00011433076172632176
113,0.99,0.3,2.9441765182164014e-05
114,0.99,0.4,1.1876932259901844e-05
115,0.99,0.5,1.3281724558263062e-05
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
