,P,cost,value
0,0.01,0.01,0.13074788026788892
1,0.01,0.1,0.12415382431991971
2,0.01,0.2,0.11891262101479605
3,0.01,0.3,0.10701047406613491
4,0.01,0.4,0.0882222424088967
5,0.01,0.5,0.09979115861410798
6,0.01,0.6,0.10706823199584693
7,0.01,0.7,0.06737993857353053
8,0.01,0.8,0.07091574218984938
9,0.01,0.9,0.07640985056921917
10,0.01,0.99,1.4882155464847824
11,0.1,0.01,0.25838461827906606
12,0.1,0.1,0.26537358707866865
13,0.1,0.2,0.12216144796852427
14,0.1,0.3,0.19315933409435712
15,0.1,0.4,0.1366955922560763
16,0.1,0.5,0.2635630637498409
17,0.1,0.6,0.2569056964458782
18,0.1,0.7,0.4494694427801144
19,0.1,0.8,1.3110876522830206
20,0.1,0.9,1.152611102099357
21,0.1,0.99,
22,0.2,0.01,0.4602958196841722
23,0.2,0.1,0.18856448079377394
24,0.2,0.2,0.14504577747033673
25,0.2,0.3,0.13544314058644613
26,0.2,0.4,0.23927126028674542
27,0.2,0.5,0.49970449382082366
28,0.2,0.6,1.083618019261507
29,0.2,0.7,2.143604935471061
30,0.2,0.8,3.673153535510347
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.6834716838040886
34,0.3,0.1,0.10279100396980587
35,0.3,0.2,0.099599360197725
36,0.3,0.3,0.16593912033569092
37,0.3,0.4,0.3891046361837324
38,0.3,0.5,1.002465132605113
39,0.3,0.6,1.803062131002623
40,0.3,0.7,3.502677626125228
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,1.0858014840362251
45,0.4,0.1,0.11436615241969295
46,0.4,0.2,0.03190077893498637
47,0.4,0.3,0.11396489454387718
48,0.4,0.4,0.41052918254618814
49,0.4,0.5,0.7519047720495335
50,0.4,0.6,2.4301130003404112
51,0.4,0.7,0.13101511721724654
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,1.2134289579778788
56,0.5,0.1,0.015907542720709433
57,0.5,0.2,0.030909359722589395
58,0.5,0.3,0.11025661759662855
59,0.5,0.4,0.2840930264170754
60,0.5,0.5,0.20619000304031657
61,0.5,0.6,0.22577090979689116
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.695529223902791
67,0.6,0.1,0.005505677297047022
68,0.6,0.2,0.01412688040624696
69,0.6,0.3,0.1215741712838696
70,0.6,0.4,0.5553148968602459
71,0.6,0.5,0.10980217780169568
72,0.6,0.6,0.005992665461001926
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.1842946123953173
78,0.7,0.1,0.005078304575565324
79,0.7,0.2,0.059375777889302254
80,0.7,0.3,3.1975655115022144
81,0.7,0.4,0.05633724540447868
82,0.7,0.5,0.02221627180244439
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.24753349641858763
89,0.8,0.1,0.032804339091855844
90,0.8,0.2,0.47279409902721203
91,0.8,0.3,0.03823749615463987
92,0.8,0.4,0.0018463398931472719
93,0.8,0.5,0.0005266736957080106
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.007109201849229191
100,0.9,0.1,0.6464235411247056
101,0.9,0.2,0.011084456252920469
102,0.9,0.3,0.0006983527349595351
103,0.9,0.4,6.78443961104169e-05
104,0.9,0.5,5.835764685291001e-05
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.909372390738234
111,0.99,0.1,0.0005956372666662569
112,0.99,0.2,3.97156162829231e-05
113,0.99,0.3,1.6059379106723546e-05
114,0.99,0.4,1.178218886476179e-05
115,0.99,0.5,9.246357398823999e-06
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
