,P,cost,value
0,0.01,0.01,1.0025462648251846
1,0.01,0.1,1.1651794980095238
2,0.01,0.2,1.0650611274655122
3,0.01,0.3,0.9515272942844656
4,0.01,0.4,1.0784308119117414
5,0.01,0.5,1.084836228964449
6,0.01,0.6,0.8713068210784416
7,0.01,0.7,0.9040571604236565
8,0.01,0.8,1.0076680482984492
9,0.01,0.9,0.9174249864019544
10,0.01,0.99,1.923189154451844
11,0.1,0.01,0.32468024100962994
12,0.1,0.1,0.3283186789460856
13,0.1,0.2,0.49737953670019147
14,0.1,0.3,0.4021909014209042
15,0.1,0.4,0.39197916010829126
16,0.1,0.5,0.3522758549408472
17,0.1,0.6,0.5195485538324898
18,0.1,0.7,0.6704230227773144
19,0.1,0.8,0.9925761409320989
20,0.1,0.9,2.585006031453444
21,0.1,0.99,
22,0.2,0.01,0.11647138807923349
23,0.2,0.1,0.20650419988163002
24,0.2,0.2,0.1491703215782403
25,0.2,0.3,0.2232310123237088
26,0.2,0.4,0.2453873030691235
27,0.2,0.5,0.3573733969974442
28,0.2,0.6,0.5359381450971515
29,0.2,0.7,1.0627243291367474
30,0.2,0.8,3.189572455712054
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.08502956383552654
34,0.3,0.1,0.09529627278646144
35,0.3,0.2,0.1414159495916236
36,0.3,0.3,0.12239617875381545
37,0.3,0.4,0.3080133026950696
38,0.3,0.5,0.45252729609724957
39,0.3,0.6,1.084953771549485
40,0.3,0.7,3.159999143148486
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.06092584416980289
45,0.4,0.1,0.0591872154471276
46,0.4,0.2,0.11308983977133812
47,0.4,0.3,0.1733059065359146
48,0.4,0.4,0.3749049137397594
49,0.4,0.5,0.9008578888843183
50,0.4,0.6,3.2512213375827876
51,0.4,0.7,0.3260899283093927
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.02772283943500086
56,0.5,0.1,0.07516794107509353
57,0.5,0.2,0.08636532707666303
58,0.5,0.3,0.3113886145115042
59,0.5,0.4,0.9830928948969557
60,0.5,0.5,3.0844246021837716
61,0.5,0.6,0.5817583271493231
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.028935372862238254
67,0.6,0.1,0.07652899742904576
68,0.6,0.2,0.21842167880469582
69,0.6,0.3,0.7372604893738199
70,0.6,0.4,3.074753720737016
71,0.6,0.5,0.5046861203672549
72,0.6,0.6,0.018530490346645598
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.03611782225535316
78,0.7,0.1,0.10577429411745191
79,0.7,0.2,0.7190343814630746
80,0.7,0.3,3.1087419356995127
81,0.7,0.4,0.6213787855141932
82,0.7,0.5,0.029057054456282375
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.05394245400648036
89,0.8,0.1,0.4516007050356564
90,0.8,0.2,2.976596083456095
91,0.8,0.3,0.5009986660547854
92,0.8,0.4,0.011602830133405743
93,0.8,0.5,0.0006579375071207609
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.25915023490858397
100,0.9,0.1,3.211759668986935
101,0.9,0.2,0.2531634619458403
102,0.9,0.3,0.004784071370835094
103,0.9,0.4,0.0011384192076988348
104,0.9,0.5,6.121943995407202e-05
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.9527080027677486
111,0.99,0.1,0.006159878312179391
112,0.99,0.2,0.00014818300021720522
113,0.99,0.3,2.700769693166302e-05
114,0.99,0.4,1.089208479692302e-05
115,0.99,0.5,1.0819608138814811e-05
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
