,P,cost,value
0,0.01,0.01,0.45279590824073446
1,0.01,0.1,0.4755389216184477
2,0.01,0.2,0.42866578037577735
3,0.01,0.3,0.39372842554099197
4,0.01,0.4,0.3626823889978902
5,0.01,0.5,0.40619483164398235
6,0.01,0.6,0.416460814248589
7,0.01,0.7,0.3578499766721509
8,0.01,0.8,0.4163791390664407
9,0.01,0.9,0.39859892567661415
10,0.01,0.99,1.7724778758635842
11,0.1,0.01,0.1941991012633671
12,0.1,0.1,0.20334703410090763
13,0.1,0.2,0.19125263685384813
14,0.1,0.3,0.18338400846486677
15,0.1,0.4,0.19792442450021053
16,0.1,0.5,0.23218166034866813
17,0.1,0.6,0.2762913570310447
18,0.1,0.7,0.2766510755247204
19,0.1,0.8,0.5038497467849445
20,0.1,0.9,1.6913292430258484
21,0.1,0.99,
22,0.2,0.01,0.2871168391626848
23,0.2,0.1,0.29119024757249623
24,0.2,0.2,0.33068642775945617
25,0.2,0.3,0.34404023574535625
26,0.2,0.4,0.3293766106199154
27,0.2,0.5,0.33334900694470226
28,0.2,0.6,0.4832374918789407
29,0.2,0.7,1.1027359239184455
30,0.2,0.8,1.7200909834600153
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.3507844639960949
34,0.3,0.1,0.3710505913415528
35,0.3,0.2,0.36084823752898487
36,0.3,0.3,0.3922649444470567
37,0.3,0.4,0.4505940753989904
38,0.3,0.5,0.7143208400155541
39,0.3,0.6,1.1188350402915106
40,0.3,0.7,1.4813794174489217
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.3729580420848921
45,0.4,0.1,0.3747393083433603
46,0.4,0.2,0.4601595921044026
47,0.4,0.3,0.44629971600037127
48,0.4,0.4,0.6728864189458562
49,0.4,0.5,1.2324899028097611
50,0.4,0.6,1.4396909947823149
51,0.4,0.7,1.2097597421039643
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.3918412309409374
56,0.5,0.1,0.44574938806015807
57,0.5,0.2,0.4508196621099161
58,0.5,0.3,0.7581265933021166
59,0.5,0.4,1.2932837912248265
60,0.5,0.5,1.294891237252618
61,0.5,0.6,1.2330646332372046
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.4181588454996912
67,0.6,0.1,0.42266740680537807
68,0.6,0.2,0.684467881975826
69,0.6,0.3,1.209124305983337
70,0.6,0.4,1.5781346018872402
71,0.6,0.5,1.2475028174598672
72,0.6,0.6,0.5773496390007583
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.3705755113910294
78,0.7,0.1,0.6148569963207977
79,0.7,0.2,1.1328255810011076
80,0.7,0.3,1.5171359743067727
81,0.7,0.4,1.0927698203074063
82,0.7,0.5,0.6407779252589284
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.3761225941899804
89,0.8,0.1,0.8776493962309204
90,0.8,0.2,1.6907909964011196
91,0.8,0.3,1.2170369456377967
92,0.8,0.4,0.5110444075953255
93,0.8,0.5,0.30556494087565256
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.3816685883041804
100,0.9,0.1,1.720550231265342
101,0.9,0.2,0.9552580566689604
102,0.9,0.3,0.324378174010675
103,0.9,0.4,0.2004504979495425
104,0.9,0.5,0.1832350700264904
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,2.1615763360976104
111,0.99,0.1,0.6327515187952482
112,0.99,0.2,0.31504660122646844
113,0.99,0.3,0.166154429822018
114,0.99,0.4,0.18799433099929985
115,0.99,0.5,0.19385841805801185
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
