,P,cost,value
0,0.01,0.01,0.00043530555512974776
1,0.01,0.1,0.0003555931534144745
2,0.01,0.2,0.0004138912626342515
3,0.01,0.3,0.0008050984053510521
4,0.01,0.4,0.00040872580377601084
5,0.01,0.5,0.00035402425731554407
6,0.01,0.6,0.0003317746654349682
7,0.01,0.7,0.00036685240261607083
8,0.01,0.8,0.00031413495368308214
9,0.01,0.9,0.000523711062827029
10,0.01,0.99,3.503958677958593
11,0.1,0.01,0.00039659755205721304
12,0.1,0.1,0.0004432737686455425
13,0.1,0.2,0.0008449042582323772
14,0.1,0.3,0.0007774703251443468
15,0.1,0.4,0.0005780454337960937
16,0.1,0.5,0.000755752805655837
17,0.1,0.6,0.001420203015723467
18,0.1,0.7,0.0021373140903981173
19,0.1,0.8,0.052150584690545225
20,0.1,0.9,2.0385503043095845
21,0.1,0.99,
22,0.2,0.01,0.0012018446192987226
23,0.2,0.1,0.0008188816992331846
24,0.2,0.2,0.002074741948624001
25,0.2,0.3,0.002423745609154531
26,0.2,0.4,0.0024468518048976883
27,0.2,0.5,0.014720879518082656
28,0.2,0.6,0.05949254792981115
29,0.2,0.7,0.661635771680847
30,0.2,0.8,3.665457220458049
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.013063025217500659
34,0.3,0.1,0.002875612726936112
35,0.3,0.2,0.004793770948686655
36,0.3,0.3,0.005440316388652405
37,0.3,0.4,0.03761683087467612
38,0.3,0.5,0.18539247954640864
39,0.3,0.6,0.9616003130674438
40,0.3,0.7,3.489866646653503
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.19707254612507605
45,0.4,0.1,0.012452911816105755
46,0.4,0.2,0.0057013201032573065
47,0.4,0.3,0.026723923427165466
48,0.4,0.4,0.17381306851207717
49,0.4,0.5,0.5102171571455469
50,0.4,0.6,2.5104418362932854
51,0.4,0.7,0.2799605222124144
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,1.2134289579778788
56,0.5,0.1,0.015907542720709433
57,0.5,0.2,0.030909359722589395
58,0.5,0.3,0.11025661759662855
59,0.5,0.4,0.2840930264170754
60,0.5,0.5,0.20327055500855706
61,0.5,0.6,0.22577090979689116
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.3544809296428262
67,0.6,0.1,0.006762681475044163
68,0.6,0.2,0.01908988180886042
69,0.6,0.3,0.12870485251785818
70,0.6,0.4,0.4882113124466927
71,0.6,0.5,0.09263241517311335
72,0.6,0.6,0.0038498229717671925
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.4483353405705799
78,0.7,0.1,0.009093363251519014
79,0.7,0.2,0.06574026453133727
80,0.7,0.3,3.221374378862742
81,0.7,0.4,0.0370545342594232
82,0.7,0.5,0.0021263880199609993
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,1.3076968623906398
89,0.8,0.1,0.03115262464735476
90,0.8,0.2,0.4007376024183922
91,0.8,0.3,0.028174769041159255
92,0.8,0.4,0.0013308669040001484
93,0.8,0.5,0.00022518653631316274
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.007108455716697305
100,0.9,0.1,0.5369238756528029
101,0.9,0.2,0.011217592963171442
102,0.9,0.3,0.0004903308426895259
103,0.9,0.4,5.169607108972303e-05
104,0.9,0.5,4.556705051216413e-05
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.924427563601976
111,0.99,0.1,0.0003380584561097901
112,0.99,0.2,3.1122022262625646e-05
113,0.99,0.3,1.6059379106723546e-05
114,0.99,0.4,1.0264345180317887e-05
115,0.99,0.5,9.187672766186468e-06
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
