,P,cost,value
0,0.01,0.01,0.0004334889988742832
1,0.01,0.1,0.00035175085373321077
2,0.01,0.2,0.00041191461571938096
3,0.01,0.3,0.0007662052817085711
4,0.01,0.4,0.00039359689403616765
5,0.01,0.5,0.00035063929467502725
6,0.01,0.6,0.00032632331375431615
7,0.01,0.7,0.0003650923464167762
8,0.01,0.8,0.0003173231524844492
9,0.01,0.9,0.0005087344030906856
10,0.01,0.99,3.520772559277569
11,0.1,0.01,0.0004802585298657885
12,0.1,0.1,0.00047307101818975324
13,0.1,0.2,0.0006556540121902915
14,0.1,0.3,0.0006208743282172724
15,0.1,0.4,0.0005018770702328797
16,0.1,0.5,0.0006274849772023598
17,0.1,0.6,0.00103211282369689
18,0.1,0.7,0.0010155015156402456
19,0.1,0.8,0.014787365204835028
20,0.1,0.9,3.0854180255748798
21,0.1,0.99,
22,0.2,0.01,0.0015119799474318807
23,0.2,0.1,0.0010815554843920925
24,0.2,0.2,0.0032214735745399346
25,0.2,0.3,0.002163026420369365
26,0.2,0.4,0.001165774336663775
27,0.2,0.5,0.000975381258906756
28,0.2,0.6,0.005226184674438261
29,0.2,0.7,0.14105266114576787
30,0.2,0.8,3.668044201048874
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.021942221196231817
34,0.3,0.1,0.016541801125938182
35,0.3,0.2,0.014493295660429461
36,0.3,0.3,0.00848695688880547
37,0.3,0.4,0.0061614398411473925
38,0.3,0.5,0.011083465820671339
39,0.3,0.6,0.39565870573582124
40,0.3,0.7,3.4944175370030743
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.3048688566972729
45,0.4,0.1,0.3463896073435436
46,0.4,0.2,0.3072002437525321
47,0.4,0.3,0.2057692620382015
48,0.4,0.4,0.10999436878759643
49,0.4,0.5,0.11790500131323593
50,0.4,0.6,2.507966512736091
51,0.4,0.7,2.2038222979009556
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,1.4029901883169473
56,0.5,0.1,1.592778796054951
57,0.5,0.2,1.673097002721423
58,0.5,0.3,1.8767478047008646
59,0.5,0.4,1.605309603359339
60,0.5,0.5,0.20183170109584986
61,0.5,0.6,1.5364399586822561
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.39854836468676225
67,0.6,0.1,0.6607781580931881
68,0.6,0.2,0.8790917969907185
69,0.6,0.3,2.057376436698281
70,0.6,0.4,2.981340400062218
71,0.6,0.5,0.01851007003979627
72,0.6,0.6,0.06000889022514887
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.1385103666679886
78,0.7,0.1,0.3223376726610255
79,0.7,0.2,1.2304792101481568
80,0.7,0.3,3.232570161467487
81,0.7,0.4,0.28074448340010094
82,0.7,0.5,0.0017941414815727758
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.10742280002613451
89,0.8,0.1,0.5756490957966099
90,0.8,0.2,3.0574127378214335
91,0.8,0.3,0.34332086813155926
92,0.8,0.4,0.00295795660626516
93,0.8,0.5,0.00013134987815673012
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.2847811541724259
100,0.9,0.1,3.2464393343007822
101,0.9,0.2,0.18517730283848305
102,0.9,0.3,0.002544294100566045
103,0.9,0.4,0.00019937673013091045
104,0.9,0.5,3.972005788836791e-05
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.9236593901181442
111,0.99,0.1,0.00526959598696475
112,0.99,0.2,0.00012102772716080144
113,0.99,0.3,2.2134099950562362e-05
114,0.99,0.4,1.0472912029818945e-05
115,0.99,0.5,9.514198316198067e-06
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
