,P,cost,value
0,0.01,0.01,0.0003034731721071985
1,0.01,0.1,0.00035321640519262636
2,0.01,0.2,0.00040302007447480287
3,0.01,0.3,0.0004656188023703969
4,0.01,0.4,0.0003382414663388052
5,0.01,0.5,0.00040508006101086286
6,0.01,0.6,0.00034617212960949843
7,0.01,0.7,0.00028154610005636026
8,0.01,0.8,0.0006032464947665265
9,0.01,0.9,0.0005263064065368406
10,0.01,0.99,3.876590867663863
11,0.1,0.01,0.0005402008412736952
12,0.1,0.1,0.0013178556679511446
13,0.1,0.2,0.0005753861667445051
14,0.1,0.3,0.00042473052369346165
15,0.1,0.4,0.0006716658882908867
16,0.1,0.5,0.0006529453515197164
17,0.1,0.6,0.0009396904283752669
18,0.1,0.7,0.0012510742591421257
19,0.1,0.8,0.01351957612737092
20,0.1,0.9,2.956901764087218
21,0.1,0.99,
22,0.2,0.01,0.0010708788008627328
23,0.2,0.1,0.0009634327105399485
24,0.2,0.2,0.0008126685183493265
25,0.2,0.3,0.0009527705951951468
26,0.2,0.4,0.0018644523550214855
27,0.2,0.5,0.003158529378646225
28,0.2,0.6,0.0045527484011270904
29,0.2,0.7,0.17120760918512892
30,0.2,0.8,3.1908876914628315
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.0027269028887769594
34,0.3,0.1,0.003435270684939715
35,0.3,0.2,0.0024382166578869914
36,0.3,0.3,0.004028434968490632
37,0.3,0.4,0.008415868964181054
38,0.3,0.5,0.03663504725596127
39,0.3,0.6,0.44247475222739097
40,0.3,0.7,3.0178142125857095
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.016037024945941503
45,0.4,0.1,0.018520888387565836
46,0.4,0.2,0.018193425487692663
47,0.4,0.3,0.02137312575559758
48,0.4,0.4,0.0763513831005429
49,0.4,0.5,0.8271787742812743
50,0.4,0.6,3.106763465443147
51,0.4,0.7,0.8949097567604681
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.785757810699286
56,0.5,0.1,0.8125950348726783
57,0.5,0.2,0.8579505330906172
58,0.5,0.3,1.0350594875464227
59,0.5,0.4,1.700670048827789
60,0.5,0.5,1.8352503137132725
61,0.5,0.6,1.682758429118745
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.4189149907717183
67,0.6,0.1,0.47355890626007974
68,0.6,0.2,0.581915310262257
69,0.6,0.3,1.0926036104878687
70,0.6,0.4,3.077875518693717
71,0.6,0.5,0.5900583663248467
72,0.6,0.6,0.0324593564926803
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.24561888972140494
78,0.7,0.1,0.30269054008837665
79,0.7,0.2,0.5094334327564672
80,0.7,0.3,3.164556627769659
81,0.7,0.4,0.44158781602208796
82,0.7,0.5,0.014640872892685215
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.12166950568568467
89,0.8,0.1,0.3558413406612398
90,0.8,0.2,2.921921565978409
91,0.8,0.3,0.3962621146922643
92,0.8,0.4,0.006068005950874149
93,0.8,0.5,0.0007636418150607704
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.29101204200090297
100,0.9,0.1,3.353354991616844
101,0.9,0.2,0.16585599187540956
102,0.9,0.3,0.0035254434870732234
103,0.9,0.4,0.00016050360130008355
104,0.9,0.5,5.5327437587507144e-05
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.2937497313504305
111,0.99,0.1,0.007798260007878087
112,0.99,0.2,0.0001143129417653687
113,0.99,0.3,2.9442817008857473e-05
114,0.99,0.4,1.1881343169557141e-05
115,0.99,0.5,1.3283013363268847e-05
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
