,P,cost,value
0,0.01,0.01,1.5116038383561374
1,0.01,0.1,1.5519123301870705
2,0.01,0.2,1.6568638337710686
3,0.01,0.3,1.7026163125595044
4,0.01,0.4,1.6555752343513077
5,0.01,0.5,1.6283714445011854
6,0.01,0.6,1.6187517417531496
7,0.01,0.7,1.5438835884765036
8,0.01,0.8,1.5856126894560962
9,0.01,0.9,1.6974512351377522
10,0.01,0.99,0.6844402671499004
11,0.1,0.01,1.8947546126477253
12,0.1,0.1,1.8121340094764213
13,0.1,0.2,2.117160189936011
14,0.1,0.3,1.9256143402321202
15,0.1,0.4,2.209647731095276
16,0.1,0.5,2.0186474735667135
17,0.1,0.6,2.176072892671547
18,0.1,0.7,2.181267771670991
19,0.1,0.8,2.0701675468198992
20,0.1,0.9,0.6718975765774549
21,0.1,0.99,
22,0.2,0.01,1.888864456973687
23,0.2,0.1,2.135332651351693
24,0.2,0.2,2.126754300826248
25,0.2,0.3,2.033491600225149
26,0.2,0.4,2.225631993856904
27,0.2,0.5,1.9943735378747982
28,0.2,0.6,1.8831357080341193
29,0.2,0.7,1.6481369842463802
30,0.2,0.8,0.6223672431206476
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,1.9206239274172707
34,0.3,0.1,2.1274417848367766
35,0.3,0.2,1.8292552097709884
36,0.3,0.3,2.0642464015214785
37,0.3,0.4,1.898468456579934
38,0.3,0.5,1.745675663189651
39,0.3,0.6,1.2223551564216302
40,0.3,0.7,0.44701755276591193
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,1.9619350869873595
45,0.4,0.1,1.859502731109092
46,0.4,0.2,1.6428053586176832
47,0.4,0.3,1.6485779165349252
48,0.4,0.4,1.6629640063684055
49,0.4,0.5,1.4410769378861565
50,0.4,0.6,0.425795054322711
51,0.4,0.7,1.231658083664686
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,1.7451356226297396
56,0.5,0.1,1.4896135907169228
57,0.5,0.2,1.8286367747373402
58,0.5,0.3,1.801881439935225
59,0.5,0.4,1.2948796421874316
60,0.5,0.5,0.46881834441893067
61,0.5,0.6,1.2764879630115675
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.7704767636631604
67,0.6,0.1,1.449025092340013
68,0.6,0.2,1.5588482148213487
69,0.6,0.3,1.3769596523305871
70,0.6,0.4,0.4668133252540565
71,0.6,0.5,1.1676877603960645
72,0.6,0.6,1.5416356414905437
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.5469517532762551
78,0.7,0.1,1.4133875106399276
79,0.7,0.2,1.4762318532842447
80,0.7,0.3,0.743705715030134
81,0.7,0.4,1.172454451457465
82,0.7,0.5,1.8006581470642087
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,1.5172914484670126
89,0.8,0.1,1.491120106174209
90,0.8,0.2,0.7149417333267554
91,0.8,0.3,1.2882075312471766
92,0.8,0.4,1.910876032173764
93,0.8,0.5,1.9607516704095214
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,1.596013693044724
100,0.9,0.1,0.7472380774866773
101,0.9,0.2,1.5506085123938766
102,0.9,0.3,2.017263799560033
103,0.9,0.4,2.114279543767219
104,0.9,0.5,2.31981005307825
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.5014891811249199
111,0.99,0.1,1.8632158476436427
112,0.99,0.2,1.5365473587876746
113,0.99,0.3,1.7498289974134549
114,0.99,0.4,1.5180390444470893
115,0.99,0.5,1.54006471537314
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
