,P,cost,value
0,0.01,0.01,0.5848904598149289
1,0.01,0.1,0.6764969985390366
2,0.01,0.2,0.6085941618765938
3,0.01,0.3,0.6551630517611008
4,0.01,0.4,0.6452989422374754
5,0.01,0.5,0.6426599874279336
6,0.01,0.6,0.6429836268489443
7,0.01,0.7,0.6304451262759857
8,0.01,0.8,0.6562594848339098
9,0.01,0.9,0.6828710777248799
10,0.01,0.99,1.0305971622120123
11,0.1,0.01,0.7569423678125229
12,0.1,0.1,0.837926828494991
13,0.1,0.2,0.8293162105276807
14,0.1,0.3,0.909462060185836
15,0.1,0.4,0.8270371597854541
16,0.1,0.5,0.8285829878647237
17,0.1,0.6,0.8600909579523901
18,0.1,0.7,0.874993213676031
19,0.1,0.8,0.8336856358949462
20,0.1,0.9,1.9376194210230726
21,0.1,0.99,
22,0.2,0.01,0.7316837578178887
23,0.2,0.1,0.8370365257939251
24,0.2,0.2,0.8646124165413569
25,0.2,0.3,0.8647073992516731
26,0.2,0.4,0.8916344474602788
27,0.2,0.5,0.8665168006724805
28,0.2,0.6,0.7181133885258266
29,0.2,0.7,0.5559333901536198
30,0.2,0.8,2.2020559695807163
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.7107055922113104
34,0.3,0.1,0.8420226478732484
35,0.3,0.2,0.83319465735676
36,0.3,0.3,0.9211343230308083
37,0.3,0.4,0.7948104264383492
38,0.3,0.5,0.6971547862294085
39,0.3,0.6,0.43038190997823234
40,0.3,0.7,2.1674192869065556
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.852504217692567
45,0.4,0.1,0.7898246815456689
46,0.4,0.2,0.7672254996129342
47,0.4,0.3,0.7757969319791755
48,0.4,0.4,0.5921580651180287
49,0.4,0.5,0.44083006000607666
50,0.4,0.6,2.2121308928656425
51,0.4,0.7,1.7679580706645197
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.8380031218641493
56,0.5,0.1,0.7937743361315063
57,0.5,0.2,0.8162176218203443
58,0.5,0.3,0.6215175562548177
59,0.5,0.4,0.36412887086763834
60,0.5,0.5,2.1841746012471677
61,0.5,0.6,1.6986518150204666
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.8226392989437503
67,0.6,0.1,0.6357381619443764
68,0.6,0.2,0.6440791237945992
69,0.6,0.3,0.28343246946999345
70,0.6,0.4,2.4549161659719543
71,0.6,0.5,1.6635959671241698
72,0.6,0.6,1.1909561106767461
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.7053536528461881
78,0.7,0.1,0.5242924383639701
79,0.7,0.2,0.38032802001278576
80,0.7,0.3,2.5621735029200847
81,0.7,0.4,1.6268020110802885
82,0.7,0.5,1.2499826066734177
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.548381507605744
89,0.8,0.1,0.3849013383808405
90,0.8,0.2,2.127181694250912
91,0.8,0.3,1.7355556519571278
92,0.8,0.4,1.2763280687974201
93,0.8,0.5,1.0938908218380656
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.3463650899462979
100,0.9,0.1,2.477459481139414
101,0.9,0.2,1.7479617876191524
102,0.9,0.3,1.390295907075384
103,0.9,0.4,0.9140586174457389
104,0.9,0.5,0.7981302408854971
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.5697923795024207
111,0.99,0.1,1.7107416351484654
112,0.99,0.2,1.006081337583402
113,0.99,0.3,1.0152318678756531
114,0.99,0.4,0.8614795138048632
115,0.99,0.5,0.8525171425471072
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
