,P,cost,value
0,0.01,0.01,0.4504930370102541
1,0.01,0.1,0.4065714785589992
2,0.01,0.2,0.40939359258581326
3,0.01,0.3,0.41290278864193164
4,0.01,0.4,0.44875810009212397
5,0.01,0.5,0.4076228040638514
6,0.01,0.6,0.4161706346802817
7,0.01,0.7,0.4055262141132971
8,0.01,0.8,0.39521059572554484
9,0.01,0.9,0.46027615251318477
10,0.01,0.99,1.8596153723639783
11,0.1,0.01,0.21813056906752204
12,0.1,0.1,0.21577831006353673
13,0.1,0.2,0.2566016529052013
14,0.1,0.3,0.1872798256368902
15,0.1,0.4,0.23059199922049373
16,0.1,0.5,0.23171923603453282
17,0.1,0.6,0.2045650359987443
18,0.1,0.7,0.3107350839566851
19,0.1,0.8,0.5189493490346522
20,0.1,0.9,1.9648722774987761
21,0.1,0.99,
22,0.2,0.01,0.32729193860190264
23,0.2,0.1,0.2846193652453794
24,0.2,0.2,0.2601023886590327
25,0.2,0.3,0.24369877822775032
26,0.2,0.4,0.3531883116947255
27,0.2,0.5,0.3704899380270318
28,0.2,0.6,0.4933164364702417
29,0.2,0.7,1.0251832864918546
30,0.2,0.8,1.9001314925964152
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.3295352711306567
34,0.3,0.1,0.3430189311202564
35,0.3,0.2,0.3110217458554969
36,0.3,0.3,0.37033513707949484
37,0.3,0.4,0.42479461568491445
38,0.3,0.5,0.766876234938684
39,0.3,0.6,1.208945551574035
40,0.3,0.7,1.6732449400933338
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.357754729045343
45,0.4,0.1,0.38561192189790977
46,0.4,0.2,0.3680151386005718
47,0.4,0.3,0.4589735796081145
48,0.4,0.4,0.716004865493013
49,0.4,0.5,1.248968693201363
50,0.4,0.6,1.3701881275210506
51,0.4,0.7,0.9560117859551011
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.4296052967415515
56,0.5,0.1,0.43770616189785
57,0.5,0.2,0.4748382613222566
58,0.5,0.3,0.6551359726249594
59,0.5,0.4,1.329332672013595
60,0.5,0.5,1.5338812178962093
61,0.5,0.6,1.271650650417684
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.41592341191866244
67,0.6,0.1,0.4984251520024029
68,0.6,0.2,0.5568294734453415
69,0.6,0.3,1.2037557834854886
70,0.6,0.4,1.3391148183805024
71,0.6,0.5,1.177154889698724
72,0.6,0.6,0.5778515476210798
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.46477505158909854
78,0.7,0.1,0.5100257372193119
79,0.7,0.2,1.0521267002591133
80,0.7,0.3,1.4197279326344967
81,0.7,0.4,1.1485558223728716
82,0.7,0.5,0.6658397577550845
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.378557182390747
89,0.8,0.1,0.8595058524699073
90,0.8,0.2,1.4654114950050743
91,0.8,0.3,1.1681258563255845
92,0.8,0.4,0.49131297100737875
93,0.8,0.5,0.32859784276129067
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.3943373037749114
100,0.9,0.1,2.07486065947554
101,0.9,0.2,0.9832701362810885
102,0.9,0.3,0.4328276315421067
103,0.9,0.4,0.20392666356008948
104,0.9,0.5,0.2157692781069563
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.572080257833418
111,0.99,0.1,0.5609769162384444
112,0.99,0.2,0.25905651802044205
113,0.99,0.3,0.20493158604998823
114,0.99,0.4,0.2047274197665836
115,0.99,0.5,0.1806634165496565
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
