,P,cost,value
0,0.01,0.01,1.4675441232796436
1,0.01,0.1,1.4638614817185915
2,0.01,0.2,1.5350176432231408
3,0.01,0.3,1.5221135522530425
4,0.01,0.4,1.4740758277241042
5,0.01,0.5,1.4080481596160053
6,0.01,0.6,1.4756714289125132
7,0.01,0.7,1.3464483067620496
8,0.01,0.8,1.5274639132465497
9,0.01,0.9,1.5473976204139528
10,0.01,0.99,0.7741583879862357
11,0.1,0.01,1.3268901822242922
12,0.1,0.1,1.3288555948240586
13,0.1,0.2,1.4941472459657286
14,0.1,0.3,1.3448253395119933
15,0.1,0.4,1.5906092210185643
16,0.1,0.5,1.4150715955557027
17,0.1,0.6,1.685477722045694
18,0.1,0.7,1.5744261231733467
19,0.1,0.8,1.694353206820777
20,0.1,0.9,0.18748073108239804
21,0.1,0.99,
22,0.2,0.01,1.3113026071427967
23,0.2,0.1,1.3897561309826647
24,0.2,0.2,1.4250653603404573
25,0.2,0.3,1.2656377891401451
26,0.2,0.4,1.6685114341147624
27,0.2,0.5,1.4352008737727968
28,0.2,0.6,1.69186521171284
29,0.2,0.7,1.7935115152085177
30,0.2,0.8,0.3201394152771715
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,1.3737223282732482
34,0.3,0.1,1.5023252954878121
35,0.3,0.2,1.282947844388177
36,0.3,0.3,1.5645029573863758
37,0.3,0.4,1.5895647419646703
38,0.3,0.5,1.9218090542845663
39,0.3,0.6,1.7224746324641538
40,0.3,0.7,0.190972524004359
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,1.517381977821677
45,0.4,0.1,1.558323667480754
46,0.4,0.2,1.3188915069462332
47,0.4,0.3,1.327755116193639
48,0.4,0.4,1.862697755128885
49,0.4,0.5,1.8001768767743174
50,0.4,0.6,0.23839634585776012
51,0.4,0.7,1.495380195696661
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,1.3342402526141584
56,0.5,0.1,1.465777490771838
57,0.5,0.2,1.650492861701792
58,0.5,0.3,1.8920330738367257
59,0.5,0.4,1.508274145979935
60,0.5,0.5,0.23706554785541262
61,0.5,0.6,1.4925889839191062
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.4750247953499005
67,0.6,0.1,1.4653729232177328
68,0.6,0.2,1.7246314626967962
69,0.6,0.3,1.50847306845014
70,0.6,0.4,0.26244334621700716
71,0.6,0.5,1.5318012995059265
72,0.6,0.6,1.6047465718064602
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.4501096272824274
78,0.7,0.1,1.52962082207144
79,0.7,0.2,1.7596004111453665
80,0.7,0.3,0.482261094304269
81,0.7,0.4,1.4476651643430183
82,0.7,0.5,1.7356467688328057
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,1.638555461925918
89,0.8,0.1,1.7738752249325707
90,0.8,0.2,0.4858755168790633
91,0.8,0.3,1.7635788423257137
92,0.8,0.4,1.8399557622018923
93,0.8,0.5,1.60631681732025
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,1.8137810120157194
100,0.9,0.1,0.3921088020391034
101,0.9,0.2,1.8587049451345796
102,0.9,0.3,1.8856556540813043
103,0.9,0.4,1.5510974629433338
104,0.9,0.5,1.597634412167844
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.5642891307462351
111,0.99,0.1,2.024945034500351
112,0.99,0.2,1.4803290764844104
113,0.99,0.3,1.706596590991503
114,0.99,0.4,1.3935532724989663
115,0.99,0.5,1.3940956271818101
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
