,P,cost,value
0,0.01,0.01,2.288944954740486e-14
1,0.01,0.1,2.3220653622803252e-14
2,0.01,0.2,2.2487429647470976e-14
3,0.01,0.3,2.3566298038241738e-14
4,0.01,0.4,2.3631065131198972e-14
5,0.01,0.5,2.4111017882729658e-14
6,0.01,0.6,2.3225165141461427e-14
7,0.01,0.7,2.3415180013833916e-14
8,0.01,0.8,2.5637018537988924e-14
9,0.01,0.9,2.7112864660547885e-14
10,0.01,0.99,2.6426806356459966e-14
11,0.1,0.01,1.9571440245709502e-14
12,0.1,0.1,2.4607912393583474e-14
13,0.1,0.2,2.2982689263958815e-14
14,0.1,0.3,2.270263570595129e-14
15,0.1,0.4,2.1951554696048237e-14
16,0.1,0.5,2.380049914827222e-14
17,0.1,0.6,2.2669764618279587e-14
18,0.1,0.7,2.2479480411083314e-14
19,0.1,0.8,2.3094773857792084e-14
20,0.1,0.9,3.3755527278978877e-14
21,0.1,0.99,
22,0.2,0.01,2.002283454397232e-14
23,0.2,0.1,2.0969994059468348e-14
24,0.2,0.2,1.933988114336684e-14
25,0.2,0.3,2.1319751237456588e-14
26,0.2,0.4,2.136797198499644e-14
27,0.2,0.5,2.1282428081986923e-14
28,0.2,0.6,2.1430467989718698e-14
29,0.2,0.7,2.427151690515199e-14
30,0.2,0.8,2.96348452778242e-14
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,2.0508797475779223e-14
34,0.3,0.1,2.3114779382807496e-14
35,0.3,0.2,2.0928513842896793e-14
36,0.3,0.3,2.239432951759472e-14
37,0.3,0.4,2.18496855601732e-14
38,0.3,0.5,2.4187324012442733e-14
39,0.3,0.6,2.223940502059995e-14
40,0.3,0.7,3.3239454380603894e-14
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,2.0037295798150077e-14
45,0.4,0.1,2.0103009141777646e-14
46,0.4,0.2,1.8404939638112375e-14
47,0.4,0.3,1.939429659386217e-14
48,0.4,0.4,2.099261177487765e-14
49,0.4,0.5,2.4937546757824494e-14
50,0.4,0.6,3.094934616777824e-14
51,0.4,0.7,2.6102521507121045e-14
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,1.7133442863457682e-14
56,0.5,0.1,1.9261329614933467e-14
57,0.5,0.2,1.856165403069664e-14
58,0.5,0.3,1.7103200999148272e-14
59,0.5,0.4,2.516510964747532e-14
60,0.5,0.5,3.660016528277962e-14
61,0.5,0.6,2.350109021445305e-14
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.551454748632912e-14
67,0.6,0.1,1.6657785669514748e-14
68,0.6,0.2,1.6372684457822274e-14
69,0.6,0.3,2.319702017445091e-14
70,0.6,0.4,3.059646550528514e-14
71,0.6,0.5,2.3998543509337373e-14
72,0.6,0.6,1.8595489975340068e-14
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.8739104471349397e-14
78,0.7,0.1,1.783420467034616e-14
79,0.7,0.2,2.5491890801340187e-14
80,0.7,0.3,3.1205957918968084e-14
81,0.7,0.4,2.6428438770826805e-14
82,0.7,0.5,1.7452056186168296e-14
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,1.6129977907709762e-14
89,0.8,0.1,2.2176687547934757e-14
90,0.8,0.2,3.4428193213549596e-14
91,0.8,0.3,2.1679218993974526e-14
92,0.8,0.4,1.3132582206251125e-14
93,0.8,0.5,1.643880055979672e-14
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,2.1222981057756934e-14
100,0.9,0.1,3.290664337005407e-14
101,0.9,0.2,2.001298260436661e-14
102,0.9,0.3,1.458158653440533e-14
103,0.9,0.4,1.5350012756613622e-14
104,0.9,0.5,1.1322097734007352e-14
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,2.571838286371307e-14
111,0.99,0.1,1.333469828745569e-14
112,0.99,0.2,1.2104486242429245e-14
113,0.99,0.3,8.239620237340028e-15
114,0.99,0.4,1.018807336029651e-14
115,0.99,0.5,1.0803445566937314e-14
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
