,P,cost,value
0,0.01,0.01,0.0003011063507825763
1,0.01,0.1,0.0003409379767515347
2,0.01,0.2,0.000391625912448806
3,0.01,0.3,0.000474491864317156
4,0.01,0.4,0.0003176750859209317
5,0.01,0.5,0.0003973010735820313
6,0.01,0.6,0.00034590639308909024
7,0.01,0.7,0.0002909957859036647
8,0.01,0.8,0.0007432108821360697
9,0.01,0.9,0.005555074342132997
10,0.01,0.99,0.7710131952728132
11,0.1,0.01,0.00044744476572453583
12,0.1,0.1,0.000768798396037345
13,0.1,0.2,0.0004349849797218252
14,0.1,0.3,0.0003407213968204324
15,0.1,0.4,0.0005695719806555326
16,0.1,0.5,0.000613312489330656
17,0.1,0.6,0.000856270487435131
18,0.1,0.7,0.0029038887002914926
19,0.1,0.8,0.03018539876365212
20,0.1,0.9,0.18956828070780388
21,0.1,0.99,
22,0.2,0.01,0.0005381682417457803
23,0.2,0.1,0.0005097074647616422
24,0.2,0.2,0.000460768175396403
25,0.2,0.3,0.0005700699963248082
26,0.2,0.4,0.0014048637040785996
27,0.2,0.5,0.002447329102961598
28,0.2,0.6,0.003207719051068158
29,0.2,0.7,0.0939370793516517
30,0.2,0.8,0.3435088927776776
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.0004820049623617938
34,0.3,0.1,0.0006360831785318514
35,0.3,0.2,0.00046695856052651394
36,0.3,0.3,0.0013654675790968017
37,0.3,0.4,0.003979050571976577
38,0.3,0.5,0.01387886686980082
39,0.3,0.6,0.12916265857742376
40,0.3,0.7,0.18877870921683104
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.00029364840306111577
45,0.4,0.1,0.0011048930166063645
46,0.4,0.2,0.000847169699743346
47,0.4,0.3,0.0032979151741627136
48,0.4,0.4,0.02033863357204624
49,0.4,0.5,0.20533630350292204
50,0.4,0.6,0.2304716223487084
51,0.4,0.7,0.030648396862720195
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.0007373091757378404
56,0.5,0.1,0.0007557992068483747
57,0.5,0.2,0.002781627645281351
58,0.5,0.3,0.009601328573840174
59,0.5,0.4,0.12360444548629072
60,0.5,0.5,0.23304852649066152
61,0.5,0.6,0.12209674670457693
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.0007322806776447079
67,0.6,0.1,0.0025042319603583905
68,0.6,0.2,0.011809858351939423
69,0.6,0.3,0.09622997390054924
70,0.6,0.4,0.2640059743110628
71,0.6,0.5,0.021974292656917405
72,0.6,0.6,0.0011582784405508107
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.0007866340141811032
78,0.7,0.1,0.005204928032128154
79,0.7,0.2,0.12543434263624026
80,0.7,0.3,0.47983783038140637
81,0.7,0.4,0.03799416698720123
82,0.7,0.5,0.0010711612266694256
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.0012795314788613937
89,0.8,0.1,0.07608326463908384
90,0.8,0.2,0.49574367953963894
91,0.8,0.3,0.032690947797233735
92,0.8,0.4,0.0008091198892268638
93,0.8,0.5,0.00015177502853831878
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.016215553501060118
100,0.9,0.1,0.3929644357049159
101,0.9,0.2,0.010768119619291444
102,0.9,0.3,0.0002822433363442664
103,0.9,0.4,7.322464148034794e-05
104,0.9,0.5,3.293105419138404e-05
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,0.5641744641927887
111,0.99,0.1,0.0007767757134276721
112,0.99,0.2,3.6613301996223076e-05
113,0.99,0.3,1.8697000536378732e-05
114,0.99,0.4,1.1052213738928839e-05
115,0.99,0.5,1.1822253292009774e-05
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
