,P,cost,value
0,0.01,0.01,0.000291852665616607
1,0.01,0.1,0.013181340184100152
2,0.01,0.2,0.1501489141480816
3,0.01,0.3,0.6750673684757398
4,0.01,0.4,1.0855052426323286
5,0.01,0.5,1.4080481596160053
6,0.01,0.6,1.5650911114722441
7,0.01,0.7,1.4365912475949276
8,0.01,0.8,1.5006660187861687
9,0.01,0.9,1.6222824326988285
10,0.01,0.99,1.6178497953839641
11,0.1,0.01,0.0004474762548130961
12,0.1,0.1,0.0013971523775295916
13,0.1,0.2,0.004105798897244526
14,0.1,0.3,0.1290802113767254
15,0.1,0.4,0.7735315728755289
16,0.1,0.5,1.4150715955557027
17,0.1,0.6,1.184064516093116
18,0.1,0.7,0.5366078850260521
19,0.1,0.8,0.49432193369040534
20,0.1,0.9,2.880836423103
21,0.1,0.99,
22,0.2,0.01,0.0005381682417457803
23,0.2,0.1,0.0005739985899097789
24,0.2,0.2,0.0008569255042946212
25,0.2,0.3,0.026606133888331693
26,0.2,0.4,0.40971593745415485
27,0.2,0.5,1.4352008737727968
28,0.2,0.6,1.0705895533454388
29,0.2,0.7,1.102583430389413
30,0.2,0.8,3.4401214331648458
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.0004820049623617938
34,0.3,0.1,0.0006886723547739423
35,0.3,0.2,0.0008599612610544743
36,0.3,0.3,0.01305716661788692
37,0.3,0.4,0.36946799792150675
38,0.3,0.5,1.9218090542845663
39,0.3,0.6,2.26044582745898
40,0.3,0.7,3.0832600303372293
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.00029364840306111577
45,0.4,0.1,0.0011062781281071684
46,0.4,0.2,0.0011954575803066266
47,0.4,0.3,0.004786103080070935
48,0.4,0.4,0.10098122165873874
49,0.4,0.5,1.8001768767743174
50,0.4,0.6,2.3901295091741708
51,0.4,0.7,0.15615908517062665
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,0.0007373091757378404
56,0.5,0.1,0.0007564791839033412
57,0.5,0.2,0.0028639027371743547
58,0.5,0.3,0.009640624934460678
59,0.5,0.4,0.12593979604852815
60,0.5,0.5,0.23706554785541262
61,0.5,0.6,0.11515030843710002
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.0007322806776447079
67,0.6,0.1,0.0025594727706194794
68,0.6,0.2,0.014942888241558143
69,0.6,0.3,0.33623668835539466
70,0.6,0.4,2.8740448257656324
71,0.6,0.5,1.5318012995059265
72,0.6,0.6,0.06937557790247265
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.0007866340141811032
78,0.7,0.1,0.006815117498770693
79,0.7,0.2,0.3660384805053871
80,0.7,0.3,3.279659964651522
81,0.7,0.4,2.2745714197967044
82,0.7,0.5,1.7356467688328057
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.0012795314788613937
89,0.8,0.1,0.18216810773601846
90,0.8,0.2,2.7732443933663733
91,0.8,0.3,1.6212113281449305
92,0.8,0.4,1.3325612581161985
93,0.8,0.5,1.60631681732025
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.01621844050888241
100,0.9,0.1,3.3899075859633805
101,0.9,0.2,1.2959657310255968
102,0.9,0.3,0.9362574269291593
103,0.9,0.4,1.2590871199771
104,0.9,0.5,1.597634412167844
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.2847222893692944
111,0.99,0.1,1.8379824454233709
112,0.99,0.2,1.427649959275458
113,0.99,0.3,1.6943360044294624
114,0.99,0.4,1.4609374266404447
115,0.99,0.5,1.3940956271818101
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
