,P,cost,value
0,0.01,0.01,1.5253177692348519
1,0.01,0.1,1.7138289041171182
2,0.01,0.2,1.4950522979694632
3,0.01,0.3,1.374127826184603
4,0.01,0.4,1.6331888346995607
5,0.01,0.5,1.4945861319727982
6,0.01,0.6,1.6083933261539964
7,0.01,0.7,1.4543731335860817
8,0.01,0.8,1.557429853122469
9,0.01,0.9,1.4194532010764351
10,0.01,0.99,1.0732207322148322
11,0.1,0.01,1.418051070647095
12,0.1,0.1,1.5916824206043565
13,0.1,0.2,1.471888130634877
14,0.1,0.3,1.4853264592762678
15,0.1,0.4,1.2906122724346938
16,0.1,0.5,1.3556043698880018
17,0.1,0.6,1.5592421989360146
18,0.1,0.7,1.6113865007665362
19,0.1,0.8,1.7862031630301485
20,0.1,0.9,0.35843716539379483
21,0.1,0.99,
22,0.2,0.01,1.391080653923889
23,0.2,0.1,1.435339172789587
24,0.2,0.2,1.539073930269439
25,0.2,0.3,1.5817712804426192
26,0.2,0.4,1.548385222235003
27,0.2,0.5,1.7087336255815642
28,0.2,0.6,1.6132058408887875
29,0.2,0.7,2.074550442721031
30,0.2,0.8,0.35340959178725395
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,1.3731226157184122
34,0.3,0.1,1.3897143657708486
35,0.3,0.2,1.4977683184310295
36,0.3,0.3,1.379095014725269
37,0.3,0.4,1.7752120401200209
38,0.3,0.5,1.8255452323735968
39,0.3,0.6,1.9017740415816717
40,0.3,0.7,0.2744650617764339
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,1.5885311214727147
45,0.4,0.1,1.5895273932246168
46,0.4,0.2,1.685607713632382
47,0.4,0.3,1.6598265269362185
48,0.4,0.4,1.7438871572786243
49,0.4,0.5,1.5584139967510913
50,0.4,0.6,0.2947649541533912
51,0.4,0.7,1.2494343376674393
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,1.3974174377490025
56,0.5,0.1,1.5234204422874573
57,0.5,0.2,1.6657882576446763
58,0.5,0.3,1.8343147942928923
59,0.5,0.4,1.5846034280486077
60,0.5,0.5,0.2100338717966106
61,0.5,0.6,1.561473412951002
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,1.356924509672401
67,0.6,0.1,1.4867065740923637
68,0.6,0.2,1.8560715065101097
69,0.6,0.3,1.4715108201972902
70,0.6,0.4,0.2524661209071533
71,0.6,0.5,1.4750437753695014
72,0.6,0.6,1.6331697340331965
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,1.4771307014197586
78,0.7,0.1,1.5996830269825324
79,0.7,0.2,1.4094515015772644
80,0.7,0.3,0.26129545231950274
81,0.7,0.4,1.5097551234536197
82,0.7,0.5,1.884329985631393
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,1.5369117507509786
89,0.8,0.1,1.5789152194494005
90,0.8,0.2,0.2837634327778819
91,0.8,0.3,1.6775340293543874
92,0.8,0.4,1.5595547868370034
93,0.8,0.5,1.3998267252834835
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,1.4328357099825912
100,0.9,0.1,0.36456782462870807
101,0.9,0.2,1.9100183832592255
102,0.9,0.3,1.8967141767269347
103,0.9,0.4,1.536856388154776
104,0.9,0.5,1.5136730829895384
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,1.0332248697943414
111,0.99,0.1,2.2374311164426257
112,0.99,0.2,1.6651081108581767
113,0.99,0.3,1.3285151756556428
114,0.99,0.4,1.5867747750797923
115,0.99,0.5,1.542199982967569
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
