,P,cost,value
0,0.01,0.01,0.00029824761669116224
1,0.01,0.1,0.0003380243744844167
2,0.01,0.2,0.00040105356953644845
3,0.01,0.3,0.00046648432860236843
4,0.01,0.4,0.00032537567344752386
5,0.01,0.5,0.0003973010735820313
6,0.01,0.6,0.0003370072777726826
7,0.01,0.7,0.00028691201146857366
8,0.01,0.8,0.0006133692114282457
9,0.01,0.9,0.0005386097570745324
10,0.01,0.99,3.8817014725471455
11,0.1,0.01,0.0005302799997100564
12,0.1,0.1,0.0013695547267069215
13,0.1,0.2,0.0006094221032413648
14,0.1,0.3,0.0004215446056473977
15,0.1,0.4,0.0007086726034933525
16,0.1,0.5,0.000613312489330656
17,0.1,0.6,0.0008201294413787235
18,0.1,0.7,0.001154578654902408
19,0.1,0.8,0.01195919440513763
20,0.1,0.9,2.9766303241769037
21,0.1,0.99,
22,0.2,0.01,0.0033791169857938152
23,0.2,0.1,0.0014301788447514132
24,0.2,0.2,0.0007527482677544007
25,0.2,0.3,0.001535379950983917
26,0.2,0.4,0.002578262941226409
27,0.2,0.5,0.002447329102961598
28,0.2,0.6,0.002635723823678422
29,0.2,0.7,0.13454115685763007
30,0.2,0.8,3.1646879661221257
31,0.2,0.9,
32,0.2,0.99,
33,0.3,0.01,0.0203066779501709
34,0.3,0.1,0.009874938615323124
35,0.3,0.2,0.008775206006346086
36,0.3,0.3,0.012805378509222594
37,0.3,0.4,0.007326080867623417
38,0.3,0.5,0.01387886686980082
39,0.3,0.6,0.2690964476572084
40,0.3,0.7,2.9763985390349577
41,0.3,0.8,
42,0.3,0.9,
43,0.3,0.99,
44,0.4,0.01,0.3991970602157824
45,0.4,0.1,0.31377443302985836
46,0.4,0.2,0.2675344465715962
47,0.4,0.3,0.220024712943243
48,0.4,0.4,0.09930717235940592
49,0.4,0.5,0.20533630350292204
50,0.4,0.6,2.372224708760665
51,0.4,0.7,1.9781610702066437
52,0.4,0.8,
53,0.4,0.9,
54,0.4,0.99,
55,0.5,0.01,1.3190315233589875
56,0.5,0.1,1.477256880881093
57,0.5,0.2,1.6379340307078085
58,0.5,0.3,1.885213064059771
59,0.5,0.4,1.4754161592453419
60,0.5,0.5,0.23304852649066152
61,0.5,0.6,1.4837448135853233
62,0.5,0.7,
63,0.5,0.8,
64,0.5,0.9,
65,0.5,0.99,
66,0.6,0.01,0.41518855174359737
67,0.6,0.1,0.6127380250569154
68,0.6,0.2,1.1163447828864426
69,0.6,0.3,2.131132085937259
70,0.6,0.4,2.4262840547951807
71,0.6,0.5,0.021974292656917405
72,0.6,0.6,0.057669946454412736
73,0.6,0.7,
74,0.6,0.8,
75,0.6,0.9,
76,0.6,0.99,
77,0.7,0.01,0.19419896271931317
78,0.7,0.1,0.32275466673121816
79,0.7,0.2,1.0102230907152554
80,0.7,0.3,2.9078523143659023
81,0.7,0.4,0.23406203030113443
82,0.7,0.5,0.0010711612266694256
83,0.7,0.6,
84,0.7,0.7,
85,0.7,0.8,
86,0.7,0.9,
87,0.7,0.99,
88,0.8,0.01,0.08303590966913627
89,0.8,0.1,0.6382244836649511
90,0.8,0.2,2.9576968869394187
91,0.8,0.3,0.3225120218628459
92,0.8,0.4,0.002357423422195676
93,0.8,0.5,0.00015177502853831878
94,0.8,0.6,
95,0.8,0.7,
96,0.8,0.8,
97,0.8,0.9,
98,0.8,0.99,
99,0.9,0.01,0.31054239593928007
100,0.9,0.1,3.3465645066544547
101,0.9,0.2,0.166698435090523
102,0.9,0.3,0.002876580288018481
103,0.9,0.4,0.00010576480918737473
104,0.9,0.5,3.293105419138404e-05
105,0.9,0.6,
106,0.9,0.7,
107,0.9,0.8,
108,0.9,0.9,
109,0.9,0.99,
110,0.99,0.01,3.2907605778003415
111,0.99,0.1,0.008331251989473258
112,0.99,0.2,0.00013980586820681447
113,0.99,0.3,3.524464905363525e-05
114,0.99,0.4,1.0658419026399306e-05
115,0.99,0.5,1.1822253292009774e-05
116,0.99,0.6,
117,0.99,0.7,
118,0.99,0.8,
119,0.99,0.9,
120,0.99,0.99,
